receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,L,401437763,2022 Regular Season,Steven Sims,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,1,-5,-5.0,-5,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,W,401437785,2022 Regular Season,Steven Sims,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,-1,-0.5,0,2,2,21,10.5,11,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,L,401437812,2022 Regular Season,Steven Sims,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,15,15.0,0,15,2,2,1.0,3,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,W,401437838,2022 Regular Season,Steven Sims,2022,Regular Season,4,-1.0,2.0,0.0,3.0,-0.3333333333333333,0.6666666666666666,0.0,1.0,-0.3333333333333333,0.6666666666666666,0.0,1.0,-0.5,0.0,0,0
0,2,0,0.0,0,0,1,-3,-3.0,-3,0,1,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,L,401437856,2022 Regular Season,Steven Sims,2022,Regular Season,5,14.0,3.0,0.0,5.0,3.5,0.75,0.0,1.25,4.666666666666667,1.0,0.0,1.6666666666666667,15.0,0.0,0,0
2,3,9,4.5,0,6,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,W,401437872,2022 Regular Season,Steven Sims,2022,Regular Season,6,14.0,3.0,0.0,7.0,2.8,0.6,0.0,1.4,4.666666666666667,1.0,0.0,2.3333333333333335,0.0,0.0,0,0
0,2,0,0.0,0,0,3,19,6.3,10,0,1,0,0,0,13,2022-12-04T18:00:00.000+00:00,16,19,W,401437874,2022 Regular Season,Steven Sims,2022,Regular Season,7,23.0,5.0,0.0,10.0,3.8333333333333335,0.8333333333333334,0.0,1.6666666666666667,8.0,1.0,0.0,2.3333333333333335,4.5,0.0,0,0
4,4,30,7.5,0,11,1,1,1.0,1,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,L,401437894,2022 Regular Season,Steven Sims,2022,Regular Season,8,23.0,5.0,0.0,12.0,3.2857142857142856,0.7142857142857143,0.0,1.7142857142857142,3.0,0.6666666666666666,0.0,2.3333333333333335,0.0,0.0,0,0
1,2,10,10.0,0,10,2,19,9.5,22,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,16,24,W,401437907,2022 Regular Season,Steven Sims,2022,Regular Season,9,53.0,9.0,0.0,16.0,6.625,1.125,0.0,2.0,13.0,2.0,0.0,3.0,7.5,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T01:15:00.000+00:00,13,10,W,401437928,2022 Regular Season,Steven Sims,2022,Regular Season,10,63.0,10.0,0.0,18.0,7.0,1.1111111111111112,0.0,2.0,13.333333333333334,1.6666666666666667,0.0,2.6666666666666665,10.0,0.0,0,0
