receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,L,401437854,2022 Regular Season,Stone Smartt,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,W,401437867,2022 Regular Season,Stone Smartt,2022,Regular Season,2,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,6.0,0.0,0,0
2,3,3,1.5,0,5,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,L,401437885,2022 Regular Season,Stone Smartt,2022,Regular Season,3,6.0,1.0,0.0,1.0,3.0,0.5,0.0,0.5,3.0,0.5,0.0,0.5,0.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,W,401437896,2022 Regular Season,Stone Smartt,2022,Regular Season,4,9.0,3.0,0.0,4.0,3.0,1.0,0.0,1.3333333333333333,3.0,1.0,0.0,1.3333333333333333,1.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-27T01:15:00.000+00:00,3,20,W,401437931,2022 Regular Season,Stone Smartt,2022,Regular Season,5,17.0,4.0,0.0,5.0,4.25,1.0,0.0,1.25,3.6666666666666665,1.0,0.0,1.3333333333333333,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,31,10,W,401437946,2022 Regular Season,Stone Smartt,2022,Regular Season,6,17.0,4.0,0.0,5.0,3.4,0.8,0.0,1.0,3.6666666666666665,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,31,28,L,401437960,2022 Regular Season,Stone Smartt,2022,Regular Season,7,17.0,4.0,0.0,5.0,2.8333333333333335,0.6666666666666666,0.0,0.8333333333333334,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,L,401547401,2023 Regular Season,Stone Smartt,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,24,24.0,0,24,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,L,401547414,2023 Regular Season,Stone Smartt,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,24,28,W,401547436,2023 Regular Season,Stone Smartt,2023,Regular Season,3,24.0,1.0,0.0,1.0,12.0,0.5,0.0,0.5,12.0,0.5,0.0,0.5,24.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:05:00.000+00:00,24,17,W,401547447,2023 Regular Season,Stone Smartt,2023,Regular Season,4,24.0,1.0,0.0,1.0,8.0,0.3333333333333333,0.0,0.3333333333333333,8.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-17T00:15:00.000+00:00,17,20,L,401547482,2023 Regular Season,Stone Smartt,2023,Regular Season,5,24.0,1.0,0.0,2.0,6.0,0.25,0.0,0.5,8.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:25:00.000+00:00,31,17,L,401547488,2023 Regular Season,Stone Smartt,2023,Regular Season,6,24.0,1.0,0.0,2.0,4.8,0.2,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
