receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,38,9.5,0,16,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,L,401437648,2022 Regular Season,T.J. Hockenson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,7,26,8.7,0,18,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,W,401437732,2022 Regular Season,T.J. Hockenson,2022,Regular Season,2,38.0,4.0,0.0,7.0,38.0,4.0,0.0,7.0,38.0,4.0,0.0,7.0,9.5,0.0,0,0
3,4,18,6.0,1,7,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,L,401437739,2022 Regular Season,T.J. Hockenson,2022,Regular Season,3,64.0,7.0,0.0,14.0,32.0,3.5,0.0,7.0,32.0,3.5,0.0,7.0,8.666666666666666,0.0,0,1
8,12,179,22.4,2,81,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,L,401437752,2022 Regular Season,T.J. Hockenson,2022,Regular Season,4,82.0,10.0,1.0,18.0,27.333333333333332,3.3333333333333335,0.3333333333333333,6.0,27.333333333333332,3.3333333333333335,0.3333333333333333,6.0,6.0,0.0,0,1
1,4,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,L,401437767,2022 Regular Season,T.J. Hockenson,2022,Regular Season,5,261.0,18.0,3.0,30.0,65.25,4.5,0.75,7.5,74.33333333333333,4.666666666666667,1.0,7.666666666666667,22.375,0.05555555555555555,0,0
4,5,48,12.0,0,16,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,L,401437795,2022 Regular Season,T.J. Hockenson,2022,Regular Season,6,267.0,19.0,3.0,34.0,53.4,3.8,0.6,6.8,67.66666666666667,4.0,1.0,6.666666666666667,6.0,0.1,0,0
3,4,80,26.7,0,58,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,L,401437808,2022 Regular Season,T.J. Hockenson,2022,Regular Season,7,315.0,23.0,3.0,39.0,52.5,3.8333333333333335,0.5,6.5,77.66666666666667,4.333333333333333,0.6666666666666666,7.0,12.0,0.08823529411764706,0,0
9,9,70,7.8,0,19,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437827,2022 Regular Season,T.J. Hockenson,2022,Regular Season,8,395.0,26.0,3.0,43.0,56.42857142857143,3.7142857142857144,0.42857142857142855,6.142857142857143,44.666666666666664,2.6666666666666665,0.0,4.333333333333333,26.666666666666668,0.07692307692307693,0,0
7,10,45,6.4,0,16,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,W,401437833,2022 Regular Season,T.J. Hockenson,2022,Regular Season,9,465.0,35.0,3.0,52.0,58.125,4.375,0.375,6.5,66.0,5.333333333333333,0.0,6.0,7.777777777777778,0.06976744186046512,0,0
5,9,34,6.8,0,11,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,L,401437855,2022 Regular Season,T.J. Hockenson,2022,Regular Season,10,510.0,42.0,3.0,62.0,56.666666666666664,4.666666666666667,0.3333333333333333,6.888888888888889,65.0,6.333333333333333,0.0,7.666666666666667,6.428571428571429,0.057692307692307696,0,0
