receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,34,11.3,0,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,L,401547396,2023 Regular Season,Tank Dell,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,10,72,10.3,1,23,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,20,31,L,401547419,2023 Regular Season,Tank Dell,2023,Regular Season,2,34.0,3.0,0.0,4.0,34.0,3.0,0.0,4.0,34.0,3.0,0.0,4.0,11.333333333333334,0.0,0,1
5,7,145,29.0,1,68,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,17,37,W,401547435,2023 Regular Season,Tank Dell,2023,Regular Season,3,106.0,10.0,1.0,14.0,53.0,5.0,0.5,7.0,53.0,5.0,0.5,7.0,10.285714285714286,0.0,0,1
1,3,16,16.0,0,16,2,13,6.5,7,0,1,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,W,401547446,2023 Regular Season,Tank Dell,2023,Regular Season,4,251.0,15.0,2.0,21.0,83.66666666666667,5.0,0.6666666666666666,7.0,83.66666666666667,5.0,0.6666666666666666,7.0,29.0,0.07142857142857142,0,0
3,4,57,19.0,0,29,2,-4,-2.0,1,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,21,19,L,401547463,2023 Regular Season,Tank Dell,2023,Regular Season,5,267.0,16.0,2.0,24.0,66.75,4.0,0.5,6.0,77.66666666666667,4.333333333333333,0.6666666666666666,6.666666666666667,16.0,0.09523809523809523,0,0
3,4,16,5.3,0,9,3,15,5.0,11,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,15,13,L,401547504,2023 Regular Season,Tank Dell,2023,Regular Season,6,324.0,19.0,2.0,28.0,64.8,3.8,0.4,5.6,72.66666666666667,3.0,0.3333333333333333,4.666666666666667,19.0,0.08333333333333333,0,0
6,11,114,19.0,2,29,2,2,1.0,2,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,W,401547515,2023 Regular Season,Tank Dell,2023,Regular Season,7,340.0,22.0,2.0,32.0,56.666666666666664,3.6666666666666665,0.3333333333333333,5.333333333333333,29.666666666666668,2.3333333333333335,0.0,3.6666666666666665,5.333333333333333,0.07142857142857142,0,1
6,14,56,9.3,1,17,1,13,13.0,13,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,W,401547526,2023 Regular Season,Tank Dell,2023,Regular Season,8,454.0,28.0,4.0,43.0,64.85714285714286,4.0,0.5714285714285714,6.142857142857143,62.333333333333336,4.0,0.6666666666666666,6.333333333333333,19.0,0.0625,0,1
8,10,149,18.6,1,40,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,21,16,W,401547540,2023 Regular Season,Tank Dell,2023,Regular Season,9,510.0,34.0,5.0,57.0,63.75,4.25,0.625,7.125,62.0,5.0,1.0,9.666666666666666,9.333333333333334,0.09302325581395349,0,1
5,8,50,10.0,1,17,1,12,12.0,12,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,L,401547555,2023 Regular Season,Tank Dell,2023,Regular Season,10,659.0,42.0,6.0,67.0,73.22222222222223,4.666666666666667,0.6666666666666666,7.444444444444445,106.33333333333333,6.666666666666667,1.3333333333333333,11.666666666666666,18.625,0.08771929824561403,0,1
