receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,W,401437640,2022 Regular Season,Tanner Hudson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,22,11.0,0,15,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,W,401437645,2022 Regular Season,Tanner Hudson,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,L,401437747,2022 Regular Season,Tanner Hudson,2022,Regular Season,3,22.0,2.0,0.0,3.0,11.0,1.0,0.0,1.5,11.0,1.0,0.0,1.5,11.0,0.0,0,0
1,2,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,W,401437755,2022 Regular Season,Tanner Hudson,2022,Regular Season,4,22.0,2.0,0.0,3.0,7.333333333333333,0.6666666666666666,0.0,1.0,7.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,W,401435640,2022 Regular Season,Tanner Hudson,2022,Regular Season,5,40.0,3.0,0.0,5.0,10.0,0.75,0.0,1.25,13.333333333333334,1.0,0.0,1.6666666666666667,18.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,W,401437784,2022 Regular Season,Tanner Hudson,2022,Regular Season,6,40.0,3.0,0.0,5.0,8.0,0.6,0.0,1.0,6.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,W,401437796,2022 Regular Season,Tanner Hudson,2022,Regular Season,7,40.0,3.0,0.0,5.0,6.666666666666667,0.5,0.0,0.8333333333333334,6.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
3,5,58,19.3,0,27,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,L,401437816,2022 Regular Season,Tanner Hudson,2022,Regular Season,8,40.0,3.0,0.0,6.0,5.714285714285714,0.42857142857142855,0.0,0.8571428571428571,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
3,3,24,8.0,0,16,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,W,401437837,2022 Regular Season,Tanner Hudson,2022,Regular Season,9,98.0,6.0,0.0,11.0,12.25,0.75,0.0,1.375,19.333333333333332,1.0,0.0,2.0,19.333333333333332,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,L,401437852,2022 Regular Season,Tanner Hudson,2022,Regular Season,10,122.0,9.0,0.0,14.0,13.555555555555555,1.0,0.0,1.5555555555555556,27.333333333333332,2.0,0.0,3.0,8.0,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,L,401437858,2022 Regular Season,Tanner Hudson,2022,Regular Season,11,122.0,9.0,0.0,14.0,12.2,0.9,0.0,1.4,27.333333333333332,2.0,0.0,2.6666666666666665,0.0,0.0,0,0
2,4,30,15.0,0,26,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,W,401547441,2023 Regular Season,Tanner Hudson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,18,9.0,0,12,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,L,401547452,2023 Regular Season,Tanner Hudson,2023,Regular Season,2,30.0,2.0,0.0,4.0,30.0,2.0,0.0,4.0,30.0,2.0,0.0,4.0,15.0,0.0,0,0
4,5,45,11.3,0,17,0,0,0.0,0,0,0,0,0,0,9,2023-11-06T01:20:00.000+00:00,24,18,W,401547523,2023 Regular Season,Tanner Hudson,2023,Regular Season,3,48.0,4.0,0.0,6.0,24.0,2.0,0.0,3.0,24.0,2.0,0.0,3.0,9.0,0.0,0,0
6,7,33,5.5,0,13,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,L,401547526,2023 Regular Season,Tanner Hudson,2023,Regular Season,4,93.0,8.0,0.0,11.0,31.0,2.6666666666666665,0.0,3.6666666666666665,31.0,2.6666666666666665,0.0,3.6666666666666665,11.25,0.0,0,0
4,4,49,12.3,0,21,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,L,401547538,2023 Regular Season,Tanner Hudson,2023,Regular Season,5,126.0,14.0,0.0,18.0,31.5,3.5,0.0,4.5,32.0,4.0,0.0,4.666666666666667,5.5,0.0,0,0
4,5,18,4.5,0,6,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,L,401547554,2023 Regular Season,Tanner Hudson,2023,Regular Season,6,175.0,18.0,0.0,22.0,35.0,3.6,0.0,4.4,42.333333333333336,4.666666666666667,0.0,5.333333333333333,12.25,0.0,0,0
4,4,35,8.8,0,24,0,0,0.0,0,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,W,401547577,2023 Regular Season,Tanner Hudson,2023,Regular Season,7,193.0,22.0,0.0,27.0,32.166666666666664,3.6666666666666665,0.0,4.5,33.333333333333336,4.666666666666667,0.0,5.333333333333333,4.5,0.0,0,0
2,3,21,10.5,1,11,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,W,401547580,2023 Regular Season,Tanner Hudson,2023,Regular Season,8,228.0,26.0,0.0,31.0,32.57142857142857,3.7142857142857144,0.0,4.428571428571429,34.0,4.0,0.0,4.333333333333333,8.75,0.0,0,1
5,5,49,9.8,0,14,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,W,401547604,2023 Regular Season,Tanner Hudson,2023,Regular Season,9,249.0,28.0,1.0,34.0,31.125,3.5,0.125,4.25,24.666666666666668,3.3333333333333335,0.3333333333333333,4.0,10.5,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,16,2023-12-23T21:30:00.000+00:00,34,11,L,401547610,2023 Regular Season,Tanner Hudson,2023,Regular Season,10,298.0,33.0,1.0,39.0,33.111111111111114,3.6666666666666665,0.1111111111111111,4.333333333333333,35.0,3.6666666666666665,0.3333333333333333,4.0,9.8,0.029411764705882353,0,0
3,7,38,12.7,0,15,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,L,401547235,2023 Regular Season,Tanner Hudson,2023,Regular Season,11,303.0,34.0,1.0,41.0,30.3,3.4,0.1,4.1,25.0,2.6666666666666665,0.3333333333333333,3.3333333333333335,5.0,0.02564102564102564,0,0
2,2,11,5.5,0,8,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,31,14,W,401547641,2023 Regular Season,Tanner Hudson,2023,Regular Season,12,341.0,37.0,1.0,48.0,31.0,3.3636363636363638,0.09090909090909091,4.363636363636363,30.666666666666668,3.0,0.0,4.666666666666667,12.666666666666666,0.024390243902439025,0,0
2,3,18,9.0,0,13,0,0,0.0,0,0,1,1,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,L,401671628,2024 Regular Season,Tanner Hudson,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-14T00:20:00.000+00:00,7,17,W,401671791,2024 Regular Season,Tanner Hudson,2024,Regular Season,2,18.0,2.0,0.0,3.0,18.0,2.0,0.0,3.0,18.0,2.0,0.0,3.0,9.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,14,21,W,401671853,2024 Regular Season,Tanner Hudson,2024,Regular Season,3,18.0,2.0,0.0,3.0,9.0,1.0,0.0,1.5,9.0,1.0,0.0,1.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,17,37,L,401671667,2024 Regular Season,Tanner Hudson,2024,Regular Season,4,18.0,2.0,0.0,4.0,6.0,0.6666666666666666,0.0,1.3333333333333333,6.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
2,3,14,7.0,0,11,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,41,24,W,401671704,2024 Regular Season,Tanner Hudson,2024,Regular Season,5,18.0,2.0,0.0,4.0,4.5,0.5,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
6,7,42,7.0,1,10,1,1,1.0,1,0,0,0,0,0,10,2024-11-08T01:15:00.000+00:00,35,34,L,401671810,2024 Regular Season,Tanner Hudson,2024,Regular Season,6,32.0,4.0,0.0,7.0,6.4,0.8,0.0,1.4,4.666666666666667,0.6666666666666666,0.0,1.3333333333333333,7.0,0.0,0,1
2,2,13,6.5,0,9,0,0,0.0,0,0,0,0,0,0,11,2024-11-18T01:20:00.000+00:00,34,27,L,401671675,2024 Regular Season,Tanner Hudson,2024,Regular Season,7,74.0,10.0,1.0,14.0,12.333333333333334,1.6666666666666667,0.16666666666666666,2.3333333333333335,18.666666666666668,2.6666666666666665,0.3333333333333333,3.3333333333333335,7.0,0.0,0,0
