receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,2,2.0,0,2,4,81,20.3,57,1,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,W,401437650,2022 Regular Season,Taysom Hill,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,3,14,4.7,13,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,L,401437652,2022 Regular Season,Taysom Hill,2022,Regular Season,2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0,0
0,0,0,0.0,0,0,5,21,4.2,13,1,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,L,401435639,2022 Regular Season,Taysom Hill,2022,Regular Season,3,2.0,1.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,9,112,12.4,60,3,1,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,W,401437768,2022 Regular Season,Taysom Hill,2022,Regular Season,4,2.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,5,39,7.8,31,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,L,401437783,2022 Regular Season,Taysom Hill,2022,Regular Season,5,2.0,1.0,0.0,1.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,3,3.0,1,3,3,9,3.0,3,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,L,401437791,2022 Regular Season,Taysom Hill,2022,Regular Season,6,2.0,1.0,0.0,1.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1,2,11,11.0,0,11,10,61,6.1,11,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,W,401437810,2022 Regular Season,Taysom Hill,2022,Regular Season,7,5.0,2.0,1.0,2.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.0,0,0
0,1,0,0.0,0,0,1,6,6.0,6,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,L,401437831,2022 Regular Season,Taysom Hill,2022,Regular Season,8,16.0,3.0,1.0,4.0,2.2857142857142856,0.42857142857142855,0.14285714285714285,0.5714285714285714,4.666666666666667,0.6666666666666666,0.3333333333333333,1.0,11.0,0.5,0,0
0,0,0,0.0,0,0,3,1,0.3,1,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,L,401437838,2022 Regular Season,Taysom Hill,2022,Regular Season,9,16.0,3.0,1.0,5.0,2.0,0.375,0.125,0.625,4.666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.25,0,0
1,1,8,8.0,0,8,9,52,5.8,12,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,W,401437851,2022 Regular Season,Taysom Hill,2022,Regular Season,10,16.0,3.0,1.0,5.0,1.7777777777777777,0.3333333333333333,0.1111111111111111,0.5555555555555556,3.6666666666666665,0.3333333333333333,0.0,1.0,0.0,0.2,0,0
1,2,7,7.0,0,7,6,13,2.2,6,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,L,401437870,2022 Regular Season,Taysom Hill,2022,Regular Season,11,24.0,4.0,1.0,6.0,2.4,0.4,0.1,0.6,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,8.0,0.2,0,0
2,3,35,17.5,1,30,3,10,3.3,6,0,0,0,0,0,13,2022-12-06T01:15:00.000+00:00,17,16,L,401437887,2022 Regular Season,Taysom Hill,2022,Regular Season,12,31.0,5.0,1.0,8.0,2.8181818181818183,0.45454545454545453,0.09090909090909091,0.7272727272727273,5.0,0.6666666666666666,0.0,1.0,7.0,0.16666666666666666,0,1
0,0,0,0.0,0,0,7,30,4.3,13,0,1,0,0,0,15,2022-12-18T18:00:00.000+00:00,21,18,W,401437905,2022 Regular Season,Taysom Hill,2022,Regular Season,13,66.0,7.0,2.0,11.0,5.5,0.5833333333333334,0.16666666666666666,0.9166666666666666,16.666666666666668,1.3333333333333333,0.3333333333333333,2.0,17.5,0.125,0,0
0,0,0,0.0,0,0,9,56,6.2,16,1,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,10,17,W,401437921,2022 Regular Season,Taysom Hill,2022,Regular Season,14,66.0,7.0,2.0,11.0,5.076923076923077,0.5384615384615384,0.15384615384615385,0.8461538461538461,14.0,1.0,0.3333333333333333,1.6666666666666667,0.0,0.18181818181818182,0,0
1,1,10,10.0,0,9,14,46,3.3,9,1,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,W,401437940,2022 Regular Season,Taysom Hill,2022,Regular Season,15,66.0,7.0,2.0,11.0,4.714285714285714,0.5,0.14285714285714285,0.7857142857142857,11.666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.18181818181818182,0,0
1,1,1,1.0,0,1,5,24,4.8,10,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,7,10,L,401437956,2022 Regular Season,Taysom Hill,2022,Regular Season,16,76.0,8.0,2.0,12.0,5.066666666666666,0.5333333333333333,0.13333333333333333,0.8,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,10.0,0.18181818181818182,0,0
0,1,0,0.0,0,0,3,4,1.3,4,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,16,15,W,401547399,2023 Regular Season,Taysom Hill,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,-1,-1.0,0,-1,9,75,8.3,19,0,0,0,0,0,2,2023-09-18T23:15:00.000+00:00,17,20,W,401547425,2023 Regular Season,Taysom Hill,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1,1,9,9.0,0,9,4,12,3.0,6,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,18,17,L,401547434,2023 Regular Season,Taysom Hill,2023,Regular Season,3,-1.0,1.0,0.0,3.0,-0.5,0.5,0.0,1.5,-0.5,0.5,0.0,1.5,-1.0,0.0,0,0
1,1,7,7.0,0,7,4,10,2.5,4,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,9,26,L,401547450,2023 Regular Season,Taysom Hill,2023,Regular Season,4,8.0,2.0,0.0,4.0,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,9.0,0.0,0,0
1,1,1,1.0,0,1,3,19,6.3,12,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,0,34,W,401547459,2023 Regular Season,Taysom Hill,2023,Regular Season,5,15.0,3.0,0.0,5.0,3.75,0.75,0.0,1.25,5.0,1.0,0.0,1.3333333333333333,7.0,0.0,0,0
7,8,49,7.0,0,11,1,2,2.0,2,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,20,13,L,401547477,2023 Regular Season,Taysom Hill,2023,Regular Season,6,16.0,4.0,0.0,6.0,3.2,0.8,0.0,1.2,5.666666666666667,1.0,0.0,1.0,1.0,0.0,0,0
4,5,50,12.5,0,19,5,18,3.6,6,1,0,0,0,0,7,2023-10-20T00:15:00.000+00:00,24,31,L,401547483,2023 Regular Season,Taysom Hill,2023,Regular Season,7,65.0,11.0,0.0,14.0,10.833333333333334,1.8333333333333333,0.0,2.3333333333333335,19.0,3.0,0.0,3.3333333333333335,7.0,0.0,0,0
1,1,14,14.0,0,14,9,63,7.0,20,2,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,27,38,W,401547507,2023 Regular Season,Taysom Hill,2023,Regular Season,8,115.0,15.0,0.0,19.0,16.428571428571427,2.142857142857143,0.0,2.7142857142857144,33.333333333333336,4.0,0.0,4.666666666666667,12.5,0.0,0,0
