receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,27,13.5,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,L,401437634,2022 Regular Season,Tee Higgins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,10,71,11.8,1,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,L,401437734,2022 Regular Season,Tee Higgins,2022,Regular Season,2,27.0,2.0,0.0,2.0,27.0,2.0,0.0,2.0,27.0,2.0,0.0,2.0,13.5,0.0,0,1
5,7,93,18.6,0,45,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,W,401437740,2022 Regular Season,Tee Higgins,2022,Regular Season,3,98.0,8.0,1.0,12.0,49.0,4.0,0.5,6.0,49.0,4.0,0.5,6.0,11.833333333333334,0.0,0,0
7,9,124,17.7,1,59,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,W,401437748,2022 Regular Season,Tee Higgins,2022,Regular Season,4,191.0,13.0,1.0,19.0,63.666666666666664,4.333333333333333,0.3333333333333333,6.333333333333333,63.666666666666664,4.333333333333333,0.3333333333333333,6.333333333333333,18.6,0.08333333333333333,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,L,401437775,2022 Regular Season,Tee Higgins,2022,Regular Season,5,315.0,20.0,2.0,28.0,78.75,5.0,0.5,7.0,96.0,6.0,0.6666666666666666,8.666666666666666,17.714285714285715,0.05263157894736842,0,0
6,9,47,7.8,0,13,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,W,401437783,2022 Regular Season,Tee Higgins,2022,Regular Season,6,315.0,20.0,2.0,28.0,63.0,4.0,0.4,5.6,72.33333333333333,4.0,0.3333333333333333,5.333333333333333,0.0,0.07142857142857142,0,0
5,7,93,18.6,0,25,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,W,401437794,2022 Regular Season,Tee Higgins,2022,Regular Season,7,362.0,26.0,2.0,37.0,60.333333333333336,4.333333333333333,0.3333333333333333,6.166666666666667,57.0,4.333333333333333,0.3333333333333333,6.0,7.833333333333333,0.07142857142857142,0,0
3,6,49,16.3,1,41,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,L,401437818,2022 Regular Season,Tee Higgins,2022,Regular Season,8,455.0,31.0,2.0,44.0,65.0,4.428571428571429,0.2857142857142857,6.285714285714286,46.666666666666664,3.6666666666666665,0.0,5.333333333333333,18.6,0.05405405405405406,0,1
7,8,60,8.6,0,17,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,42,21,W,401437822,2022 Regular Season,Tee Higgins,2022,Regular Season,9,504.0,34.0,3.0,50.0,63.0,4.25,0.375,6.25,63.0,4.666666666666667,0.3333333333333333,7.333333333333333,16.333333333333332,0.045454545454545456,0,0
9,13,148,16.4,0,33,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,W,401437856,2022 Regular Season,Tee Higgins,2022,Regular Season,10,564.0,41.0,3.0,58.0,62.666666666666664,4.555555555555555,0.3333333333333333,6.444444444444445,67.33333333333333,5.0,0.3333333333333333,7.0,8.571428571428571,0.06,0,0
