receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,L,401437645,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,30,7.5,0,12,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,L,401437772,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,L,401437786,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,3,30.0,4.0,0.0,4.0,15.0,2.0,0.0,2.0,15.0,2.0,0.0,2.0,7.5,0.0,0,0
2,3,31,15.5,0,20,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,W,401437793,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,4,30.0,4.0,0.0,5.0,10.0,1.3333333333333333,0.0,1.6666666666666667,10.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
4,9,87,21.8,0,39,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,L,401437806,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,5,61.0,6.0,0.0,8.0,15.25,1.5,0.0,2.0,20.333333333333332,2.0,0.0,2.6666666666666665,15.5,0.0,0,0
3,6,53,17.7,1,21,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,42,21,L,401437822,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,6,148.0,10.0,0.0,17.0,29.6,2.0,0.0,3.4,39.333333333333336,2.0,0.0,4.333333333333333,21.75,0.0,0,1
1,2,43,43.0,0,43,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,W,401437832,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,7,201.0,13.0,1.0,23.0,33.5,2.1666666666666665,0.16666666666666666,3.8333333333333335,57.0,3.0,0.3333333333333333,6.0,17.666666666666668,0.0,0,0
3,6,76,25.3,0,34,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,L,401437846,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,8,244.0,14.0,1.0,25.0,34.857142857142854,2.0,0.14285714285714285,3.5714285714285716,61.0,2.6666666666666665,0.3333333333333333,5.666666666666667,43.0,0.043478260869565216,0,0
1,3,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,10,W,401437860,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,9,320.0,17.0,1.0,31.0,40.0,2.125,0.125,3.875,57.333333333333336,2.3333333333333335,0.3333333333333333,4.666666666666667,25.333333333333332,0.04,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,24,30,W,401437898,2022 Regular Season,Terrace Marshall Jr.,2022,Regular Season,10,328.0,18.0,1.0,34.0,36.44444444444444,2.0,0.1111111111111111,3.7777777777777777,42.333333333333336,1.6666666666666667,0.0,3.6666666666666665,8.0,0.03225806451612903,0,0
