receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,58,29.0,1,49,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,Terry McLaurin,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
4,8,75,18.8,0,35,1,7,7.0,7,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,L,401437732,2022 Regular Season,Terry McLaurin,2022,Regular Season,2,58.0,2.0,1.0,4.0,58.0,2.0,1.0,4.0,58.0,2.0,1.0,4.0,29.0,0.0,0,0
6,9,102,17.0,0,45,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,L,401437742,2022 Regular Season,Terry McLaurin,2022,Regular Season,3,133.0,6.0,1.0,12.0,66.5,3.0,0.5,6.0,66.5,3.0,0.5,6.0,18.75,0.25,0,0
2,6,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,L,401437751,2022 Regular Season,Terry McLaurin,2022,Regular Season,4,235.0,12.0,1.0,21.0,78.33333333333333,4.0,0.3333333333333333,7.0,78.33333333333333,4.0,0.3333333333333333,7.0,17.0,0.08333333333333333,0,0
5,6,76,15.2,0,34,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,L,401437771,2022 Regular Season,Terry McLaurin,2022,Regular Season,5,250.0,14.0,1.0,27.0,62.5,3.5,0.25,6.75,64.0,4.0,0.0,7.666666666666667,7.5,0.047619047619047616,0,0
3,4,41,13.7,0,17,2,11,5.5,6,0,1,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,W,401437777,2022 Regular Season,Terry McLaurin,2022,Regular Season,6,326.0,19.0,1.0,33.0,65.2,3.8,0.2,6.6,64.33333333333333,4.333333333333333,0.0,7.0,15.2,0.037037037037037035,0,0
5,8,73,14.6,1,37,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,W,401437798,2022 Regular Season,Terry McLaurin,2022,Regular Season,7,367.0,22.0,1.0,37.0,61.166666666666664,3.6666666666666665,0.16666666666666666,6.166666666666667,44.0,3.3333333333333335,0.0,5.333333333333333,13.666666666666666,0.030303030303030304,0,1
6,8,113,18.8,0,42,1,-7,-7.0,-7,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,W,401437814,2022 Regular Season,Terry McLaurin,2022,Regular Season,8,440.0,27.0,2.0,45.0,62.857142857142854,3.857142857142857,0.2857142857142857,6.428571428571429,63.333333333333336,4.333333333333333,0.3333333333333333,6.0,14.6,0.02702702702702703,0,0
5,9,56,11.2,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437827,2022 Regular Season,Terry McLaurin,2022,Regular Season,9,553.0,33.0,2.0,53.0,69.125,4.125,0.25,6.625,75.66666666666667,4.666666666666667,0.3333333333333333,6.666666666666667,18.833333333333332,0.044444444444444446,0,0
8,11,128,16.0,0,41,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,W,401437843,2022 Regular Season,Terry McLaurin,2022,Regular Season,10,609.0,38.0,2.0,62.0,67.66666666666667,4.222222222222222,0.2222222222222222,6.888888888888889,80.66666666666667,5.333333333333333,0.3333333333333333,8.333333333333334,11.2,0.03773584905660377,0,0
