receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,12,6.0,0,10,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,20,L,401671721,2024 Regular Season,Tim Patrick,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,W,401671771,2024 Regular Season,Tim Patrick,2024,Regular Season,2,12.0,2.0,0.0,4.0,12.0,2.0,0.0,4.0,12.0,2.0,0.0,4.0,6.0,0.0,0,0
2,2,52,26.0,0,29,0,0,0.0,0,0,0,0,0,0,4,2024-10-01T00:15:00.000+00:00,42,29,W,401671491,2024 Regular Season,Tim Patrick,2024,Regular Season,3,20.0,3.0,0.0,5.0,10.0,1.5,0.0,2.5,10.0,1.5,0.0,2.5,8.0,0.0,0,0
3,3,68,22.7,0,42,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,9,47,W,401671764,2024 Regular Season,Tim Patrick,2024,Regular Season,4,72.0,5.0,0.0,7.0,24.0,1.6666666666666667,0.0,2.3333333333333335,24.0,1.6666666666666667,0.0,2.3333333333333335,26.0,0.0,0,0
2,2,25,12.5,0,22,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,29,31,W,401671724,2024 Regular Season,Tim Patrick,2024,Regular Season,5,140.0,8.0,0.0,10.0,35.0,2.0,0.0,2.5,42.666666666666664,2.0,0.0,2.0,22.666666666666668,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,52,14,W,401671720,2024 Regular Season,Tim Patrick,2024,Regular Season,6,165.0,10.0,0.0,12.0,33.0,2.0,0.0,2.4,48.333333333333336,2.3333333333333335,0.0,2.3333333333333335,12.5,0.0,0,0
2,2,12,6.0,0,9,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,14,24,W,401671767,2024 Regular Season,Tim Patrick,2024,Regular Season,7,165.0,10.0,0.0,13.0,27.5,1.6666666666666667,0.0,2.1666666666666665,31.0,1.6666666666666667,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-11T01:20:00.000+00:00,23,26,W,401671787,2024 Regular Season,Tim Patrick,2024,Regular Season,8,177.0,12.0,0.0,15.0,25.285714285714285,1.7142857142857142,0.0,2.142857142857143,12.333333333333334,1.3333333333333333,0.0,1.6666666666666667,6.0,0.0,0,0
3,4,26,8.7,0,13,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,52,6,W,401671642,2024 Regular Season,Tim Patrick,2024,Regular Season,9,177.0,12.0,0.0,15.0,22.125,1.5,0.0,1.875,4.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
4,4,55,13.8,0,27,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,6,24,W,401671866,2024 Regular Season,Tim Patrick,2024,Regular Season,10,203.0,15.0,0.0,19.0,22.555555555555557,1.6666666666666667,0.0,2.111111111111111,12.666666666666666,1.6666666666666667,0.0,2.0,8.666666666666666,0.0,0,0
2,3,48,24.0,0,30,0,0,0.0,0,0,0,0,-,-,13,2024-11-28T17:30:00.000+00:00,23,20,W,401671492,2024 Regular Season,Tim Patrick,2024,Regular Season,11,258.0,19.0,0.0,23.0,25.8,1.9,0.0,2.3,27.0,2.3333333333333335,0.0,2.6666666666666665,13.75,0.0,0,0
6,7,43,7.2,2,18,0,0,0.0,0,0,0,0,-,-,14,2024-12-06T01:15:00.000+00:00,34,31,W,401671814,2024 Regular Season,Tim Patrick,2024,Regular Season,12,306.0,21.0,0.0,26.0,27.818181818181817,1.9090909090909092,0.0,2.3636363636363638,43.0,3.0,0.0,3.6666666666666665,24.0,0.0,0,1
