receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,34,28,L,401671617,2024 Regular Season,Tip Reiman,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,W,401671754,2024 Regular Season,Tip Reiman,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,L,401671771,2024 Regular Season,Tip Reiman,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,L,401671755,2024 Regular Season,Tip Reiman,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,23,24,W,401671756,2024 Regular Season,Tip Reiman,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,34,13,L,401671722,2024 Regular Season,Tip Reiman,2024,Regular Season,6,5.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,5.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,7,2024-10-22T01:00:00.000+00:00,17,15,W,401671699,2024 Regular Season,Tip Reiman,2024,Regular Season,7,5.0,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,28,W,401671850,2024 Regular Season,Tip Reiman,2024,Regular Season,8,6.0,2.0,0.0,2.0,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857,2.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,29,9,W,401671661,2024 Regular Season,Tip Reiman,2024,Regular Season,9,6.0,2.0,0.0,2.0,0.75,0.25,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,31,6,W,401671678,2024 Regular Season,Tip Reiman,2024,Regular Season,10,6.0,2.0,0.0,2.0,0.6666666666666666,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T21:25:00.000+00:00,16,6,L,401671775,2024 Regular Season,Tip Reiman,2024,Regular Season,11,6.0,2.0,0.0,2.0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,23,22,L,401671726,2024 Regular Season,Tip Reiman,2024,Regular Season,12,6.0,2.0,0.0,2.0,0.5454545454545454,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,0
