receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,L,401437651,2022 Regular Season,Tommy Tremble,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,L,401437645,2022 Regular Season,Tommy Tremble,2022,Regular Season,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,22,14,W,401437736,2022 Regular Season,Tommy Tremble,2022,Regular Season,3,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0,0
3,6,34,11.3,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:05:00.000+00:00,16,26,L,401437758,2022 Regular Season,Tommy Tremble,2022,Regular Season,4,8.0,2.0,0.0,2.0,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,7.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,L,401437772,2022 Regular Season,Tommy Tremble,2022,Regular Season,5,42.0,5.0,0.0,8.0,10.5,1.25,0.0,2.0,13.666666666666666,1.3333333333333333,0.0,2.3333333333333335,11.333333333333334,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,L,401437786,2022 Regular Season,Tommy Tremble,2022,Regular Season,6,42.0,5.0,0.0,9.0,8.4,1.0,0.0,1.8,13.666666666666666,1.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0,0
1,1,29,29.0,1,29,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,W,401437793,2022 Regular Season,Tommy Tremble,2022,Regular Season,7,42.0,5.0,0.0,9.0,7.0,0.8333333333333334,0.0,1.5,11.333333333333334,1.0,0.0,2.3333333333333335,0.0,0.0,0,1
2,4,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,L,401437806,2022 Regular Season,Tommy Tremble,2022,Regular Season,8,71.0,6.0,1.0,10.0,10.142857142857142,0.8571428571428571,0.14285714285714285,1.4285714285714286,9.666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,29.0,0.0,0,0
2,4,11,5.5,1,8,0,0,0.0,0,0,1,1,0,0,9,2022-11-06T18:00:00.000+00:00,42,21,L,401437822,2022 Regular Season,Tommy Tremble,2022,Regular Season,9,88.0,8.0,1.0,14.0,11.0,1.0,0.125,1.75,15.333333333333334,1.0,0.3333333333333333,1.6666666666666667,8.5,0.1,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,W,401437832,2022 Regular Season,Tommy Tremble,2022,Regular Season,10,99.0,10.0,2.0,18.0,11.0,1.1111111111111112,0.2222222222222222,2.0,19.0,1.6666666666666667,0.6666666666666666,3.0,5.5,0.07142857142857142,0,0
