receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
8,9,121,15.1,1,35,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,W,401437653,2022 Regular Season,Travis Kelce,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,7,51,10.2,0,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,W,401434030,2022 Regular Season,Travis Kelce,2022,Regular Season,2,121.0,8.0,1.0,9.0,121.0,8.0,1.0,9.0,121.0,8.0,1.0,9.0,15.125,0.0,0,0
4,8,58,14.5,1,29,1,1,1.0,1,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,L,401437638,2022 Regular Season,Travis Kelce,2022,Regular Season,3,172.0,13.0,1.0,16.0,86.0,6.5,0.5,8.0,86.0,6.5,0.5,8.0,10.2,0.1111111111111111,0,1
9,10,92,10.2,1,22,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,W,401437470,2022 Regular Season,Travis Kelce,2022,Regular Season,4,230.0,17.0,2.0,24.0,76.66666666666667,5.666666666666667,0.6666666666666666,8.0,76.66666666666667,5.666666666666667,0.6666666666666666,8.0,14.5,0.0625,0,1
7,8,25,3.6,4,8,0,0,0.0,0,0,0,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,W,401437776,2022 Regular Season,Travis Kelce,2022,Regular Season,5,322.0,26.0,3.0,34.0,80.5,6.5,0.75,8.5,67.0,6.0,0.6666666666666666,8.333333333333334,10.222222222222221,0.08333333333333333,0,1
8,10,108,13.5,0,25,1,4,4.0,4,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,L,401437788,2022 Regular Season,Travis Kelce,2022,Regular Season,6,347.0,33.0,7.0,42.0,69.4,6.6,1.4,8.4,58.333333333333336,6.666666666666667,2.0,8.666666666666666,3.5714285714285716,0.08823529411764706,0,0
6,8,98,16.3,0,27,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,44,W,401437802,2022 Regular Season,Travis Kelce,2022,Regular Season,7,455.0,41.0,7.0,52.0,75.83333333333333,6.833333333333333,1.1666666666666667,8.666666666666666,75.0,8.0,1.6666666666666667,9.333333333333334,13.5,0.16666666666666666,0,0
10,17,106,10.6,0,23,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,W,401437830,2022 Regular Season,Travis Kelce,2022,Regular Season,8,553.0,47.0,7.0,60.0,79.0,6.714285714285714,1.0,8.571428571428571,77.0,7.0,1.3333333333333333,8.666666666666666,16.333333333333332,0.1346153846153846,0,0
6,7,81,13.5,1,46,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,W,401437835,2022 Regular Season,Travis Kelce,2022,Regular Season,9,659.0,57.0,7.0,77.0,82.375,7.125,0.875,9.625,104.0,8.0,0.0,11.666666666666666,10.6,0.11666666666666667,0,1
6,10,115,19.2,3,34,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,W,401437854,2022 Regular Season,Travis Kelce,2022,Regular Season,10,740.0,63.0,8.0,84.0,82.22222222222223,7.0,0.8888888888888888,9.333333333333334,95.0,7.333333333333333,0.3333333333333333,10.666666666666666,13.5,0.09090909090909091,0,1
