receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,1,34,34.0,34,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,38,10,L,401547411,2023 Regular Season,Tre Tucker,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,L,401547439,2023 Regular Season,Tre Tucker,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:05:00.000+00:00,24,17,L,401547447,2023 Regular Season,Tre Tucker,2023,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,1,0,0.0,0,0,1,16,16.0,16,0,0,0,0,0,5,2023-10-10T00:15:00.000+00:00,17,13,W,401547468,2023 Regular Season,Tre Tucker,2023,Regular Season,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,57,28.5,0,48,1,4,4.0,4,0,0,0,0,0,6,2023-10-15T20:05:00.000+00:00,21,17,W,401547474,2023 Regular Season,Tre Tucker,2023,Regular Season,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,3,16,8.0,0,12,1,2,2.0,2,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,30,12,L,401547490,2023 Regular Season,Tre Tucker,2023,Regular Season,6,57.0,2.0,0.0,4.0,11.4,0.4,0.0,0.8,19.0,0.6666666666666666,0.0,1.0,28.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,L,401547511,2023 Regular Season,Tre Tucker,2023,Regular Season,7,73.0,4.0,0.0,7.0,12.166666666666666,0.6666666666666666,0.0,1.1666666666666667,24.333333333333332,1.3333333333333333,0.0,2.0,8.0,0.0,0,0
2,3,52,26.0,0,50,1,4,4.0,4,0,0,0,0,0,9,2023-11-05T21:25:00.000+00:00,30,6,W,401547521,2023 Regular Season,Tre Tucker,2023,Regular Season,8,73.0,4.0,0.0,7.0,10.428571428571429,0.5714285714285714,0.0,1.0,24.333333333333332,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,1,9,9.0,9,0,0,0,0,0,10,2023-11-13T01:20:00.000+00:00,16,12,W,401547536,2023 Regular Season,Tre Tucker,2023,Regular Season,9,125.0,6.0,0.0,10.0,15.625,0.75,0.0,1.25,22.666666666666668,1.3333333333333333,0.0,2.0,26.0,0.0,0,0
2,7,36,18.0,0,19,1,-6,-6.0,-6,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,20,13,L,401547542,2023 Regular Season,Tre Tucker,2023,Regular Season,10,125.0,6.0,0.0,10.0,13.88888888888889,0.6666666666666666,0.0,1.1111111111111112,17.333333333333332,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:25:00.000+00:00,17,31,L,401547557,2023 Regular Season,Tre Tucker,2023,Regular Season,11,161.0,8.0,0.0,17.0,16.1,0.8,0.0,1.7,29.333333333333332,1.3333333333333333,0.0,3.3333333333333335,18.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:05:00.000+00:00,0,3,L,401547588,2023 Regular Season,Tre Tucker,2023,Regular Season,12,161.0,8.0,0.0,18.0,14.636363636363637,0.7272727272727273,0.0,1.6363636363636365,12.0,0.6666666666666666,0.0,2.6666666666666665,0.0,0.0,0,0
3,4,59,19.7,2,30,1,-2,-2.0,-2,0,0,0,0,0,15,2023-12-15T01:15:00.000+00:00,63,21,W,401547593,2023 Regular Season,Tre Tucker,2023,Regular Season,13,161.0,8.0,0.0,19.0,13.416666666666666,0.6666666666666666,0.0,1.5833333333333333,12.0,0.6666666666666666,0.0,3.0,0.0,0.0,0,1
1,1,-4,-4.0,0,-4,1,5,5.0,5,0,0,0,0,0,16,2023-12-25T18:00:00.000+00:00,14,20,W,401547351,2023 Regular Season,Tre Tucker,2023,Regular Season,14,220.0,11.0,2.0,23.0,16.923076923076923,0.8461538461538461,0.15384615384615385,1.7692307692307692,19.666666666666668,1.0,0.6666666666666666,2.0,19.666666666666668,0.0,0,0
