receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,9,4.5,0,12,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,2,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,8.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,3,17.0,3.0,0.0,4.0,8.5,1.5,0.0,2.0,8.5,1.5,0.0,2.0,4.5,0.0,0,0
4,6,55,13.8,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,4,22.0,4.0,0.0,5.0,7.333333333333333,1.3333333333333333,0.0,1.6666666666666667,7.333333333333333,1.3333333333333333,0.0,1.6666666666666667,5.0,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,5,77.0,8.0,0.0,11.0,19.25,2.0,0.0,2.75,23.0,2.3333333333333335,0.0,3.0,13.75,0.0,0,0
1,4,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,6,82.0,9.0,0.0,13.0,16.4,1.8,0.0,2.6,21.666666666666668,2.0,0.0,3.0,5.0,0.0,0,0
3,3,44,14.7,0,32,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,7,88.0,10.0,0.0,17.0,14.666666666666666,1.6666666666666667,0.0,2.8333333333333335,22.0,2.0,0.0,4.0,6.0,0.0,0,0
2,2,25,12.5,0,14,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,8,132.0,13.0,0.0,20.0,18.857142857142858,1.8571428571428572,0.0,2.857142857142857,18.333333333333332,1.6666666666666667,0.0,3.0,14.666666666666666,0.0,0,0
3,3,27,9.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,9,157.0,15.0,0.0,22.0,19.625,1.875,0.0,2.75,25.0,2.0,0.0,3.0,12.5,0.0,0,0
4,5,63,15.8,1,27,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,10,184.0,18.0,0.0,25.0,20.444444444444443,2.0,0.0,2.7777777777777777,32.0,2.6666666666666665,0.0,2.6666666666666665,9.0,0.0,0,1
2,5,33,16.5,0,24,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,11,247.0,22.0,1.0,30.0,24.7,2.2,0.1,3.0,38.333333333333336,3.0,0.3333333333333333,3.3333333333333335,15.75,0.0,0,0
1,3,75,75.0,1,75,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,12,280.0,24.0,1.0,35.0,25.454545454545453,2.1818181818181817,0.09090909090909091,3.1818181818181817,41.0,3.0,0.3333333333333333,4.333333333333333,16.5,0.03333333333333333,0,1
1,4,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,L,401437896,2022 Regular Season,Trent Sherfield Sr.,2022,Regular Season,13,355.0,25.0,2.0,38.0,29.583333333333332,2.0833333333333335,0.16666666666666666,3.1666666666666665,57.0,2.3333333333333335,0.6666666666666666,4.333333333333333,75.0,0.02857142857142857,0,0
