receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,W,401437642,2022 Regular Season,Trey McBride,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,L,401437744,2022 Regular Season,Trey McBride,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,3,24,8.0,0,11,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:05:00.000+00:00,16,26,W,401437758,2022 Regular Season,Trey McBride,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,L,401437773,2022 Regular Season,Trey McBride,2022,Regular Season,4,24.0,3.0,0.0,3.0,8.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,L,401437787,2022 Regular Season,Trey McBride,2022,Regular Season,5,24.0,3.0,0.0,3.0,6.0,0.75,0.0,0.75,8.0,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,W,401437791,2022 Regular Season,Trey McBride,2022,Regular Season,6,24.0,3.0,0.0,3.0,4.8,0.6,0.0,0.6,8.0,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,L,401437809,2022 Regular Season,Trey McBride,2022,Regular Season,7,24.0,3.0,0.0,3.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,L,401437828,2022 Regular Season,Trey McBride,2022,Regular Season,8,24.0,3.0,0.0,3.0,3.4285714285714284,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,1,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,W,401437841,2022 Regular Season,Trey McBride,2022,Regular Season,9,24.0,3.0,0.0,3.0,3.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,4,14,3.5,0,6,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,L,401435642,2022 Regular Season,Trey McBride,2022,Regular Season,10,31.0,4.0,0.0,4.0,3.4444444444444446,0.4444444444444444,0.0,0.4444444444444444,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,7.0,0.0,0,0
1,3,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,L,401437867,2022 Regular Season,Trey McBride,2022,Regular Season,11,45.0,8.0,0.0,8.0,4.5,0.8,0.0,0.8,7.0,1.6666666666666667,0.0,1.6666666666666667,3.5,0.0,0,0
3,6,28,9.3,0,15,0,0,0.0,0,0,0,0,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,L,401437900,2022 Regular Season,Trey McBride,2022,Regular Season,12,46.0,9.0,0.0,11.0,4.181818181818182,0.8181818181818182,0.0,1.0,7.333333333333333,2.0,0.0,2.6666666666666665,1.0,0.0,0,0
4,5,55,13.8,0,29,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,L,401437912,2022 Regular Season,Trey McBride,2022,Regular Season,13,74.0,12.0,0.0,17.0,6.166666666666667,1.0,0.0,1.4166666666666667,14.333333333333334,2.6666666666666665,0.0,4.333333333333333,9.333333333333334,0.0,0,0
3,4,17,5.7,0,7,0,0,0.0,0,0,0,0,0,0,16,2022-12-26T01:20:00.000+00:00,16,19,L,401437930,2022 Regular Season,Trey McBride,2022,Regular Season,14,129.0,16.0,0.0,22.0,9.923076923076923,1.2307692307692308,0.0,1.6923076923076923,28.0,2.6666666666666665,0.0,4.666666666666667,13.75,0.0,0,0
7,10,78,11.1,1,26,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,20,19,L,401437933,2022 Regular Season,Trey McBride,2022,Regular Season,15,146.0,19.0,0.0,26.0,10.428571428571429,1.3571428571428572,0.0,1.8571428571428572,33.333333333333336,3.3333333333333335,0.0,5.0,5.666666666666667,0.0,0,1
3,3,41,13.7,0,23,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,38,13,L,401437962,2022 Regular Season,Trey McBride,2022,Regular Season,16,224.0,26.0,1.0,36.0,14.933333333333334,1.7333333333333334,0.06666666666666667,2.4,50.0,4.666666666666667,0.3333333333333333,6.333333333333333,11.142857142857142,0.0,0,0
2,2,23,11.5,0,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,L,401547406,2023 Regular Season,Trey McBride,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,32,16.0,0,23,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,L,401547421,2023 Regular Season,Trey McBride,2023,Regular Season,2,23.0,2.0,0.0,2.0,23.0,2.0,0.0,2.0,23.0,2.0,0.0,2.0,11.5,0.0,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,28,16,W,401547437,2023 Regular Season,Trey McBride,2023,Regular Season,3,55.0,4.0,0.0,5.0,27.5,2.0,0.0,2.5,27.5,2.0,0.0,2.5,16.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,35,16,L,401547454,2023 Regular Season,Trey McBride,2023,Regular Season,4,57.0,5.0,0.0,6.0,19.0,1.6666666666666667,0.0,2.0,19.0,1.6666666666666667,0.0,2.0,2.0,0.0,0,0
2,3,17,8.5,0,13,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,L,401547466,2023 Regular Season,Trey McBride,2023,Regular Season,5,62.0,6.0,0.0,7.0,15.5,1.5,0.0,1.75,13.0,1.3333333333333333,0.0,1.6666666666666667,5.0,0.0,0,0
4,5,62,15.5,0,27,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,L,401547479,2023 Regular Season,Trey McBride,2023,Regular Season,6,79.0,8.0,0.0,10.0,15.8,1.6,0.0,2.0,8.0,1.3333333333333333,0.0,1.6666666666666667,8.5,0.0,0,0
3,6,29,9.7,0,19,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,L,401547493,2023 Regular Season,Trey McBride,2023,Regular Season,7,141.0,12.0,0.0,15.0,23.5,2.0,0.0,2.5,28.0,2.3333333333333335,0.0,3.0,15.5,0.0,0,0
