receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,8,4.0,1,7,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,17,20,W,401547398,2023 Regular Season,Trey Palmer,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,17,W,401547420,2023 Regular Season,Trey Palmer,2023,Regular Season,2,8.0,2.0,1.0,3.0,8.0,2.0,1.0,3.0,8.0,2.0,1.0,3.0,4.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,L,401547440,2023 Regular Season,Trey Palmer,2023,Regular Season,3,28.0,3.0,1.0,5.0,14.0,1.5,0.5,2.5,14.0,1.5,0.5,2.5,20.0,0.3333333333333333,0,0
2,3,6,3.0,1,5,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,9,26,W,401547450,2023 Regular Season,Trey Palmer,2023,Regular Season,4,36.0,4.0,1.0,6.0,12.0,1.3333333333333333,0.3333333333333333,2.0,12.0,1.3333333333333333,0.3333333333333333,2.0,8.0,0.2,0,1
2,7,47,23.5,0,26,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,L,401547478,2023 Regular Season,Trey Palmer,2023,Regular Season,5,42.0,6.0,2.0,9.0,10.5,1.5,0.5,2.25,11.333333333333334,1.3333333333333333,0.3333333333333333,2.0,3.0,0.16666666666666666,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,L,401547491,2023 Regular Season,Trey Palmer,2023,Regular Season,6,89.0,8.0,2.0,16.0,17.8,1.6,0.4,3.2,20.333333333333332,1.6666666666666667,0.3333333333333333,3.6666666666666665,23.5,0.2222222222222222,0,0
3,6,22,7.3,0,15,0,0,0.0,0,0,0,0,0,0,8,2023-10-27T00:15:00.000+00:00,24,18,L,401547496,2023 Regular Season,Trey Palmer,2023,Regular Season,7,94.0,9.0,2.0,18.0,15.666666666666666,1.5,0.3333333333333333,3.0,19.333333333333332,1.6666666666666667,0.3333333333333333,4.0,5.0,0.125,0,0
3,4,51,17.0,0,21,0,0,0.0,0,0,1,0,0,0,9,2023-11-05T18:00:00.000+00:00,39,37,L,401547515,2023 Regular Season,Trey Palmer,2023,Regular Season,8,116.0,12.0,2.0,24.0,16.571428571428573,1.7142857142857142,0.2857142857142857,3.4285714285714284,24.666666666666668,2.0,0.0,5.0,7.333333333333333,0.1111111111111111,0,0
2,4,21,10.5,0,15,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,20,6,W,401547528,2023 Regular Season,Trey Palmer,2023,Regular Season,9,167.0,15.0,2.0,28.0,20.875,1.875,0.25,3.5,26.0,2.3333333333333335,0.0,4.0,17.0,0.08333333333333333,0,0
4,6,22,5.5,0,17,1,6,6.0,6,0,0,0,0,0,11,2023-11-19T21:05:00.000+00:00,27,14,L,401547549,2023 Regular Season,Trey Palmer,2023,Regular Season,10,188.0,17.0,2.0,32.0,20.88888888888889,1.8888888888888888,0.2222222222222222,3.5555555555555554,31.333333333333332,2.6666666666666665,0.0,4.666666666666667,10.5,0.07142857142857142,0,0
