receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,6,13,L,401671668,2024 Regular Season,Troy Franklin,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,5,11,5.5,0,6,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,7,26,W,401671741,2024 Regular Season,Troy Franklin,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
2,4,-2,-1.0,0,2,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,9,10,W,401671622,2024 Regular Season,Troy Franklin,2024,Regular Season,3,11.0,2.0,0.0,6.0,5.5,1.0,0.0,3.0,5.5,1.0,0.0,3.0,5.5,0.0,0,0
1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,34,18,W,401671747,2024 Regular Season,Troy Franklin,2024,Regular Season,4,9.0,4.0,0.0,10.0,3.0,1.3333333333333333,0.0,3.3333333333333335,3.0,1.3333333333333333,0.0,3.3333333333333335,-1.0,0.0,0,0
2,3,31,15.5,1,29,1,5,5.0,5,0,0,0,0,0,6,2024-10-13T20:05:00.000+00:00,16,23,L,401671655,2024 Regular Season,Troy Franklin,2024,Regular Season,5,29.0,5.0,0.0,12.0,7.25,1.25,0.0,3.0,9.666666666666666,1.6666666666666667,0.0,3.6666666666666665,20.0,0.0,0,1
5,6,50,10.0,0,30,0,0,0.0,0,0,0,0,0,0,7,2024-10-18T00:15:00.000+00:00,10,33,W,401671816,2024 Regular Season,Troy Franklin,2024,Regular Season,6,60.0,7.0,1.0,15.0,12.0,1.4,0.2,3.0,16.333333333333332,1.6666666666666667,0.3333333333333333,3.0,15.5,0.0,0,0
1,2,6,6.0,0,6,1,3,3.0,3,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,28,14,W,401671600,2024 Regular Season,Troy Franklin,2024,Regular Season,7,110.0,12.0,1.0,21.0,18.333333333333332,2.0,0.16666666666666666,3.5,33.666666666666664,2.6666666666666665,0.3333333333333333,3.6666666666666665,10.0,0.06666666666666667,0,0
1,4,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,41,10,L,401671623,2024 Regular Season,Troy Franklin,2024,Regular Season,8,116.0,13.0,1.0,23.0,16.571428571428573,1.8571428571428572,0.14285714285714285,3.2857142857142856,29.0,2.6666666666666665,0.3333333333333333,3.6666666666666665,6.0,0.047619047619047616,0,0
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,16,14,L,401671637,2024 Regular Season,Troy Franklin,2024,Regular Season,9,135.0,14.0,1.0,27.0,16.875,1.75,0.125,3.375,25.0,2.3333333333333335,0.0,4.0,19.0,0.043478260869565216,0,0
2,2,15,7.5,1,8,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T21:05:00.000+00:00,38,6,W,401671748,2024 Regular Season,Troy Franklin,2024,Regular Season,10,144.0,15.0,1.0,30.0,16.0,1.6666666666666667,0.1111111111111111,3.3333333333333335,11.333333333333334,1.0,0.0,3.0,9.0,0.037037037037037035,0,1
2,4,31,15.5,0,26,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:05:00.000+00:00,19,29,W,401671656,2024 Regular Season,Troy Franklin,2024,Regular Season,11,159.0,17.0,2.0,32.0,15.9,1.7,0.2,3.2,14.333333333333334,1.3333333333333333,0.3333333333333333,3.0,7.5,0.03333333333333333,0,0
2,5,28,14.0,0,23,0,0,0.0,0,0,0,0,-,-,13,2024-12-03T01:15:00.000+00:00,41,32,W,401671686,2024 Regular Season,Troy Franklin,2024,Regular Season,12,190.0,19.0,2.0,36.0,17.272727272727273,1.7272727272727273,0.18181818181818182,3.272727272727273,18.333333333333332,1.6666666666666667,0.3333333333333333,3.0,15.5,0.0625,0,0
