receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,13,16,W,401547491,2023 Regular Season,Tucker Fisk,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,28,31,L,401547518,2023 Regular Season,Tucker Fisk,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,9,7,L,401547603,2023 Regular Season,Tucker Fisk,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,29,10,W,401547616,2023 Regular Season,Tucker Fisk,2023,Regular Season,4,9.0,1.0,0.0,1.0,3.0,0.3333333333333333,0.0,0.3333333333333333,3.0,0.3333333333333333,0.0,0.3333333333333333,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,37,17,L,401547627,2023 Regular Season,Tucker Fisk,2023,Regular Season,5,9.0,1.0,0.0,1.0,2.25,0.25,0.0,0.25,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,48,17,L,401547649,2023 Regular Season,Tucker Fisk,2023,Regular Season,6,9.0,1.0,0.0,1.0,1.8,0.2,0.0,0.2,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:05:00.000+00:00,27,17,W,401671751,2024 Regular Season,Tucker Fisk,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,-,-,11,2024-11-18T01:20:00.000+00:00,34,27,W,401671675,2024 Regular Season,Tucker Fisk,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,-,-,12,2024-11-26T01:15:00.000+00:00,23,30,L,401671689,2024 Regular Season,Tucker Fisk,2024,Regular Season,3,6.0,1.0,0.0,2.0,3.0,0.5,0.0,1.0,3.0,0.5,0.0,1.0,6.0,0.0,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,13,17,W,401671649,2024 Regular Season,Tucker Fisk,2024,Regular Season,4,13.0,2.0,0.0,3.0,4.333333333333333,0.6666666666666666,0.0,1.0,4.333333333333333,0.6666666666666666,0.0,1.0,7.0,0.0,0,0
