receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,L,401437654,2022 Regular Season,Tutu Atwell,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,W,401437733,2022 Regular Season,Tutu Atwell,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,W,401437744,2022 Regular Season,Tutu Atwell,2022,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
1,2,54,54.0,0,54,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,L,401437774,2022 Regular Season,Tutu Atwell,2022,Regular Season,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,1,9,9.0,9,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,W,401437786,2022 Regular Season,Tutu Atwell,2022,Regular Season,5,54.0,1.0,0.0,4.0,13.5,0.25,0.0,1.0,18.0,0.3333333333333333,0.0,1.0,54.0,0.0,0,0
1,1,62,62.0,1,62,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,L,401437851,2022 Regular Season,Tutu Atwell,2022,Regular Season,6,54.0,1.0,0.0,4.0,10.8,0.2,0.0,0.8,18.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,1
2,2,23,11.5,0,15,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,26,10,L,401437869,2022 Regular Season,Tutu Atwell,2022,Regular Season,7,116.0,2.0,1.0,5.0,19.333333333333332,0.3333333333333333,0.16666666666666666,0.8333333333333334,38.666666666666664,0.6666666666666666,0.3333333333333333,1.0,62.0,0.0,0,0
2,5,48,24.0,0,30,4,23,5.8,7,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,23,27,L,401437882,2022 Regular Season,Tutu Atwell,2022,Regular Season,8,139.0,4.0,1.0,7.0,19.857142857142858,0.5714285714285714,0.14285714285714285,1.0,28.333333333333332,1.0,0.3333333333333333,1.0,11.5,0.2,0,0
5,9,50,10.0,0,22,2,-5,-2.5,1,0,0,0,0,0,14,2022-12-09T01:15:00.000+00:00,17,16,W,401437888,2022 Regular Season,Tutu Atwell,2022,Regular Season,9,187.0,6.0,1.0,12.0,23.375,0.75,0.125,1.5,44.333333333333336,1.6666666666666667,0.3333333333333333,2.6666666666666665,24.0,0.14285714285714285,0,0
1,4,10,10.0,0,10,1,-4,-4.0,-4,0,0,0,0,0,15,2022-12-20T01:15:00.000+00:00,24,12,L,401437916,2022 Regular Season,Tutu Atwell,2022,Regular Season,10,237.0,11.0,1.0,21.0,26.333333333333332,1.2222222222222223,0.1111111111111111,2.3333333333333335,40.333333333333336,3.0,0.0,5.333333333333333,10.0,0.08333333333333333,0,0
2,2,14,7.0,0,7,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T21:30:00.000+00:00,51,14,W,401436983,2022 Regular Season,Tutu Atwell,2022,Regular Season,11,247.0,12.0,1.0,25.0,24.7,1.2,0.1,2.5,36.0,2.6666666666666665,0.0,6.0,10.0,0.047619047619047616,0,0
2,5,10,5.0,0,6,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:25:00.000+00:00,31,10,L,401437946,2022 Regular Season,Tutu Atwell,2022,Regular Season,12,261.0,14.0,1.0,27.0,23.727272727272727,1.2727272727272727,0.09090909090909091,2.4545454545454546,24.666666666666668,2.6666666666666665,0.0,5.0,7.0,0.04,0,0
2,3,27,13.5,0,21,1,11,11.0,11,1,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,19,16,L,401437963,2022 Regular Season,Tutu Atwell,2022,Regular Season,13,271.0,16.0,1.0,32.0,22.583333333333332,1.3333333333333333,0.08333333333333333,2.6666666666666665,11.333333333333334,1.6666666666666667,0.0,3.6666666666666665,5.0,0.037037037037037035,0,0
6,8,119,19.8,0,44,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,W,401547408,2023 Regular Season,Tutu Atwell,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,9,77,11.0,0,18,1,5,5.0,5,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,23,30,L,401547422,2023 Regular Season,Tutu Atwell,2023,Regular Season,2,119.0,6.0,0.0,8.0,119.0,6.0,0.0,8.0,119.0,6.0,0.0,8.0,19.833333333333332,0.0,0,0
4,9,50,12.5,1,37,1,22,22.0,22,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,L,401547441,2023 Regular Season,Tutu Atwell,2023,Regular Season,3,196.0,13.0,0.0,17.0,98.0,6.5,0.0,8.5,98.0,6.5,0.0,8.5,11.0,0.0,0,1
5,9,24,4.8,0,11,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,W,401547449,2023 Regular Season,Tutu Atwell,2023,Regular Season,4,246.0,17.0,1.0,26.0,82.0,5.666666666666667,0.3333333333333333,8.666666666666666,82.0,5.666666666666667,0.3333333333333333,8.666666666666666,12.5,0.0,0,0
2,5,9,4.5,1,6,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,L,401547467,2023 Regular Season,Tutu Atwell,2023,Regular Season,5,270.0,22.0,1.0,35.0,67.5,5.5,0.25,8.75,50.333333333333336,5.333333333333333,0.3333333333333333,9.0,4.8,0.038461538461538464,0,1
1,1,30,30.0,0,30,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,W,401547479,2023 Regular Season,Tutu Atwell,2023,Regular Season,6,279.0,24.0,2.0,40.0,55.8,4.8,0.4,8.0,27.666666666666668,3.6666666666666665,0.6666666666666666,7.666666666666667,4.5,0.02857142857142857,0,0
1,2,31,31.0,1,31,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,L,401547492,2023 Regular Season,Tutu Atwell,2023,Regular Season,7,309.0,25.0,2.0,41.0,51.5,4.166666666666667,0.3333333333333333,6.833333333333333,21.0,2.6666666666666665,0.3333333333333333,5.0,30.0,0.05,0,1
2,4,21,10.5,0,20,2,8,4.0,8,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,L,401547505,2023 Regular Season,Tutu Atwell,2023,Regular Season,8,340.0,26.0,3.0,43.0,48.57142857142857,3.7142857142857144,0.42857142857142855,6.142857142857143,23.333333333333332,1.3333333333333333,0.6666666666666666,2.6666666666666665,31.0,0.04878048780487805,0,0
4,7,13,3.3,0,5,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,L,401547519,2023 Regular Season,Tutu Atwell,2023,Regular Season,9,361.0,28.0,3.0,47.0,45.125,3.5,0.375,5.875,27.333333333333332,1.3333333333333333,0.3333333333333333,2.3333333333333335,10.5,0.06976744186046512,0,0
1,3,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,W,401547544,2023 Regular Season,Tutu Atwell,2023,Regular Season,10,374.0,32.0,3.0,54.0,41.55555555555556,3.5555555555555554,0.3333333333333333,6.0,21.666666666666668,2.3333333333333335,0.3333333333333333,4.333333333333333,3.25,0.06382978723404255,0,0
3,3,76,25.3,0,42,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,W,401547562,2023 Regular Season,Tutu Atwell,2023,Regular Season,11,391.0,33.0,3.0,57.0,39.1,3.3,0.3,5.7,17.0,2.3333333333333335,0.0,4.666666666666667,17.0,0.05555555555555555,0,0
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:25:00.000+00:00,36,19,W,401547575,2023 Regular Season,Tutu Atwell,2023,Regular Season,12,467.0,36.0,3.0,60.0,42.45454545454545,3.272727272727273,0.2727272727272727,5.454545454545454,35.333333333333336,2.6666666666666665,0.0,4.333333333333333,25.333333333333332,0.05263157894736842,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,L,401547585,2023 Regular Season,Tutu Atwell,2023,Regular Season,13,476.0,37.0,3.0,62.0,39.666666666666664,3.0833333333333335,0.25,5.166666666666667,34.0,1.6666666666666667,0.0,2.6666666666666665,9.0,0.05,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-22T01:15:00.000+00:00,30,22,W,401547609,2023 Regular Season,Tutu Atwell,2023,Regular Season,14,476.0,37.0,3.0,63.0,36.61538461538461,2.8461538461538463,0.23076923076923078,4.846153846153846,28.333333333333332,1.3333333333333333,0.0,2.0,0.0,0.04838709677419355,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,25,26,W,401547632,2023 Regular Season,Tutu Atwell,2023,Regular Season,15,476.0,37.0,3.0,63.0,34.0,2.642857142857143,0.21428571428571427,4.5,3.0,0.3333333333333333,0.0,1.0,0.0,0.047619047619047616,0,0
2,4,7,3.5,0,4,1,-4,-4.0,-4,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,W,401547651,2023 Regular Season,Tutu Atwell,2023,Regular Season,16,476.0,37.0,3.0,63.0,31.733333333333334,2.466666666666667,0.2,4.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.047619047619047616,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,L,401671792,2024 Regular Season,Tutu Atwell,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,48,16.0,0,21,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,L,401671754,2024 Regular Season,Tutu Atwell,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
