receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,Tylan Wallace,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,L,401437633,2022 Regular Season,Tylan Wallace,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,26,37,W,401437631,2022 Regular Season,Tylan Wallace,2022,Regular Season,3,9.0,1.0,0.0,3.0,4.5,0.5,0.0,1.5,4.5,0.5,0.0,1.5,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,L,401437750,2022 Regular Season,Tylan Wallace,2022,Regular Season,4,9.0,1.0,0.0,3.0,3.0,0.3333333333333333,0.0,1.0,3.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,W,401437775,2022 Regular Season,Tylan Wallace,2022,Regular Season,5,9.0,1.0,0.0,3.0,2.25,0.25,0.0,0.75,3.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,L,401437784,2022 Regular Season,Tylan Wallace,2022,Regular Season,6,17.0,2.0,0.0,5.0,3.4,0.4,0.0,1.0,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,8.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,13,3,W,401437846,2022 Regular Season,Tylan Wallace,2022,Regular Season,7,21.0,3.0,0.0,6.0,3.5,0.5,0.0,1.0,4.0,0.6666666666666666,0.0,1.0,4.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,28,27,L,401437862,2022 Regular Season,Tylan Wallace,2022,Regular Season,8,21.0,3.0,0.0,6.0,3.0,0.42857142857142855,0.0,0.8571428571428571,4.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,27,16,L,401437951,2022 Regular Season,Tylan Wallace,2022,Regular Season,9,21.0,3.0,0.0,6.0,2.625,0.375,0.0,0.75,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Tylan Wallace,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Tylan Wallace,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Tylan Wallace,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Tylan Wallace,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Tylan Wallace,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-27T01:20:00.000+00:00,10,20,W,401547564,2023 Regular Season,Tylan Wallace,2023,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,W,401547585,2023 Regular Season,Tylan Wallace,2023,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,W,401547602,2023 Regular Season,Tylan Wallace,2023,Regular Season,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-26T01:15:00.000+00:00,19,33,W,401547622,2023 Regular Season,Tylan Wallace,2023,Regular Season,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,56,19,W,401547625,2023 Regular Season,Tylan Wallace,2023,Regular Season,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,18,2024-01-06T21:30:00.000+00:00,10,17,L,401547639,2023 Regular Season,Tylan Wallace,2023,Regular Season,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-06T00:40:00.000+00:00,27,20,L,401671789,2024 Regular Season,Tylan Wallace,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,26,L,401671624,2024 Regular Season,Tylan Wallace,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,25,28,W,401671763,2024 Regular Season,Tylan Wallace,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T00:20:00.000+00:00,35,10,W,401671783,2024 Regular Season,Tylan Wallace,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,31,15.5,0,19,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,38,41,W,401671626,2024 Regular Season,Tylan Wallace,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,30,23,W,401671625,2024 Regular Season,Tylan Wallace,2024,Regular Season,6,31.0,2.0,0.0,2.0,6.2,0.4,0.0,0.4,10.333333333333334,0.6666666666666666,0.0,0.6666666666666666,15.5,0.0,0,0
