receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,33,8.3,1,22,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,L,401437634,2022 Regular Season,Tyler Boyd,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,17,8.5,0,16,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,L,401437734,2022 Regular Season,Tyler Boyd,2022,Regular Season,2,33.0,4.0,1.0,7.0,33.0,4.0,1.0,7.0,33.0,4.0,1.0,7.0,8.25,0.0,0,0
4,5,105,26.3,1,56,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,W,401437740,2022 Regular Season,Tyler Boyd,2022,Regular Season,3,50.0,6.0,1.0,9.0,25.0,3.0,0.5,4.5,25.0,3.0,0.5,4.5,8.5,0.14285714285714285,0,1
2,5,47,23.5,0,43,0,0,0.0,0,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,W,401437748,2022 Regular Season,Tyler Boyd,2022,Regular Season,4,155.0,10.0,2.0,14.0,51.666666666666664,3.3333333333333335,0.6666666666666666,4.666666666666667,51.666666666666664,3.3333333333333335,0.6666666666666666,4.666666666666667,26.25,0.1111111111111111,0,0
3,4,32,10.7,0,18,0,0,0.0,0,0,0,0,0,0,5,2022-10-10T00:20:00.000+00:00,19,17,L,401437775,2022 Regular Season,Tyler Boyd,2022,Regular Season,5,202.0,12.0,2.0,19.0,50.5,3.0,0.5,4.75,56.333333333333336,2.6666666666666665,0.3333333333333333,4.0,23.5,0.14285714285714285,0,0
6,6,66,11.0,0,21,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,W,401437783,2022 Regular Season,Tyler Boyd,2022,Regular Season,6,234.0,15.0,2.0,23.0,46.8,3.0,0.4,4.6,61.333333333333336,3.0,0.3333333333333333,4.666666666666667,10.666666666666666,0.10526315789473684,0,0
8,9,155,19.4,1,60,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,35,17,W,401437794,2022 Regular Season,Tyler Boyd,2022,Regular Season,7,300.0,21.0,2.0,29.0,50.0,3.5,0.3333333333333333,4.833333333333333,48.333333333333336,3.6666666666666665,0.0,5.0,11.0,0.08695652173913043,0,1
3,5,38,12.7,1,14,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,L,401437818,2022 Regular Season,Tyler Boyd,2022,Regular Season,8,455.0,29.0,3.0,38.0,65.0,4.142857142857143,0.42857142857142855,5.428571428571429,84.33333333333333,5.666666666666667,0.3333333333333333,6.333333333333333,19.375,0.06896551724137931,0,1
5,6,44,8.8,0,15,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,42,21,W,401437822,2022 Regular Season,Tyler Boyd,2022,Regular Season,9,493.0,32.0,4.0,43.0,61.625,4.0,0.5,5.375,86.33333333333333,5.666666666666667,0.6666666666666666,6.666666666666667,12.666666666666666,0.07894736842105263,0,0
2,7,42,21.0,0,27,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,W,401437856,2022 Regular Season,Tyler Boyd,2022,Regular Season,10,537.0,37.0,4.0,49.0,59.666666666666664,4.111111111111111,0.4444444444444444,5.444444444444445,79.0,5.333333333333333,0.6666666666666666,6.666666666666667,8.8,0.09302325581395349,0,0
2,4,16,8.0,0,9,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,16,20,W,401437865,2022 Regular Season,Tyler Boyd,2022,Regular Season,11,579.0,39.0,4.0,56.0,57.9,3.9,0.4,5.6,41.333333333333336,3.3333333333333335,0.3333333333333333,6.0,21.0,0.08163265306122448,0,0
