receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,16,4.0,1,6,0,0,0.0,0,0,1,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,L,401437632,2022 Regular Season,Tyler Conklin,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,9,40,6.7,0,13,0,0,0.0,0,0,1,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,W,401437635,2022 Regular Season,Tyler Conklin,2022,Regular Season,2,16.0,4.0,1.0,7.0,16.0,4.0,1.0,7.0,16.0,4.0,1.0,7.0,4.0,0.0,0,0
8,8,84,10.5,0,21,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,L,401437740,2022 Regular Season,Tyler Conklin,2022,Regular Season,3,56.0,10.0,1.0,16.0,28.0,5.0,0.5,8.0,28.0,5.0,0.5,8.0,6.666666666666667,0.14285714285714285,0,0
3,5,52,17.3,0,26,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,W,401437757,2022 Regular Season,Tyler Conklin,2022,Regular Season,4,140.0,18.0,1.0,24.0,46.666666666666664,6.0,0.3333333333333333,8.0,46.666666666666664,6.0,0.3333333333333333,8.0,10.5,0.0625,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,W,401437769,2022 Regular Season,Tyler Conklin,2022,Regular Season,5,192.0,21.0,1.0,29.0,48.0,5.25,0.25,7.25,58.666666666666664,5.666666666666667,0.0,7.333333333333333,17.333333333333332,0.041666666666666664,0,0
1,2,16,16.0,0,16,1,1,1.0,1,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,W,401437780,2022 Regular Season,Tyler Conklin,2022,Regular Season,6,192.0,21.0,1.0,30.0,38.4,4.2,0.2,6.0,45.333333333333336,3.6666666666666665,0.0,4.666666666666667,0.0,0.034482758620689655,0,0
4,6,22,5.5,0,8,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,W,401437799,2022 Regular Season,Tyler Conklin,2022,Regular Season,7,208.0,22.0,1.0,32.0,34.666666666666664,3.6666666666666665,0.16666666666666666,5.333333333333333,22.666666666666668,1.3333333333333333,0.0,2.6666666666666665,16.0,0.03333333333333333,0,0
6,10,79,13.2,2,27,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,L,401437811,2022 Regular Season,Tyler Conklin,2022,Regular Season,8,230.0,26.0,1.0,38.0,32.857142857142854,3.7142857142857144,0.14285714285714285,5.428571428571429,12.666666666666666,1.6666666666666667,0.0,3.0,5.5,0.03125,0,1
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,W,401437826,2022 Regular Season,Tyler Conklin,2022,Regular Season,9,309.0,32.0,3.0,48.0,38.625,4.0,0.375,6.0,39.0,3.6666666666666665,0.6666666666666666,6.0,13.166666666666666,0.02631578947368421,0,0
2,3,15,7.5,0,8,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,L,401437850,2022 Regular Season,Tyler Conklin,2022,Regular Season,10,316.0,33.0,3.0,50.0,35.111111111111114,3.6666666666666665,0.3333333333333333,5.555555555555555,36.0,3.6666666666666665,0.6666666666666666,6.0,7.0,0.0625,0,0
3,3,50,16.7,0,29,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,31,10,W,401437864,2022 Regular Season,Tyler Conklin,2022,Regular Season,11,331.0,35.0,3.0,53.0,33.1,3.5,0.3,5.3,33.666666666666664,3.0,0.6666666666666666,5.0,7.5,0.06,0,0
2,7,9,4.5,0,6,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,27,22,L,401437879,2022 Regular Season,Tyler Conklin,2022,Regular Season,12,381.0,38.0,3.0,56.0,34.63636363636363,3.4545454545454546,0.2727272727272727,5.090909090909091,24.0,2.0,0.0,2.6666666666666665,16.666666666666668,0.05660377358490566,0,0
5,8,28,5.6,0,7,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,L,401437889,2022 Regular Season,Tyler Conklin,2022,Regular Season,13,390.0,40.0,3.0,63.0,32.5,3.3333333333333335,0.25,5.25,24.666666666666668,2.3333333333333335,0.0,4.333333333333333,4.5,0.05357142857142857,0,0
1,2,7,7.0,0,7,1,2,2.0,2,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,L,401437911,2022 Regular Season,Tyler Conklin,2022,Regular Season,14,418.0,45.0,3.0,71.0,32.15384615384615,3.4615384615384617,0.23076923076923078,5.461538461538462,29.0,3.3333333333333335,0.0,6.0,5.6,0.047619047619047616,0,0
4,4,34,8.5,0,27,0,0,0.0,0,0,0,0,0,0,16,2022-12-23T01:15:00.000+00:00,3,19,L,401437917,2022 Regular Season,Tyler Conklin,2022,Regular Season,15,425.0,46.0,3.0,73.0,30.357142857142858,3.2857142857142856,0.21428571428571427,5.214285714285714,14.666666666666666,2.6666666666666665,0.0,5.666666666666667,7.0,0.04225352112676056,0,0
6,6,80,13.3,0,30,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,23,6,L,401437944,2022 Regular Season,Tyler Conklin,2022,Regular Season,16,459.0,50.0,3.0,77.0,30.6,3.3333333333333335,0.2,5.133333333333334,23.0,3.3333333333333335,0.0,4.666666666666667,8.5,0.0410958904109589,0,0
2,4,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,L,401437955,2022 Regular Season,Tyler Conklin,2022,Regular Season,17,539.0,56.0,3.0,83.0,33.6875,3.5,0.1875,5.1875,40.333333333333336,3.6666666666666665,0.0,4.0,13.333333333333334,0.03896103896103896,0,0
1,1,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,W,401547352,2023 Regular Season,Tyler Conklin,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,50,10.0,0,17,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,30,10,L,401547415,2023 Regular Season,Tyler Conklin,2023,Regular Season,2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0,0
3,5,26,8.7,0,18,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,10,15,L,401547430,2023 Regular Season,Tyler Conklin,2023,Regular Season,3,52.0,6.0,0.0,7.0,26.0,3.0,0.0,3.5,26.0,3.0,0.0,3.5,10.0,0.0,0,0
4,6,58,14.5,0,25,0,0,0.0,0,0,0,0,0,0,4,2023-10-02T00:20:00.000+00:00,20,23,L,401547455,2023 Regular Season,Tyler Conklin,2023,Regular Season,4,78.0,9.0,0.0,12.0,26.0,3.0,0.0,4.0,26.0,3.0,0.0,4.0,8.666666666666666,0.0,0,0
4,5,67,16.8,0,37,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:25:00.000+00:00,21,31,W,401547461,2023 Regular Season,Tyler Conklin,2023,Regular Season,5,136.0,13.0,0.0,18.0,34.0,3.25,0.0,4.5,44.666666666666664,4.0,0.0,5.666666666666667,14.5,0.0,0,0
3,4,24,8.0,0,14,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,W,401547480,2023 Regular Season,Tyler Conklin,2023,Regular Season,6,203.0,17.0,0.0,23.0,40.6,3.4,0.0,4.6,50.333333333333336,3.6666666666666665,0.0,5.333333333333333,16.75,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,13,W,401547498,2023 Regular Season,Tyler Conklin,2023,Regular Season,7,227.0,20.0,0.0,27.0,37.833333333333336,3.3333333333333335,0.0,4.5,49.666666666666664,3.6666666666666665,0.0,5.0,8.0,0.0,0,0
6,6,66,11.0,0,33,0,0,0.0,0,0,0,0,0,0,9,2023-11-07T01:15:00.000+00:00,6,27,L,401547524,2023 Regular Season,Tyler Conklin,2023,Regular Season,8,227.0,20.0,0.0,29.0,32.42857142857143,2.857142857142857,0.0,4.142857142857143,30.333333333333332,2.3333333333333335,0.0,3.6666666666666665,0.0,0.0,0,0
7,7,70,10.0,0,27,0,0,0.0,0,0,0,0,0,0,10,2023-11-13T01:20:00.000+00:00,16,12,L,401547536,2023 Regular Season,Tyler Conklin,2023,Regular Season,9,293.0,26.0,0.0,35.0,36.625,3.25,0.0,4.375,30.0,3.0,0.0,4.0,11.0,0.0,0,0
2,3,18,9.0,0,13,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,32,6,L,401547543,2023 Regular Season,Tyler Conklin,2023,Regular Season,10,363.0,33.0,0.0,42.0,40.333333333333336,3.6666666666666665,0.0,4.666666666666667,45.333333333333336,4.333333333333333,0.0,5.0,10.0,0.0,0,0
4,5,33,8.3,0,9,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T20:00:00.000+00:00,13,34,L,401547242,2023 Regular Season,Tyler Conklin,2023,Regular Season,11,381.0,35.0,0.0,45.0,38.1,3.5,0.0,4.5,51.333333333333336,5.0,0.0,5.333333333333333,9.0,0.0,0,0
3,9,35,11.7,0,16,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,8,13,L,401547573,2023 Regular Season,Tyler Conklin,2023,Regular Season,12,414.0,39.0,0.0,50.0,37.63636363636363,3.5454545454545454,0.0,4.545454545454546,40.333333333333336,4.333333333333333,0.0,5.0,8.25,0.0,0,0
4,6,57,14.3,0,24,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,30,6,W,401547582,2023 Regular Season,Tyler Conklin,2023,Regular Season,13,449.0,42.0,0.0,59.0,37.416666666666664,3.5,0.0,4.916666666666667,28.666666666666668,3.0,0.0,5.666666666666667,11.666666666666666,0.0,0,0
4,7,18,4.5,0,10,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,30,0,L,401547594,2023 Regular Season,Tyler Conklin,2023,Regular Season,14,506.0,46.0,0.0,65.0,38.92307692307692,3.5384615384615383,0.0,5.0,41.666666666666664,3.6666666666666665,0.0,6.666666666666667,14.25,0.0,0,0
4,7,36,9.0,0,13,1,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,30,28,W,401547613,2023 Regular Season,Tyler Conklin,2023,Regular Season,15,524.0,50.0,0.0,72.0,37.42857142857143,3.5714285714285716,0.0,5.142857142857143,36.666666666666664,3.6666666666666665,0.0,7.333333333333333,4.5,0.0,0,0
5,5,45,9.0,0,20,0,0,0.0,0,0,0,0,0,0,17,2023-12-29T01:15:00.000+00:00,37,20,L,401547623,2023 Regular Season,Tyler Conklin,2023,Regular Season,16,560.0,54.0,0.0,79.0,37.333333333333336,3.6,0.0,5.266666666666667,37.0,4.0,0.0,6.666666666666667,9.0,0.0,0,0
2,3,16,8.0,0,9,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,3,17,W,401547648,2023 Regular Season,Tyler Conklin,2023,Regular Season,17,605.0,59.0,0.0,84.0,37.8125,3.6875,0.0,5.25,33.0,4.333333333333333,0.0,6.333333333333333,9.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,1,2024-09-10T00:15:00.000+00:00,32,19,L,401671696,2024 Regular Season,Tyler Conklin,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,W,401671636,2024 Regular Season,Tyler Conklin,2024,Regular Season,2,6.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,0.0,0,0
5,6,93,18.6,0,22,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,W,401671808,2024 Regular Season,Tyler Conklin,2024,Regular Season,3,16.0,2.0,0.0,4.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,10.0,0.0,0,0
4,8,17,4.3,0,9,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,9,10,L,401671622,2024 Regular Season,Tyler Conklin,2024,Regular Season,4,109.0,7.0,0.0,10.0,36.333333333333336,2.3333333333333335,0.0,3.3333333333333335,36.333333333333336,2.3333333333333335,0.0,3.3333333333333335,18.6,0.0,0,0
6,9,55,9.2,0,25,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T13:30:00.000+00:00,23,17,L,401671804,2024 Regular Season,Tyler Conklin,2024,Regular Season,5,126.0,11.0,0.0,18.0,31.5,2.75,0.0,4.5,40.0,3.3333333333333335,0.0,5.333333333333333,4.25,0.0,0,0
2,3,10,5.0,0,6,0,0,0.0,0,0,0,0,0,0,6,2024-10-15T00:15:00.000+00:00,20,23,L,401671684,2024 Regular Season,Tyler Conklin,2024,Regular Season,6,181.0,17.0,0.0,27.0,36.2,3.4,0.0,5.4,55.0,5.0,0.0,7.666666666666667,9.166666666666666,0.0,0,0
4,4,7,1.8,1,5,0,0,0.0,0,0,0,0,0,0,7,2024-10-21T00:20:00.000+00:00,37,15,L,401671785,2024 Regular Season,Tyler Conklin,2024,Regular Season,7,191.0,19.0,0.0,30.0,31.833333333333332,3.1666666666666665,0.0,5.0,27.333333333333332,4.0,0.0,6.666666666666667,5.0,0.0,0,1
3,4,42,14.0,1,27,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,25,22,L,401671618,2024 Regular Season,Tyler Conklin,2024,Regular Season,8,198.0,23.0,1.0,34.0,28.285714285714285,3.2857142857142856,0.14285714285714285,4.857142857142857,24.0,4.0,0.3333333333333333,5.333333333333333,1.75,0.0,0,1
1,2,-3,-3.0,0,-3,0,0,0.0,0,0,0,0,0,0,9,2024-11-01T00:15:00.000+00:00,21,13,W,401671809,2024 Regular Season,Tyler Conklin,2024,Regular Season,9,240.0,26.0,2.0,38.0,30.0,3.25,0.25,4.75,19.666666666666668,3.0,0.6666666666666666,3.6666666666666665,14.0,0.029411764705882353,0,0
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,31,6,L,401671678,2024 Regular Season,Tyler Conklin,2024,Regular Season,10,237.0,27.0,2.0,40.0,26.333333333333332,3.0,0.2222222222222222,4.444444444444445,15.333333333333334,2.6666666666666665,0.6666666666666666,3.3333333333333335,-3.0,0.05263157894736842,0,0
1,2,7,7.0,0,7,1,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,27,28,L,401671782,2024 Regular Season,Tyler Conklin,2024,Regular Season,11,245.0,28.0,2.0,42.0,24.5,2.8,0.2,4.2,15.666666666666666,1.6666666666666667,0.3333333333333333,2.6666666666666665,8.0,0.05,0,0
4,5,32,8.0,0,14,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,21,26,L,401671703,2024 Regular Season,Tyler Conklin,2024,Regular Season,12,252.0,29.0,2.0,44.0,22.90909090909091,2.6363636363636362,0.18181818181818182,4.0,4.0,1.0,0.0,2.0,7.0,0.047619047619047616,0,0
