receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,L,401437753,2022 Regular Season,Tyler Johnson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,W,401437765,2022 Regular Season,Tyler Johnson,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,8,4.0,1,8,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,W,401547651,2023 Regular Season,Tyler Johnson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,7,79,15.8,0,63,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,L,401671792,2024 Regular Season,Tyler Johnson,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,20,10.0,0,13,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:05:00.000+00:00,41,10,L,401671754,2024 Regular Season,Tyler Johnson,2024,Regular Season,2,79.0,5.0,0.0,7.0,79.0,5.0,0.0,7.0,79.0,5.0,0.0,7.0,15.8,0.0,0,0
3,4,20,6.7,0,9,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,27,24,W,401671772,2024 Regular Season,Tyler Johnson,2024,Regular Season,3,99.0,7.0,0.0,10.0,49.5,3.5,0.0,5.0,49.5,3.5,0.0,5.0,10.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,L,401671871,2024 Regular Season,Tyler Johnson,2024,Regular Season,4,119.0,10.0,0.0,14.0,39.666666666666664,3.3333333333333335,0.0,4.666666666666667,39.666666666666664,3.3333333333333335,0.0,4.666666666666667,6.666666666666667,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,19,24,L,401671679,2024 Regular Season,Tyler Johnson,2024,Regular Season,5,119.0,10.0,0.0,15.0,29.75,2.5,0.0,3.75,13.333333333333334,1.6666666666666667,0.0,2.6666666666666665,0.0,0.0,0,0
4,7,57,14.3,0,37,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,20,15,W,401671663,2024 Regular Season,Tyler Johnson,2024,Regular Season,6,119.0,10.0,0.0,15.0,23.8,2.0,0.0,3.0,6.666666666666667,1.0,0.0,1.6666666666666667,0.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2024-10-25T00:15:00.000+00:00,30,20,W,401671817,2024 Regular Season,Tyler Johnson,2024,Regular Season,7,176.0,14.0,0.0,22.0,29.333333333333332,2.3333333333333335,0.0,3.6666666666666665,19.0,1.3333333333333333,0.0,2.6666666666666665,14.25,0.0,0,0
3,5,38,12.7,0,24,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,20,26,W,401671776,2024 Regular Season,Tyler Johnson,2024,Regular Season,8,182.0,15.0,0.0,23.0,26.0,2.142857142857143,0.0,3.2857142857142856,21.0,1.6666666666666667,0.0,2.6666666666666665,6.0,0.0,0,0
3,4,25,8.3,0,10,0,0,0.0,0,0,0,0,0,0,10,2024-11-12T01:15:00.000+00:00,15,23,L,401671693,2024 Regular Season,Tyler Johnson,2024,Regular Season,9,220.0,18.0,0.0,28.0,27.5,2.25,0.0,3.5,33.666666666666664,2.6666666666666665,0.0,4.333333333333333,12.666666666666666,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,22,28,W,401671701,2024 Regular Season,Tyler Johnson,2024,Regular Season,10,245.0,21.0,0.0,32.0,27.22222222222222,2.3333333333333335,0.0,3.5555555555555554,23.0,2.3333333333333335,0.0,3.3333333333333335,8.333333333333334,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,-,-,12,2024-11-25T01:20:00.000+00:00,20,37,L,401671794,2024 Regular Season,Tyler Johnson,2024,Regular Season,11,245.0,21.0,0.0,32.0,24.5,2.1,0.0,3.2,21.0,2.0,0.0,3.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,14,21,W,401671753,2024 Regular Season,Tyler Johnson,2024,Regular Season,12,256.0,22.0,0.0,33.0,23.272727272727273,2.0,0.0,3.0,12.0,1.3333333333333333,0.0,1.6666666666666667,11.0,0.0,0,0
