receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,28,9.3,0,17,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,Tyler Lockett,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
9,11,107,11.9,0,27,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,Tyler Lockett,2022,Regular Season,2,28.0,3.0,0.0,4.0,28.0,3.0,0.0,4.0,28.0,3.0,0.0,4.0,9.333333333333334,0.0,0,0
9,11,76,8.4,0,20,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,Tyler Lockett,2022,Regular Season,3,135.0,12.0,0.0,15.0,67.5,6.0,0.0,7.5,67.5,6.0,0.0,7.5,11.88888888888889,0.0,0,0
6,8,91,15.2,0,34,0,0,0.0,0,0,1,1,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,Tyler Lockett,2022,Regular Season,4,211.0,21.0,0.0,26.0,70.33333333333333,7.0,0.0,8.666666666666666,70.33333333333333,7.0,0.0,8.666666666666666,8.444444444444445,0.0,0,0
5,6,104,20.8,2,40,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,Tyler Lockett,2022,Regular Season,5,302.0,27.0,0.0,34.0,75.5,6.75,0.0,8.5,91.33333333333333,8.0,0.0,10.0,15.166666666666666,0.0,0,1
2,5,17,8.5,0,10,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,Tyler Lockett,2022,Regular Season,6,406.0,32.0,2.0,40.0,81.2,6.4,0.4,8.0,90.33333333333333,6.666666666666667,0.6666666666666666,8.333333333333334,20.8,0.0,0,0
7,8,45,6.4,0,14,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,Tyler Lockett,2022,Regular Season,7,423.0,34.0,2.0,45.0,70.5,5.666666666666667,0.3333333333333333,7.5,70.66666666666667,4.333333333333333,0.6666666666666666,6.333333333333333,8.5,0.05,0,0
5,8,63,12.6,1,33,0,0,0.0,0,0,1,1,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,Tyler Lockett,2022,Regular Season,8,468.0,41.0,2.0,53.0,66.85714285714286,5.857142857142857,0.2857142857142857,7.571428571428571,55.333333333333336,4.666666666666667,0.6666666666666666,6.333333333333333,6.428571428571429,0.044444444444444446,0,1
5,5,67,13.4,1,30,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,Tyler Lockett,2022,Regular Season,9,531.0,46.0,3.0,61.0,66.375,5.75,0.375,7.625,41.666666666666664,4.666666666666667,0.3333333333333333,7.0,12.6,0.03773584905660377,0,1
3,5,42,14.0,1,21,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,Tyler Lockett,2022,Regular Season,10,598.0,51.0,4.0,66.0,66.44444444444444,5.666666666666667,0.4444444444444444,7.333333333333333,58.333333333333336,5.666666666666667,0.6666666666666666,7.0,13.4,0.04918032786885246,0,1
