receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,14,7.0,0,9,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,38,L,401547407,2023 Regular Season,Tyler Scott,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,17,L,401547420,2023 Regular Season,Tyler Scott,2023,Regular Season,2,14.0,2.0,0.0,2.0,14.0,2.0,0.0,2.0,14.0,2.0,0.0,2.0,7.0,0.0,0,0
1,3,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,41,10,L,401547438,2023 Regular Season,Tyler Scott,2023,Regular Season,3,14.0,2.0,0.0,2.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,2,19,9.5,11,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,28,31,L,401547444,2023 Regular Season,Tyler Scott,2023,Regular Season,4,20.0,3.0,0.0,5.0,6.666666666666667,1.0,0.0,1.6666666666666667,6.666666666666667,1.0,0.0,1.6666666666666667,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-06T00:15:00.000+00:00,20,40,W,401547457,2023 Regular Season,Tyler Scott,2023,Regular Season,5,20.0,3.0,0.0,5.0,5.0,0.75,0.0,1.25,2.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
2,4,12,6.0,0,7,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,13,19,L,401547475,2023 Regular Season,Tyler Scott,2023,Regular Season,6,20.0,3.0,0.0,5.0,4.0,0.6,0.0,1.0,2.0,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
2,3,19,9.5,0,13,2,14,7.0,8,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,30,12,W,401547490,2023 Regular Season,Tyler Scott,2023,Regular Season,7,32.0,5.0,0.0,9.0,5.333333333333333,0.8333333333333334,0.0,1.5,4.0,0.6666666666666666,0.0,1.3333333333333333,6.0,0.0,0,0
1,3,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,8,2023-10-30T00:20:00.000+00:00,30,13,L,401547510,2023 Regular Season,Tyler Scott,2023,Regular Season,8,51.0,7.0,0.0,12.0,7.285714285714286,1.0,0.0,1.7142857142857142,10.333333333333334,1.3333333333333333,0.0,2.3333333333333335,9.5,0.0,0,0
0,2,0,0.0,0,0,1,-5,-5.0,-5,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,24,17,L,401547516,2023 Regular Season,Tyler Scott,2023,Regular Season,9,62.0,8.0,0.0,15.0,7.75,1.0,0.0,1.875,14.0,1.6666666666666667,0.0,3.3333333333333335,11.0,0.0,0,0
1,1,15,15.0,0,15,1,16,16.0,16,0,0,0,0,0,10,2023-11-10T01:15:00.000+00:00,16,13,W,401547525,2023 Regular Season,Tyler Scott,2023,Regular Season,10,62.0,8.0,0.0,17.0,6.888888888888889,0.8888888888888888,0.0,1.8888888888888888,10.0,1.0,0.0,2.6666666666666665,0.0,0.0,0,0
1,2,4,4.0,0,4,0,0,0.0,0,0,1,1,0,0,11,2023-11-19T18:00:00.000+00:00,31,26,L,401547546,2023 Regular Season,Tyler Scott,2023,Regular Season,11,77.0,9.0,0.0,18.0,7.7,0.9,0.0,1.8,8.666666666666666,0.6666666666666666,0.0,2.0,15.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-28T01:15:00.000+00:00,10,12,W,401547565,2023 Regular Season,Tyler Scott,2023,Regular Season,12,81.0,10.0,0.0,20.0,7.363636363636363,0.9090909090909091,0.0,1.8181818181818181,6.333333333333333,0.6666666666666666,0.0,1.6666666666666667,4.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,28,13,W,401547586,2023 Regular Season,Tyler Scott,2023,Regular Season,13,81.0,10.0,0.0,20.0,6.75,0.8333333333333334,0.0,1.6666666666666667,6.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
3,4,49,16.3,0,30,1,-3,-3.0,-3,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,20,17,L,401547605,2023 Regular Season,Tyler Scott,2023,Regular Season,14,92.0,11.0,0.0,21.0,7.076923076923077,0.8461538461538461,0.0,1.6153846153846154,5.0,0.6666666666666666,0.0,1.0,11.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,27,16,W,401547619,2023 Regular Season,Tyler Scott,2023,Regular Season,15,141.0,14.0,0.0,25.0,10.071428571428571,1.0,0.0,1.7857142857142858,20.0,1.3333333333333333,0.0,1.6666666666666667,16.333333333333332,0.0,0,0
2,5,15,7.5,0,16,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,37,17,W,401547627,2023 Regular Season,Tyler Scott,2023,Regular Season,16,141.0,14.0,0.0,25.0,9.4,0.9333333333333333,0.0,1.6666666666666667,20.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,17,9,L,401547643,2023 Regular Season,Tyler Scott,2023,Regular Season,17,156.0,16.0,0.0,30.0,9.75,1.0,0.0,1.875,21.333333333333332,1.6666666666666667,0.0,3.0,7.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-16T00:20:00.000+00:00,19,13,L,401671786,2024 Regular Season,Tyler Scott,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,21,16,L,401671865,2024 Regular Season,Tyler Scott,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,W,401671871,2024 Regular Season,Tyler Scott,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,36,10,W,401671872,2024 Regular Season,Tyler Scott,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T13:30:00.000+00:00,35,16,W,401671802,2024 Regular Season,Tyler Scott,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,29,9,L,401671661,2024 Regular Season,Tyler Scott,2024,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,19,20,L,401671869,2024 Regular Season,Tyler Scott,2024,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
