receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
8,12,94,11.8,0,26,1,6,6.0,6,0,1,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Tyreek Hill,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
11,13,190,17.3,2,60,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Tyreek Hill,2022,Regular Season,2,94.0,8.0,0.0,12.0,94.0,8.0,0.0,12.0,94.0,8.0,0.0,12.0,11.75,0.0,0,1
2,4,33,16.5,0,22,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Tyreek Hill,2022,Regular Season,3,284.0,19.0,2.0,25.0,142.0,9.5,1.0,12.5,142.0,9.5,1.0,12.5,17.272727272727273,0.0,0,0
10,14,160,16.0,0,64,1,-1,-1.0,-1,0,0,0,0,0,4,2022-09-30T00:15:00.000+00:00,27,15,L,401437748,2022 Regular Season,Tyreek Hill,2022,Regular Season,4,317.0,21.0,2.0,29.0,105.66666666666667,7.0,0.6666666666666666,9.666666666666666,105.66666666666667,7.0,0.6666666666666666,9.666666666666666,16.5,0.08,0,0
7,7,47,6.7,0,13,2,13,6.5,10,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Tyreek Hill,2022,Regular Season,5,477.0,31.0,2.0,43.0,119.25,7.75,0.5,10.75,127.66666666666667,7.666666666666667,0.6666666666666666,10.333333333333334,16.0,0.06896551724137931,0,0
12,15,177,14.8,0,28,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,Tyreek Hill,2022,Regular Season,6,524.0,38.0,2.0,50.0,104.8,7.6,0.4,10.0,80.0,6.333333333333333,0.0,8.333333333333334,6.714285714285714,0.046511627906976744,0,0
7,13,72,10.3,0,21,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Tyreek Hill,2022,Regular Season,7,701.0,50.0,2.0,65.0,116.83333333333333,8.333333333333334,0.3333333333333333,10.833333333333334,128.0,9.666666666666666,0.0,12.0,14.75,0.04,0,0
12,14,188,15.7,0,42,1,7,7.0,7,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Tyreek Hill,2022,Regular Season,8,773.0,57.0,2.0,78.0,110.42857142857143,8.142857142857142,0.2857142857142857,11.142857142857142,98.66666666666667,8.666666666666666,0.0,11.666666666666666,10.285714285714286,0.03076923076923077,0,0
7,8,143,20.4,1,39,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Tyreek Hill,2022,Regular Season,9,961.0,69.0,2.0,92.0,120.125,8.625,0.25,11.5,145.66666666666666,10.333333333333334,0.0,14.0,15.666666666666666,0.02564102564102564,0,1
5,6,44,8.8,1,20,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Tyreek Hill,2022,Regular Season,10,1104.0,76.0,3.0,100.0,122.66666666666667,8.444444444444445,0.3333333333333333,11.11111111111111,134.33333333333334,8.666666666666666,0.3333333333333333,11.666666666666666,20.428571428571427,0.021739130434782608,0,1
6,9,85,14.2,0,29,1,5,5.0,5,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Tyreek Hill,2022,Regular Season,11,1148.0,81.0,4.0,106.0,114.8,8.1,0.4,10.6,125.0,8.0,0.6666666666666666,9.333333333333334,8.8,0.03,0,0
9,14,146,16.2,1,45,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Tyreek Hill,2022,Regular Season,12,1233.0,87.0,4.0,115.0,112.0909090909091,7.909090909090909,0.36363636363636365,10.454545454545455,90.66666666666667,6.0,0.6666666666666666,7.666666666666667,14.166666666666666,0.03773584905660377,0,1
4,10,81,20.3,1,60,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,L,401437896,2022 Regular Season,Tyreek Hill,2022,Regular Season,13,1379.0,96.0,5.0,129.0,114.91666666666667,8.0,0.4166666666666667,10.75,91.66666666666667,6.666666666666667,0.6666666666666666,9.666666666666666,16.22222222222222,0.034782608695652174,0,1
9,13,69,7.7,1,20,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T01:15:00.000+00:00,32,29,L,401437902,2022 Regular Season,Tyreek Hill,2022,Regular Season,14,1460.0,100.0,6.0,139.0,112.3076923076923,7.6923076923076925,0.46153846153846156,10.692307692307692,104.0,6.333333333333333,0.6666666666666666,11.0,20.25,0.03875968992248062,0,1
4,6,103,25.8,0,52,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,L,401437929,2022 Regular Season,Tyreek Hill,2022,Regular Season,15,1529.0,109.0,7.0,152.0,109.21428571428571,7.785714285714286,0.5,10.857142857142858,98.66666666666667,7.333333333333333,1.0,12.333333333333334,7.666666666666667,0.04316546762589928,0,0
4,7,55,13.8,0,19,1,2,2.0,2,1,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,L,401437938,2022 Regular Season,Tyreek Hill,2022,Regular Season,16,1632.0,113.0,7.0,158.0,108.8,7.533333333333333,0.4666666666666667,10.533333333333333,84.33333333333333,5.666666666666667,0.6666666666666666,9.666666666666666,25.75,0.046052631578947366,0,0
2,5,23,11.5,0,15,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,11,6,W,401437955,2022 Regular Season,Tyreek Hill,2022,Regular Season,17,1687.0,117.0,7.0,165.0,105.4375,7.3125,0.4375,10.3125,75.66666666666667,5.666666666666667,0.3333333333333333,8.666666666666666,13.75,0.04430379746835443,0,0
11,15,215,19.5,2,47,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,34,36,W,401547401,2023 Regular Season,Tyreek Hill,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,9,40,8.0,1,15,0,0,0.0,0,0,0,0,0,0,2,2023-09-18T00:20:00.000+00:00,17,24,W,401547423,2023 Regular Season,Tyreek Hill,2023,Regular Season,2,215.0,11.0,2.0,15.0,215.0,11.0,2.0,15.0,215.0,11.0,2.0,15.0,19.545454545454547,0.0,0,1
9,11,157,17.4,1,54,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,W,401547429,2023 Regular Season,Tyreek Hill,2023,Regular Season,3,255.0,16.0,3.0,24.0,127.5,8.0,1.5,12.0,127.5,8.0,1.5,12.0,8.0,0.13333333333333333,0,1
3,5,58,19.3,0,20,1,14,14.0,14,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,L,401547443,2023 Regular Season,Tyreek Hill,2023,Regular Season,4,412.0,25.0,4.0,35.0,137.33333333333334,8.333333333333334,1.3333333333333333,11.666666666666666,137.33333333333334,8.333333333333334,1.3333333333333333,11.666666666666666,17.444444444444443,0.125,0,0
8,9,181,22.6,1,69,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,W,401547465,2023 Regular Season,Tyreek Hill,2023,Regular Season,5,470.0,28.0,4.0,40.0,117.5,7.0,1.0,10.0,85.0,5.666666666666667,0.6666666666666666,8.333333333333334,19.333333333333332,0.11428571428571428,0,1
6,10,163,27.2,1,47,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,42,21,W,401547473,2023 Regular Season,Tyreek Hill,2023,Regular Season,6,651.0,36.0,5.0,49.0,130.2,7.2,1.0,9.8,132.0,6.666666666666667,0.6666666666666666,8.333333333333334,22.625,0.1,0,1
11,15,88,8.0,1,27,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,L,401547494,2023 Regular Season,Tyreek Hill,2023,Regular Season,7,814.0,42.0,6.0,59.0,135.66666666666666,7.0,1.0,9.833333333333334,134.0,5.666666666666667,0.6666666666666666,8.0,27.166666666666668,0.10204081632653061,0,1
8,13,112,14.0,1,42,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,17,W,401547497,2023 Regular Season,Tyreek Hill,2023,Regular Season,8,902.0,53.0,7.0,74.0,128.85714285714286,7.571428571428571,1.0,10.571428571428571,144.0,8.333333333333334,1.0,11.333333333333334,8.0,0.1016949152542373,0,1
8,10,62,7.8,0,19,1,3,3.0,3,0,1,1,0,0,9,2023-11-05T14:30:00.000+00:00,21,14,L,401547230,2023 Regular Season,Tyreek Hill,2023,Regular Season,9,1014.0,61.0,8.0,87.0,126.75,7.625,1.0,10.875,121.0,8.333333333333334,1.0,12.666666666666666,14.0,0.0945945945945946,0,0
10,11,146,14.6,1,38,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,20,13,W,401547542,2023 Regular Season,Tyreek Hill,2023,Regular Season,10,1076.0,69.0,8.0,97.0,119.55555555555556,7.666666666666667,0.8888888888888888,10.777777777777779,87.33333333333333,9.0,0.6666666666666666,12.666666666666666,7.75,0.09195402298850575,0,1
9,12,102,11.3,1,35,1,2,2.0,2,0,0,0,0,0,12,2023-11-24T20:00:00.000+00:00,13,34,W,401547242,2023 Regular Season,Tyreek Hill,2023,Regular Season,11,1222.0,79.0,9.0,108.0,122.2,7.9,0.9,10.8,106.66666666666667,8.666666666666666,0.6666666666666666,11.333333333333334,14.6,0.08247422680412371,0,1
5,7,157,31.4,2,78,2,-4,-2.0,6,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,15,45,W,401547574,2023 Regular Season,Tyreek Hill,2023,Regular Season,12,1324.0,88.0,10.0,120.0,120.36363636363636,8.0,0.9090909090909091,10.909090909090908,103.33333333333333,9.0,0.6666666666666666,11.0,11.333333333333334,0.08333333333333333,0,1
4,5,61,15.3,0,25,0,0,0.0,0,0,0,0,0,0,14,2023-12-12T01:15:00.000+00:00,27,28,L,401547592,2023 Regular Season,Tyreek Hill,2023,Regular Season,13,1481.0,93.0,12.0,127.0,123.41666666666667,7.75,1.0,10.583333333333334,135.0,8.0,1.3333333333333333,10.0,31.4,0.08333333333333333,0,0
9,14,99,11.0,0,20,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:25:00.000+00:00,22,20,W,401547620,2023 Regular Season,Tyreek Hill,2023,Regular Season,14,1542.0,97.0,12.0,132.0,118.61538461538461,7.461538461538462,0.9230769230769231,10.153846153846153,106.66666666666667,6.0,1.0,8.0,15.25,0.09448818897637795,0,0
6,12,76,12.7,0,25,1,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,56,19,L,401547625,2023 Regular Season,Tyreek Hill,2023,Regular Season,15,1641.0,106.0,12.0,146.0,117.21428571428571,7.571428571428571,0.8571428571428571,10.428571428571429,105.66666666666667,6.0,0.6666666666666666,8.666666666666666,11.0,0.09090909090909091,0,0
7,13,82,11.7,1,23,0,0,0.0,0,0,0,0,0,0,18,2024-01-08T01:20:00.000+00:00,14,21,L,401547647,2023 Regular Season,Tyreek Hill,2023,Regular Season,16,1717.0,112.0,12.0,158.0,114.46666666666667,7.466666666666667,0.8,10.533333333333333,78.66666666666667,6.333333333333333,0.0,10.333333333333334,12.666666666666666,0.0821917808219178,0,1
7,12,130,18.6,1,80,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,20,17,W,401671849,2024 Regular Season,Tyreek Hill,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,6,24,8.0,0,10,1,12,12.0,12,0,0,0,0,0,2,2024-09-13T00:15:00.000+00:00,10,31,L,401671807,2024 Regular Season,Tyreek Hill,2024,Regular Season,2,130.0,7.0,1.0,12.0,130.0,7.0,1.0,12.0,130.0,7.0,1.0,12.0,18.571428571428573,0.0,0,0
3,5,40,13.3,0,17,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,24,3,L,401671662,2024 Regular Season,Tyreek Hill,2024,Regular Season,3,154.0,10.0,1.0,18.0,77.0,5.0,0.5,9.0,77.0,5.0,0.5,9.0,8.0,0.08333333333333333,0,0
4,7,23,5.8,0,17,3,19,6.3,16,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,L,401671683,2024 Regular Season,Tyreek Hill,2024,Regular Season,4,194.0,13.0,1.0,23.0,64.66666666666667,4.333333333333333,0.3333333333333333,7.666666666666667,64.66666666666667,4.333333333333333,0.3333333333333333,7.666666666666667,13.333333333333334,0.05555555555555555,0,0
6,10,69,11.5,0,21,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,10,15,W,401671700,2024 Regular Season,Tyreek Hill,2024,Regular Season,5,217.0,17.0,1.0,30.0,54.25,4.25,0.25,7.5,29.0,3.3333333333333335,0.0,6.0,5.75,0.043478260869565216,0,0
1,2,8,8.0,0,8,1,5,5.0,5,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,16,10,L,401671864,2024 Regular Season,Tyreek Hill,2024,Regular Season,6,286.0,23.0,1.0,40.0,57.2,4.6,0.2,8.0,44.0,4.333333333333333,0.0,7.333333333333333,11.5,0.03333333333333333,0,0
6,9,72,12.0,0,30,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,28,L,401671850,2024 Regular Season,Tyreek Hill,2024,Regular Season,7,294.0,24.0,1.0,42.0,49.0,4.0,0.16666666666666666,7.0,33.333333333333336,3.6666666666666665,0.0,6.333333333333333,8.0,0.025,0,0
