receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,W,401437640,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,37,12.3,1,17,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,W,401437784,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,2,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,0.0,0,1
6,8,50,8.3,0,17,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,W,401437796,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,3,42.0,4.0,1.0,5.0,21.0,2.0,0.5,2.5,21.0,2.0,0.5,2.5,12.333333333333334,0.0,0,0
2,3,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,L,401437816,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,4,92.0,10.0,1.0,13.0,30.666666666666668,3.3333333333333335,0.3333333333333333,4.333333333333333,30.666666666666668,3.3333333333333335,0.3333333333333333,4.333333333333333,8.333333333333334,0.2,0,0
2,2,20,10.0,0,11,1,-5,-5.0,-5,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,W,401437837,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,5,107.0,12.0,1.0,16.0,26.75,3.0,0.25,4.0,34.0,3.6666666666666665,0.3333333333333333,5.0,7.5,0.07692307692307693,0,0
9,13,100,11.1,0,19,1,4,4.0,4,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,L,401437852,2022 Regular Season,Wan'Dale Robinson,2022,Regular Season,6,127.0,14.0,1.0,18.0,25.4,2.8,0.2,3.6,28.333333333333332,3.3333333333333335,0.0,4.333333333333333,10.0,0.0625,0,0
4,5,21,5.3,0,8,0,0,0.0,0,0,0,0,0,0,3,2023-09-22T00:15:00.000+00:00,30,12,L,401547426,2023 Regular Season,Wan'Dale Robinson,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,40,8.0,0,12,1,7,7.0,7,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,L,401547456,2023 Regular Season,Wan'Dale Robinson,2023,Regular Season,2,21.0,4.0,0.0,5.0,21.0,4.0,0.0,5.0,21.0,4.0,0.0,5.0,5.25,0.0,0,0
5,6,18,3.6,0,7,1,1,1.0,1,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,L,401547465,2023 Regular Season,Wan'Dale Robinson,2023,Regular Season,3,61.0,9.0,0.0,11.0,30.5,4.5,0.0,5.5,30.5,4.5,0.0,5.5,8.0,0.0,0,0
8,8,62,7.8,0,13,0,0,0.0,0,0,0,0,0,0,6,2023-10-16T00:20:00.000+00:00,14,9,L,401547481,2023 Regular Season,Wan'Dale Robinson,2023,Regular Season,4,79.0,14.0,0.0,17.0,26.333333333333332,4.666666666666667,0.0,5.666666666666667,26.333333333333332,4.666666666666667,0.0,5.666666666666667,3.6,0.0,0,0
