receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,3,43,14.3,1,38,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,Will Dissly,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,2,0,0.0,0,2,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,Will Dissly,2022,Regular Season,2,43.0,3.0,1.0,3.0,43.0,3.0,1.0,3.0,43.0,3.0,1.0,3.0,14.333333333333334,0.0,0,0
3,3,34,11.3,1,18,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,Will Dissly,2022,Regular Season,3,43.0,5.0,1.0,5.0,21.5,2.5,0.5,2.5,21.5,2.5,0.5,2.5,0.0,0.3333333333333333,0,1
4,4,39,9.8,1,17,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,Will Dissly,2022,Regular Season,4,77.0,8.0,2.0,8.0,25.666666666666668,2.6666666666666665,0.6666666666666666,2.6666666666666665,25.666666666666668,2.6666666666666665,0.6666666666666666,2.6666666666666665,11.333333333333334,0.2,0,1
2,3,21,10.5,0,15,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,Will Dissly,2022,Regular Season,5,116.0,12.0,3.0,12.0,29.0,3.0,0.75,3.0,24.333333333333332,3.0,0.6666666666666666,3.0,9.75,0.25,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,Will Dissly,2022,Regular Season,6,137.0,14.0,3.0,15.0,27.4,2.8,0.6,3.0,31.333333333333332,3.0,0.6666666666666666,3.3333333333333335,10.5,0.25,0,0
4,4,45,11.3,0,16,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,Will Dissly,2022,Regular Season,7,149.0,15.0,3.0,16.0,24.833333333333332,2.5,0.5,2.6666666666666665,24.0,2.3333333333333335,0.3333333333333333,2.6666666666666665,12.0,0.2,0,0
2,2,12,6.0,0,9,0,0,0.0,0,0,0,0,1,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,Will Dissly,2022,Regular Season,8,194.0,19.0,3.0,20.0,27.714285714285715,2.7142857142857144,0.42857142857142855,2.857142857142857,26.0,2.3333333333333335,0.0,2.6666666666666665,11.25,0.1875,0,0
3,4,24,8.0,0,13,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,Will Dissly,2022,Regular Season,9,206.0,21.0,3.0,22.0,25.75,2.625,0.375,2.75,23.0,2.3333333333333335,0.0,2.3333333333333335,6.0,0.15,0,0
2,2,28,14.0,0,15,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,Will Dissly,2022,Regular Season,10,230.0,24.0,3.0,26.0,25.555555555555557,2.6666666666666665,0.3333333333333333,2.888888888888889,27.0,3.0,0.0,3.3333333333333335,8.0,0.13636363636363635,0,0
