receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,49,24.5,0,43,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,20,31,W,401547419,2023 Regular Season,Will Mallory,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,L,401547472,2023 Regular Season,Will Mallory,2023,Regular Season,2,49.0,2.0,0.0,2.0,49.0,2.0,0.0,2.0,49.0,2.0,0.0,2.0,24.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,39,L,401547484,2023 Regular Season,Will Mallory,2023,Regular Season,3,49.0,2.0,0.0,3.0,24.5,1.0,0.0,1.5,24.5,1.0,0.0,1.5,0.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,27,38,L,401547507,2023 Regular Season,Will Mallory,2023,Regular Season,4,49.0,2.0,0.0,4.0,16.333333333333332,0.6666666666666666,0.0,1.3333333333333333,16.333333333333332,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,W,401547231,2023 Regular Season,Will Mallory,2023,Regular Season,5,55.0,3.0,0.0,6.0,13.75,0.75,0.0,1.5,2.0,0.3333333333333333,0.0,1.3333333333333333,6.0,0.0,0,0
2,3,29,14.5,0,17,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,27,20,W,401547556,2023 Regular Season,Will Mallory,2023,Regular Season,6,62.0,4.0,0.0,8.0,12.4,0.8,0.0,1.6,4.333333333333333,0.6666666666666666,0.0,1.6666666666666667,7.0,0.0,0,0
2,4,4,2.0,0,3,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,31,W,401547570,2023 Regular Season,Will Mallory,2023,Regular Season,7,91.0,6.0,0.0,11.0,15.166666666666666,1.0,0.0,1.8333333333333333,14.0,1.3333333333333333,0.0,2.3333333333333335,14.5,0.0,0,0
5,5,46,9.2,0,16,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,L,401547580,2023 Regular Season,Will Mallory,2023,Regular Season,8,95.0,8.0,0.0,15.0,13.571428571428571,1.1428571428571428,0.0,2.142857142857143,13.333333333333334,1.6666666666666667,0.0,3.0,2.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T21:30:00.000+00:00,30,13,W,401547607,2023 Regular Season,Will Mallory,2023,Regular Season,9,141.0,13.0,0.0,20.0,17.625,1.625,0.0,2.5,26.333333333333332,3.0,0.0,4.0,9.2,0.0,0,0
4,4,47,11.8,0,18,0,0,0.0,0,0,1,0,0,0,16,2023-12-24T18:00:00.000+00:00,29,10,L,401547616,2023 Regular Season,Will Mallory,2023,Regular Season,10,141.0,13.0,0.0,20.0,15.666666666666666,1.4444444444444444,0.0,2.2222222222222223,16.666666666666668,2.3333333333333335,0.0,3.0,0.0,0.0,0,0
1,1,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,23,20,W,401547628,2023 Regular Season,Will Mallory,2023,Regular Season,11,188.0,17.0,0.0,24.0,18.8,1.7,0.0,2.4,31.0,3.0,0.0,3.0,11.75,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T01:15:00.000+00:00,19,23,L,401547644,2023 Regular Season,Will Mallory,2023,Regular Season,12,207.0,18.0,0.0,25.0,18.818181818181817,1.6363636363636365,0.0,2.272727272727273,22.0,1.6666666666666667,0.0,1.6666666666666667,19.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,27,24,W,401671867,2024 Regular Season,Will Mallory,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,37,34,L,401671633,2024 Regular Season,Will Mallory,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,W,401671820,2024 Regular Season,Will Mallory,2024,Regular Season,3,7.0,1.0,0.0,1.0,3.5,0.5,0.0,0.5,3.5,0.5,0.0,0.5,7.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,16,10,W,401671864,2024 Regular Season,Will Mallory,2024,Regular Season,4,7.0,1.0,0.0,2.0,2.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,23,20,L,401671856,2024 Regular Season,Will Mallory,2024,Regular Season,5,12.0,2.0,0.0,3.0,3.0,0.5,0.0,0.75,4.0,0.6666666666666666,0.0,1.0,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-04T01:20:00.000+00:00,21,13,L,401671647,2024 Regular Season,Will Mallory,2024,Regular Season,6,12.0,2.0,0.0,5.0,2.4,0.4,0.0,1.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
