receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,35,8.8,0,18,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,47,10,L,401671734,2024 Regular Season,Xavier Legette,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,3,26,L,401671652,2024 Regular Season,Xavier Legette,2024,Regular Season,2,35.0,4.0,0.0,7.0,35.0,4.0,0.0,7.0,35.0,4.0,0.0,7.0,8.75,0.0,0,0
2,3,42,21.0,0,35,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,22,36,W,401671658,2024 Regular Season,Xavier Legette,2024,Regular Season,3,35.0,4.0,0.0,7.0,17.5,2.0,0.0,3.5,17.5,2.0,0.0,3.5,0.0,0.0,0,0
6,10,66,11.0,1,17,2,10,5.0,8,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,L,401671745,2024 Regular Season,Xavier Legette,2024,Regular Season,4,77.0,6.0,0.0,10.0,25.666666666666668,2.0,0.0,3.3333333333333335,25.666666666666668,2.0,0.0,3.3333333333333335,21.0,0.0,0,1
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,36,10,L,401671872,2024 Regular Season,Xavier Legette,2024,Regular Season,5,143.0,12.0,1.0,20.0,35.75,3.0,0.25,5.0,36.0,2.6666666666666665,0.3333333333333333,4.333333333333333,11.0,0.0,0,0
3,4,23,7.7,1,13,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,20,38,L,401671769,2024 Regular Season,Xavier Legette,2024,Regular Season,6,151.0,13.0,1.0,21.0,30.2,2.6,0.2,4.2,38.666666666666664,3.0,0.3333333333333333,4.666666666666667,8.0,0.05,0,1
2,3,3,1.5,0,6,1,6,6.0,6,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,L,401671640,2024 Regular Season,Xavier Legette,2024,Regular Season,7,174.0,16.0,2.0,25.0,29.0,2.6666666666666665,0.3333333333333333,4.166666666666667,32.333333333333336,3.3333333333333335,0.6666666666666666,5.0,7.666666666666667,0.047619047619047616,0,0
4,7,34,8.5,1,23,1,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,28,14,L,401671600,2024 Regular Season,Xavier Legette,2024,Regular Season,8,177.0,18.0,2.0,28.0,25.285714285714285,2.5714285714285716,0.2857142857142857,4.0,11.333333333333334,2.0,0.3333333333333333,2.6666666666666665,1.5,0.08,0,1
4,6,33,8.3,1,26,1,6,6.0,6,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,23,22,W,401671650,2024 Regular Season,Xavier Legette,2024,Regular Season,9,211.0,22.0,3.0,35.0,26.375,2.75,0.375,4.375,20.0,3.0,0.6666666666666666,4.666666666666667,8.5,0.07142857142857142,0,1
3,4,40,13.3,0,23,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T14:30:00.000+00:00,20,17,W,401671803,2024 Regular Season,Xavier Legette,2024,Regular Season,10,244.0,26.0,4.0,41.0,27.11111111111111,2.888888888888889,0.4444444444444444,4.555555555555555,23.333333333333332,3.3333333333333335,0.6666666666666666,5.333333333333333,8.25,0.08571428571428572,0,0
4,6,56,14.0,0,34,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,L,401671651,2024 Regular Season,Xavier Legette,2024,Regular Season,11,284.0,29.0,4.0,45.0,28.4,2.9,0.4,4.5,35.666666666666664,3.6666666666666665,0.6666666666666666,5.666666666666667,13.333333333333334,0.0975609756097561,0,0
4,8,53,13.3,0,21,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,23,26,L,401671752,2024 Regular Season,Xavier Legette,2024,Regular Season,12,340.0,33.0,4.0,51.0,30.90909090909091,3.0,0.36363636363636365,4.636363636363637,43.0,3.6666666666666665,0.3333333333333333,5.333333333333333,14.0,0.08888888888888889,0,0
