receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,27,24,W,401671772,2024 Regular Season,Xavier Smith,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,L,401671871,2024 Regular Season,Xavier Smith,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,6,3.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,19,24,L,401671679,2024 Regular Season,Xavier Smith,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,2,30,15.0,24,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,20,15,W,401671663,2024 Regular Season,Xavier Smith,2024,Regular Season,4,6.0,2.0,0.0,2.0,2.0,0.6666666666666666,0.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.6666666666666666,3.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-25T00:15:00.000+00:00,30,20,W,401671817,2024 Regular Season,Xavier Smith,2024,Regular Season,5,6.0,2.0,0.0,2.0,1.5,0.5,0.0,0.5,2.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,20,26,W,401671776,2024 Regular Season,Xavier Smith,2024,Regular Season,6,6.0,2.0,0.0,2.0,1.2,0.4,0.0,0.4,2.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-12T01:15:00.000+00:00,15,23,L,401671693,2024 Regular Season,Xavier Smith,2024,Regular Season,7,6.0,2.0,0.0,2.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,22,28,W,401671701,2024 Regular Season,Xavier Smith,2024,Regular Season,8,6.0,2.0,0.0,2.0,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,12,2024-11-25T01:20:00.000+00:00,20,37,L,401671794,2024 Regular Season,Xavier Smith,2024,Regular Season,9,6.0,2.0,0.0,2.0,0.75,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,14,21,W,401671753,2024 Regular Season,Xavier Smith,2024,Regular Season,10,6.0,2.0,0.0,2.0,0.6666666666666666,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0
