receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,3,47,23.5,1,35,1,21,21.0,21,1,0,0,0,0,1,2024-09-06T00:40:00.000+00:00,27,20,W,401671789,2024 Regular Season,Xavier Worthy,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,4,17,8.5,0,12,1,5,5.0,5,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,W,401671670,2024 Regular Season,Xavier Worthy,2024,Regular Season,2,47.0,2.0,1.0,3.0,47.0,2.0,1.0,3.0,47.0,2.0,1.0,3.0,23.5,0.0,0,0
2,4,17,8.5,0,10,3,13,4.3,6,0,0,0,0,0,3,2024-09-23T00:20:00.000+00:00,17,22,W,401671793,2024 Regular Season,Xavier Worthy,2024,Regular Season,3,64.0,4.0,1.0,7.0,32.0,2.0,0.5,3.5,32.0,2.0,0.5,3.5,8.5,0.3333333333333333,0,0
3,4,73,24.3,1,54,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:25:00.000+00:00,10,17,W,401671674,2024 Regular Season,Xavier Worthy,2024,Regular Season,4,81.0,6.0,1.0,11.0,27.0,2.0,0.3333333333333333,3.6666666666666665,27.0,2.0,0.3333333333333333,3.6666666666666665,8.5,0.14285714285714285,0,1
3,6,25,8.3,0,18,1,3,3.0,3,1,0,0,0,0,5,2024-10-08T00:15:00.000+00:00,26,13,W,401671687,2024 Regular Season,Xavier Worthy,2024,Regular Season,5,154.0,9.0,2.0,15.0,38.5,2.25,0.5,3.75,35.666666666666664,2.3333333333333335,0.3333333333333333,4.0,24.333333333333332,0.09090909090909091,0,0
3,8,19,6.3,0,8,1,5,5.0,5,0,0,0,0,0,7,2024-10-20T20:25:00.000+00:00,18,28,W,401671777,2024 Regular Season,Xavier Worthy,2024,Regular Season,6,179.0,12.0,2.0,21.0,35.8,2.4,0.4,4.2,38.333333333333336,2.6666666666666665,0.3333333333333333,4.666666666666667,8.333333333333334,0.13333333333333333,0,0
4,8,37,9.3,1,16,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,20,27,W,401671671,2024 Regular Season,Xavier Worthy,2024,Regular Season,7,198.0,15.0,2.0,29.0,33.0,2.5,0.3333333333333333,4.833333333333333,39.0,3.0,0.3333333333333333,6.0,6.333333333333333,0.09523809523809523,0,1
0,2,0,0.0,0,0,2,-10,-5.0,0,0,0,0,0,0,9,2024-11-05T01:15:00.000+00:00,30,24,W,401671688,2024 Regular Season,Xavier Worthy,2024,Regular Season,8,235.0,19.0,3.0,37.0,33.57142857142857,2.7142857142857144,0.42857142857142855,5.285714285714286,27.0,3.3333333333333335,0.3333333333333333,7.333333333333333,9.25,0.06896551724137931,0,0
1,4,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,16,14,W,401671637,2024 Regular Season,Xavier Worthy,2024,Regular Season,9,235.0,19.0,3.0,39.0,29.375,2.375,0.375,4.875,18.666666666666668,2.3333333333333335,0.3333333333333333,6.0,0.0,0.08108108108108109,0,0
4,5,61,15.3,1,31,1,7,7.0,7,0,0,0,-,-,11,2024-11-17T21:25:00.000+00:00,30,21,L,401671665,2024 Regular Season,Xavier Worthy,2024,Regular Season,10,246.0,20.0,3.0,43.0,27.333333333333332,2.2222222222222223,0.3333333333333333,4.777777777777778,16.0,1.6666666666666667,0.3333333333333333,4.666666666666667,11.0,0.07692307692307693,0,1
4,6,46,11.5,0,19,1,5,5.0,5,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,W,401671651,2024 Regular Season,Xavier Worthy,2024,Regular Season,11,307.0,24.0,4.0,48.0,30.7,2.4,0.4,4.8,24.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,15.25,0.06976744186046512,0,0
5,7,54,10.8,0,19,0,0,0.0,0,0,0,0,-,-,13,2024-11-29T20:00:00.000+00:00,19,17,W,401671806,2024 Regular Season,Xavier Worthy,2024,Regular Season,12,353.0,28.0,4.0,54.0,32.09090909090909,2.5454545454545454,0.36363636363636365,4.909090909090909,39.333333333333336,3.0,0.3333333333333333,5.0,11.5,0.08333333333333333,0,0
