receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,14,7.0,1,8,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,L,401437653,2022 Regular Season,Zach Ertz,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
8,11,75,9.4,0,16,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,W,401437642,2022 Regular Season,Zach Ertz,2022,Regular Season,2,14.0,2.0,1.0,4.0,14.0,2.0,1.0,4.0,14.0,2.0,1.0,4.0,7.0,0.0,0,0
6,10,45,7.5,0,12,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,L,401437744,2022 Regular Season,Zach Ertz,2022,Regular Season,3,89.0,10.0,1.0,15.0,44.5,5.0,0.5,7.5,44.5,5.0,0.5,7.5,9.375,0.25,0,0
6,6,47,7.8,1,23,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:05:00.000+00:00,16,26,W,401437758,2022 Regular Season,Zach Ertz,2022,Regular Season,4,134.0,16.0,1.0,25.0,44.666666666666664,5.333333333333333,0.3333333333333333,8.333333333333334,44.666666666666664,5.333333333333333,0.3333333333333333,8.333333333333334,7.5,0.06666666666666667,0,1
6,10,48,8.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,L,401437773,2022 Regular Season,Zach Ertz,2022,Regular Season,5,181.0,22.0,2.0,31.0,45.25,5.5,0.5,7.75,55.666666666666664,6.666666666666667,0.3333333333333333,9.0,7.833333333333333,0.04,0,0
7,10,70,10.0,0,32,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,L,401437787,2022 Regular Season,Zach Ertz,2022,Regular Season,6,229.0,28.0,2.0,41.0,45.8,5.6,0.4,8.2,46.666666666666664,6.0,0.3333333333333333,8.666666666666666,8.0,0.06451612903225806,0,0
2,4,21,10.5,0,15,0,0,0.0,0,0,0,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,W,401437791,2022 Regular Season,Zach Ertz,2022,Regular Season,7,299.0,35.0,2.0,51.0,49.833333333333336,5.833333333333333,0.3333333333333333,8.5,55.0,6.333333333333333,0.3333333333333333,8.666666666666666,10.0,0.04878048780487805,0,0
4,5,34,8.5,1,13,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,L,401437809,2022 Regular Season,Zach Ertz,2022,Regular Season,8,320.0,37.0,2.0,55.0,45.714285714285715,5.285714285714286,0.2857142857142857,7.857142857142857,46.333333333333336,5.0,0.0,8.0,10.5,0.0392156862745098,0,1
5,8,40,8.0,1,14,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,L,401437828,2022 Regular Season,Zach Ertz,2022,Regular Season,9,354.0,41.0,3.0,60.0,44.25,5.125,0.375,7.5,41.666666666666664,4.333333333333333,0.3333333333333333,6.333333333333333,8.5,0.03636363636363636,0,1
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,W,401437841,2022 Regular Season,Zach Ertz,2022,Regular Season,10,394.0,46.0,4.0,68.0,43.77777777777778,5.111111111111111,0.4444444444444444,7.555555555555555,31.666666666666668,3.6666666666666665,0.6666666666666666,5.666666666666667,8.0,0.05,0,0
6,10,21,3.5,0,6,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,L,401547406,2023 Regular Season,Zach Ertz,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,8,56,9.3,0,17,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,L,401547421,2023 Regular Season,Zach Ertz,2023,Regular Season,2,21.0,6.0,0.0,10.0,21.0,6.0,0.0,10.0,21.0,6.0,0.0,10.0,3.5,0.0,0,0
2,2,6,3.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:25:00.000+00:00,28,16,W,401547437,2023 Regular Season,Zach Ertz,2023,Regular Season,3,77.0,12.0,0.0,18.0,38.5,6.0,0.0,9.0,38.5,6.0,0.0,9.0,9.333333333333334,0.0,0,0
6,10,53,8.8,0,15,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T20:25:00.000+00:00,35,16,L,401547454,2023 Regular Season,Zach Ertz,2023,Regular Season,4,83.0,14.0,0.0,20.0,27.666666666666668,4.666666666666667,0.0,6.666666666666667,27.666666666666668,4.666666666666667,0.0,6.666666666666667,3.0,0.0,0,0
2,4,10,5.0,1,6,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,L,401547466,2023 Regular Season,Zach Ertz,2023,Regular Season,5,136.0,20.0,0.0,30.0,34.0,5.0,0.0,7.5,38.333333333333336,4.666666666666667,0.0,6.666666666666667,8.833333333333334,0.0,0,1
2,5,22,11.0,0,12,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,L,401547479,2023 Regular Season,Zach Ertz,2023,Regular Season,6,146.0,22.0,1.0,34.0,29.2,4.4,0.2,6.8,23.0,3.3333333333333335,0.3333333333333333,5.333333333333333,5.0,0.0,0,0
3,4,19,6.3,0,9,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,20,10,L,401547493,2023 Regular Season,Zach Ertz,2023,Regular Season,7,168.0,24.0,1.0,39.0,28.0,4.0,0.16666666666666666,6.5,28.333333333333332,3.3333333333333335,0.3333333333333333,6.333333333333333,11.0,0.029411764705882353,0,0
3,4,28,9.3,0,12,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,37,20,L,401671770,2024 Regular Season,Zach Ertz,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,62,15.5,0,21,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,21,18,W,401671716,2024 Regular Season,Zach Ertz,2024,Regular Season,2,28.0,3.0,0.0,4.0,28.0,3.0,0.0,4.0,28.0,3.0,0.0,4.0,9.333333333333334,0.0,0,0
5,5,38,7.6,0,12,0,0,0.0,0,0,1,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,W,401671490,2024 Regular Season,Zach Ertz,2024,Regular Season,3,90.0,7.0,0.0,8.0,45.0,3.5,0.0,4.0,45.0,3.5,0.0,4.0,15.5,0.0,0,0
3,3,22,7.3,0,13,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,W,401671755,2024 Regular Season,Zach Ertz,2024,Regular Season,4,128.0,12.0,0.0,13.0,42.666666666666664,4.0,0.0,4.333333333333333,42.666666666666664,4.0,0.0,4.333333333333333,7.6,0.0,0,0
2,8,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,34,13,W,401671718,2024 Regular Season,Zach Ertz,2024,Regular Season,5,150.0,15.0,0.0,16.0,37.5,3.75,0.0,4.0,40.666666666666664,4.0,0.0,4.0,7.333333333333333,0.0,0,0
4,5,68,17.0,0,24,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,30,23,L,401671625,2024 Regular Season,Zach Ertz,2024,Regular Season,6,160.0,17.0,0.0,24.0,32.0,3.4,0.0,4.8,23.333333333333332,3.3333333333333335,0.0,5.333333333333333,5.0,0.0,0,0
4,5,40,10.0,1,15,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,W,401671640,2024 Regular Season,Zach Ertz,2024,Regular Season,7,228.0,21.0,0.0,29.0,38.0,3.5,0.0,4.833333333333333,33.333333333333336,3.0,0.0,5.333333333333333,17.0,0.0,0,1
7,11,77,11.0,0,20,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,18,15,W,401671599,2024 Regular Season,Zach Ertz,2024,Regular Season,8,268.0,25.0,1.0,34.0,38.285714285714285,3.5714285714285716,0.14285714285714285,4.857142857142857,39.333333333333336,3.3333333333333335,0.3333333333333333,6.0,10.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,22,27,W,401671711,2024 Regular Season,Zach Ertz,2024,Regular Season,9,345.0,32.0,1.0,45.0,43.125,4.0,0.125,5.625,61.666666666666664,5.0,0.3333333333333333,7.0,11.0,0.029411764705882353,0,0
4,8,31,7.8,0,9,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,27,28,L,401671641,2024 Regular Season,Zach Ertz,2024,Regular Season,10,350.0,33.0,1.0,46.0,38.888888888888886,3.6666666666666665,0.1111111111111111,5.111111111111111,40.666666666666664,4.0,0.3333333333333333,5.666666666666667,5.0,0.022222222222222223,0,0
6,7,47,7.8,1,16,0,0,0.0,0,0,0,0,-,-,11,2024-11-15T01:15:00.000+00:00,26,18,L,401671813,2024 Regular Season,Zach Ertz,2024,Regular Season,11,381.0,37.0,1.0,54.0,38.1,3.7,0.1,5.4,37.666666666666664,4.0,0.0,6.666666666666667,7.75,0.021739130434782608,0,1
6,8,38,6.3,1,13,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,26,34,L,401671715,2024 Regular Season,Zach Ertz,2024,Regular Season,12,428.0,43.0,2.0,61.0,38.90909090909091,3.909090909090909,0.18181818181818182,5.545454545454546,27.666666666666668,3.6666666666666665,0.3333333333333333,5.333333333333333,7.833333333333333,0.018518518518518517,0,1
3,6,35,11.7,1,25,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,42,19,W,401671743,2024 Regular Season,Zach Ertz,2024,Regular Season,13,466.0,49.0,3.0,69.0,38.833333333333336,4.083333333333333,0.25,5.75,38.666666666666664,5.333333333333333,0.6666666666666666,7.666666666666667,6.333333333333333,0.03278688524590164,0,1
