receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,Zach Pascal,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,2,14,7.0,0,8,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,Zach Pascal,2022,Regular Season,2,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,0.0,0,0
3,3,18,6.0,0,13,1,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,Zach Pascal,2022,Regular Season,3,21.0,3.0,0.0,3.0,10.5,1.5,0.0,1.5,10.5,1.5,0.0,1.5,7.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,Zach Pascal,2022,Regular Season,4,39.0,6.0,0.0,6.0,13.0,2.0,0.0,2.0,13.0,2.0,0.0,2.0,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,Zach Pascal,2022,Regular Season,5,39.0,6.0,0.0,7.0,9.75,1.5,0.0,1.75,10.666666666666666,1.6666666666666667,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,Zach Pascal,2022,Regular Season,6,39.0,6.0,0.0,7.0,7.8,1.2,0.0,1.4,6.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
2,2,57,28.5,1,34,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,Zach Pascal,2022,Regular Season,7,39.0,6.0,0.0,7.0,6.5,1.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,1
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,Zach Pascal,2022,Regular Season,8,96.0,8.0,1.0,9.0,13.714285714285714,1.1428571428571428,0.14285714285714285,1.2857142857142858,19.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,28.5,0.0,0,0
1,2,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,Zach Pascal,2022,Regular Season,9,104.0,9.0,1.0,10.0,13.0,1.125,0.125,1.25,21.666666666666668,1.0,0.3333333333333333,1.0,8.0,0.1111111111111111,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,Zach Pascal,2022,Regular Season,10,114.0,10.0,1.0,12.0,12.666666666666666,1.1111111111111112,0.1111111111111111,1.3333333333333333,25.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,10.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,W,401437871,2022 Regular Season,Zach Pascal,2022,Regular Season,11,123.0,11.0,1.0,13.0,12.3,1.1,0.1,1.3,9.0,1.0,0.0,1.3333333333333333,9.0,0.08333333333333333,0,0
2,3,16,8.0,0,11,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,W,401437881,2022 Regular Season,Zach Pascal,2022,Regular Season,12,123.0,11.0,1.0,13.0,11.181818181818182,1.0,0.09090909090909091,1.1818181818181819,6.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.07692307692307693,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,W,401437893,2022 Regular Season,Zach Pascal,2022,Regular Season,13,139.0,13.0,1.0,16.0,11.583333333333334,1.0833333333333333,0.08333333333333333,1.3333333333333333,8.333333333333334,1.0,0.0,1.3333333333333333,8.0,0.07692307692307693,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,20,25,W,401437908,2022 Regular Season,Zach Pascal,2022,Regular Season,14,144.0,14.0,1.0,17.0,11.076923076923077,1.0769230769230769,0.07692307692307693,1.3076923076923077,7.0,1.0,0.0,1.3333333333333333,5.0,0.0625,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,L,401437927,2022 Regular Season,Zach Pascal,2022,Regular Season,15,144.0,14.0,1.0,18.0,10.285714285714286,1.0,0.07142857142857142,1.2857142857142858,7.0,1.0,0.0,1.6666666666666667,0.0,0.058823529411764705,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,L,401437940,2022 Regular Season,Zach Pascal,2022,Regular Season,16,150.0,15.0,1.0,19.0,10.0,1.0,0.06666666666666667,1.2666666666666666,3.6666666666666665,0.6666666666666666,0.0,1.0,6.0,0.05555555555555555,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,22,16,W,401437957,2022 Regular Season,Zach Pascal,2022,Regular Season,17,150.0,15.0,1.0,19.0,9.375,0.9375,0.0625,1.1875,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.05263157894736842,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,L,401547406,2023 Regular Season,Zach Pascal,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,L,401547421,2023 Regular Season,Zach Pascal,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
