receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
9,10,78,8.7,0,21,2,9,4.5,6,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,W,401547396,2023 Regular Season,Zay Flowers,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,62,15.5,0,52,1,6,6.0,6,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,W,401547412,2023 Regular Season,Zay Flowers,2023,Regular Season,2,78.0,9.0,0.0,10.0,78.0,9.0,0.0,10.0,78.0,9.0,0.0,10.0,8.666666666666666,0.0,0,0
8,10,48,6.0,0,8,1,2,2.0,2,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,19,22,L,401547427,2023 Regular Season,Zay Flowers,2023,Regular Season,3,140.0,13.0,0.0,15.0,70.0,6.5,0.0,7.5,70.0,6.5,0.0,7.5,15.5,0.0,0,0
3,4,56,18.7,0,43,1,-6,-6.0,-6,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,W,401547445,2023 Regular Season,Zay Flowers,2023,Regular Season,4,188.0,21.0,0.0,25.0,62.666666666666664,7.0,0.0,8.333333333333334,62.666666666666664,7.0,0.0,8.333333333333334,6.0,0.0,0,0
5,11,73,14.6,0,29,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,L,401547460,2023 Regular Season,Zay Flowers,2023,Regular Season,5,244.0,24.0,0.0,29.0,61.0,6.0,0.0,7.25,55.333333333333336,5.0,0.0,6.333333333333333,18.666666666666668,0.0,0,0
6,8,50,8.3,1,14,1,1,1.0,1,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,W,401547229,2023 Regular Season,Zay Flowers,2023,Regular Season,6,317.0,29.0,0.0,40.0,63.4,5.8,0.0,8.0,59.0,5.333333333333333,0.0,8.333333333333334,14.6,0.0,0,1
4,6,75,18.8,0,46,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,W,401547489,2023 Regular Season,Zay Flowers,2023,Regular Season,7,367.0,35.0,1.0,48.0,61.166666666666664,5.833333333333333,0.16666666666666666,8.0,59.666666666666664,4.666666666666667,0.3333333333333333,7.666666666666667,8.333333333333334,0.0,0,0
5,7,19,3.8,0,8,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,24,31,W,401547501,2023 Regular Season,Zay Flowers,2023,Regular Season,8,442.0,39.0,1.0,54.0,63.142857142857146,5.571428571428571,0.14285714285714285,7.714285714285714,66.0,5.0,0.3333333333333333,8.333333333333334,18.75,0.020833333333333332,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,W,401547513,2023 Regular Season,Zay Flowers,2023,Regular Season,9,461.0,44.0,1.0,61.0,57.625,5.5,0.125,7.625,48.0,5.0,0.3333333333333333,7.0,3.8,0.018518518518518517,0,0
5,6,73,14.6,0,18,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,L,401547531,2023 Regular Season,Zay Flowers,2023,Regular Season,10,472.0,45.0,1.0,62.0,52.44444444444444,5.0,0.1111111111111111,6.888888888888889,35.0,3.3333333333333335,0.0,4.666666666666667,11.0,0.01639344262295082,0,0
3,4,43,14.3,0,33,1,7,7.0,7,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,W,401547538,2023 Regular Season,Zay Flowers,2023,Regular Season,11,545.0,50.0,1.0,68.0,54.5,5.0,0.1,6.8,34.333333333333336,3.6666666666666665,0.0,4.666666666666667,14.6,0.016129032258064516,0,0
5,8,25,5.0,1,18,1,37,37.0,37,1,0,0,0,0,12,2023-11-27T01:20:00.000+00:00,10,20,W,401547564,2023 Regular Season,Zay Flowers,2023,Regular Season,12,588.0,53.0,1.0,72.0,53.45454545454545,4.818181818181818,0.09090909090909091,6.545454545454546,42.333333333333336,3.0,0.0,3.6666666666666665,14.333333333333334,0.014705882352941176,0,1
6,10,60,10.0,1,21,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,W,401547585,2023 Regular Season,Zay Flowers,2023,Regular Season,13,613.0,58.0,2.0,80.0,51.083333333333336,4.833333333333333,0.16666666666666666,6.666666666666667,47.0,4.333333333333333,0.3333333333333333,6.0,5.0,0.013888888888888888,0,1
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,W,401547602,2023 Regular Season,Zay Flowers,2023,Regular Season,14,673.0,64.0,3.0,90.0,51.76923076923077,4.923076923076923,0.23076923076923078,6.923076923076923,42.666666666666664,4.666666666666667,0.6666666666666666,7.333333333333333,10.0,0.025,0,0
9,13,72,8.0,1,13,0,0,0.0,0,0,0,0,0,0,16,2023-12-26T01:15:00.000+00:00,19,33,W,401547622,2023 Regular Season,Zay Flowers,2023,Regular Season,15,680.0,65.0,3.0,92.0,48.57142857142857,4.642857142857143,0.21428571428571427,6.571428571428571,30.666666666666668,4.0,0.6666666666666666,6.666666666666667,7.0,0.03333333333333333,0,1
3,3,106,35.3,1,75,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,56,19,W,401547625,2023 Regular Season,Zay Flowers,2023,Regular Season,16,752.0,74.0,4.0,105.0,50.13333333333333,4.933333333333334,0.26666666666666666,7.0,46.333333333333336,5.333333333333333,0.6666666666666666,8.333333333333334,8.0,0.03260869565217391,0,1
6,10,37,6.2,0,19,2,14,7.0,8,0,0,0,0,0,1,2024-09-06T00:40:00.000+00:00,27,20,L,401671789,2024 Regular Season,Zay Flowers,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,11,91,13.0,1,21,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,26,L,401671624,2024 Regular Season,Zay Flowers,2024,Regular Season,2,37.0,6.0,0.0,10.0,37.0,6.0,0.0,10.0,37.0,6.0,0.0,10.0,6.166666666666667,0.0,0,1
