receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
6,9,65,10.8,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,L,401437646,2022 Regular Season,Zay Jones,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,4,23,7.7,0,10,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,24,0,W,401437639,2022 Regular Season,Zay Jones,2022,Regular Season,2,65.0,6.0,0.0,9.0,65.0,6.0,0.0,9.0,65.0,6.0,0.0,9.0,10.833333333333334,0.0,0,0
10,11,85,8.5,1,16,1,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,W,401437743,2022 Regular Season,Zay Jones,2022,Regular Season,3,88.0,9.0,0.0,13.0,44.0,4.5,0.0,6.5,44.0,4.5,0.0,6.5,7.666666666666667,0.0,0,1
3,8,12,4.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,L,401437765,2022 Regular Season,Zay Jones,2022,Regular Season,4,173.0,19.0,1.0,24.0,57.666666666666664,6.333333333333333,0.3333333333333333,8.0,57.666666666666664,6.333333333333333,0.3333333333333333,8.0,8.5,0.0,0,0
5,5,42,8.4,0,18,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,L,401437781,2022 Regular Season,Zay Jones,2022,Regular Season,5,185.0,22.0,1.0,32.0,46.25,5.5,0.25,8.0,40.0,5.333333333333333,0.3333333333333333,7.666666666666667,4.0,0.041666666666666664,0,0
4,10,54,13.5,0,20,1,14,14.0,14,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,L,401437796,2022 Regular Season,Zay Jones,2022,Regular Season,6,227.0,27.0,1.0,37.0,45.4,5.4,0.2,7.4,46.333333333333336,6.0,0.3333333333333333,8.0,8.4,0.03125,0,0
3,3,28,9.3,0,17,1,7,7.0,7,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,L,401435641,2022 Regular Season,Zay Jones,2022,Regular Season,7,281.0,31.0,1.0,47.0,46.833333333333336,5.166666666666667,0.16666666666666666,7.833333333333333,36.0,4.0,0.0,7.666666666666667,13.5,0.02702702702702703,0,0
5,5,40,8.0,0,22,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,27,20,W,401437824,2022 Regular Season,Zay Jones,2022,Regular Season,8,309.0,34.0,1.0,50.0,44.142857142857146,4.857142857142857,0.14285714285714285,7.142857142857143,41.333333333333336,4.0,0.0,6.0,9.333333333333334,0.02127659574468085,0,0
8,10,68,8.5,0,14,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,27,17,L,401437835,2022 Regular Season,Zay Jones,2022,Regular Season,9,349.0,39.0,1.0,55.0,43.625,4.875,0.125,6.875,40.666666666666664,4.0,0.0,6.0,8.0,0.02,0,0
11,14,145,13.2,0,29,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,28,27,W,401437862,2022 Regular Season,Zay Jones,2022,Regular Season,10,417.0,47.0,1.0,65.0,46.333333333333336,5.222222222222222,0.1111111111111111,7.222222222222222,45.333333333333336,5.333333333333333,0.0,6.0,8.5,0.01818181818181818,0,0
2,7,16,8.0,0,10,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,L,401437877,2022 Regular Season,Zay Jones,2022,Regular Season,11,562.0,58.0,1.0,79.0,56.2,5.8,0.1,7.9,84.33333333333333,8.0,0.0,9.666666666666666,13.181818181818182,0.015384615384615385,0,0
