,Player,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
0,Aaron Jones,-145,-155,-167,-182,-140,-145
1,Justin Jefferson,-105,-105,-111,-162,-110,-106
2,Bijan Robinson,-110,-110,-111,-139,-110,-110
3,Jordan Addison,180,210,180,135,200,180
4,Drake London,155,155,150,130,170,155
5,T.J. Hockenson,215,210,210,195,250,215
6,Darnell Mooney,215,250,210,175,225,215
7,Cam Akers,340,360,325,300,350,340
8,Tyler Allgeier,290,450,290,290,310,290
9,Sam Darnold,350,500,350,300,550,350
10,Kyle Pitts,320,330,300,260,350,320
11,Ray-Ray McCloud III,300,380,300,260,350,300
12,Jalen Nailor,425,550,400,460,500,425
13,Johnny Mundt,475,500,450,540,600,500
14,Minnesota Vikings D/ST,450,N/A,N/A,N/A,650,450
15,Atlanta Falcons D/ST,500,N/A,N/A,N/A,600,500
16,Ty Chandler,850,2000,800,950,1000,850
17,C.J. Ham,1100,2300,1100,1300,2000,1100
18,Trent Sherfield,1200,1900,1100,1900,1800,1200
19,Brandon Powell,1200,1900,1100,1500,1600,1200
20,KhaDarel Hodge,1200,1300,1100,1300,1500,1200
21,Kirk Cousins,1500,2500,1400,2000,2000,1500
22,Charlie Woerner,1500,1200,1400,1050,1800,1500
23,Ross Dwelley,1400,2700,1400,2400,2500,1400
24,Casey Washington,1800,2700,1700,2000,2500,1800
25,Avery Williams,2200,3300,1900,2000,2500,2200
26,Saquon Barkley,-280,-290,-333,-455,-275,-290
27,Jalen Hurts,-180,-175,-200,-220,-175,-179
28,A.J. Brown,100,125,100,-122,110,105
29,DeVonta Smith,160,185,160,148,175,160
30,Chuba Hubbard,125,100,120,-117,125,130
31,Grant Calcaterra,285,490,280,270,400,275
32,Kenneth Gainwell,425,600,400,420,400,400
33,Adam Thielen,260,380,260,270,275,270
34,Jahan Dotson,450,600,450,650,375,475
35,Xavier Legette,340,470,325,270,425,400
36,Philadelphia Eagles D/ST,400,N/A,N/A,N/A,550,425
37,Johnny Wilson,650,N/A,650,750,900,650
38,Jonathon Brooks,425,390,400,290,450,450
39,Carolina Panthers D/ST,500,N/A,N/A,N/A,650,550
40,Tommy Tremble,450,850,450,600,550,450
41,Ja'Tavion Sanders,450,N/A,450,510,450,390
42,David Moore,500,500,500,400,500,500
43,CJ Uzomah,850,1300,N/A,850,1200,850
44,Britain Covey,950,N/A,900,950,900,900
45,Bryce Young,650,750,650,600,750,700
46,Jalen Coker,425,750,400,N/A,500,390
47,Ainias Smith,950,1800,900,1050,900,1000
48,Feleipe Franks,1400,2400,1400,1500,2000,1300
49,Will Shipley,1900,1800,1900,1300,1400,1800
50,Raheem Blackshear,1700,3200,1700,2200,2800,1700
51,Deven Thompkins,1700,2500,1700,900,1800,1700
52,Najee Harris,-130,-135,-143,N/A,-135,-130
53,George Pickens,105,105,100,N/A,100,105
54,Jaylen Warren,210,190,210,N/A,210,210
55,Nick Chubb,170,180,170,N/A,165,170
56,Jerry Jeudy,185,210,180,N/A,175,185
57,Calvin Austin III,265,360,260,N/A,310,265
58,David Njoku,225,240,220,N/A,225,225
59,Pat Freiermuth,300,300,300,N/A,275,300
60,Elijah Moore,255,250,250,N/A,275,255
61,Mike Williams,340,460,325,N/A,300,340
62,Justin Fields,475,N/A,N/A,N/A,550,475
63,Jerome Ford,400,400,400,N/A,400,400
64,Van Jefferson,500,360,500,N/A,600,500
65,Pittsburgh Steelers D/ST,425,N/A,N/A,N/A,500,425
66,Cleveland Browns D/ST,475,N/A,N/A,N/A,550,475
67,Darnell Washington,500,460,500,N/A,500,500
68,Jamari Thrash,550,550,550,N/A,550,550
69,Russell Wilson,650,650,650,N/A,625,650
70,Cordarrelle Patterson,800,900,800,N/A,900,800
71,Jameis Winston,700,800,700,N/A,750,700
72,Kadarius Toney,700,550,N/A,N/A,N/A,700
73,Michael Woods II,700,600,N/A,N/A,750,N/A
74,Scott Miller,1000,N/A,1000,N/A,1100,1000
75,Jordan Akins,900,750,900,N/A,1000,900
76,Pierre Strong Jr.,950,N/A,900,N/A,1100,1000
77,Ben Skowronek,1200,1600,1100,N/A,1500,1200
78,Connor Heyward,1500,2100,1400,N/A,2000,1500
79,MyCole Pruitt,1500,1900,N/A,N/A,1800,1500
80,Tony Pollard,-120,-120,-125,-167,-115,-121
81,Travis Etienne Jr.,155,195,150,133,175,155
82,Calvin Ridley,180,200,180,150,200,180
83,Nick Westbrook-Ikhine,195,230,190,175,200,195
84,Brian Thomas Jr,240,220,190,165,240,240
85,Tank Bigsby,250,240,250,180,260,250
86,Tyler Boyd,280,430,280,360,375,280
87,Chigoziem Okonkwo,320,470,300,370,400,320
88,Parker Washington,280,390,280,245,350,280
89,Evan Engram,270,330,270,270,275,270
90,Tyjae Spears,400,380,400,230,400,400
91,Will Levis,450,470,450,350,500,450
92,Tennessee Titans D/ST,400,N/A,N/A,N/A,550,400
93,Jacksonville Jaguars D/ST,400,N/A,N/A,N/A,600,400
94,Devin Duvernay,500,700,500,550,650,500
95,Josh Whyle,750,1100,750,1600,1000,750
96,Mac Jones,650,750,650,850,800,650
97,Nick Vannett,750,1100,750,1300,1400,750
98,Brenton Strange,800,1100,800,800,1000,800
99,Luke Farrell,1000,2100,1000,2200,1500,1000
100,D'Ernest Johnson,1000,N/A,1000,1050,1200,1000
101,Jha'Quan Jackson,1400,1700,1400,1200,1600,1400
102,Tim Jones,1300,1700,1300,1000,1400,1300
103,Julius Chestnut,1500,2600,1400,1300,1600,1500
104,Keilan Robinson,2500,N/A,2400,1050,N/A,2500
105,Bucky Irving,-120,N/A,-125,N/A,N/A,-121
106,Rachaad White,-115,N/A,-125,N/A,N/A,-115
107,Mike Evans,105,N/A,100,N/A,N/A,105
108,Cade Otton,155,N/A,150,N/A,N/A,155
109,Sterling Shepard,225,N/A,220,N/A,N/A,220
110,Ameer Abdullah,165,N/A,160,N/A,N/A,165
111,Sincere McCormick,175,N/A,170,N/A,N/A,175
112,Brock Bowers,170,N/A,170,N/A,N/A,160
113,Jakobi Meyers,185,N/A,180,N/A,N/A,180
114,Sean Tucker,340,N/A,325,N/A,N/A,340
115,Baker Mayfield,350,N/A,350,N/A,N/A,350
116,Jalen McMillan,400,N/A,400,N/A,N/A,400
117,Tre Tucker,280,N/A,280,N/A,N/A,280
118,Tampa Bay Buccaneers D/ST,450,N/A,N/A,N/A,N/A,450
119,Las Vegas Raiders D/ST,500,N/A,N/A,N/A,N/A,500
120,Trey Palmer,700,N/A,700,N/A,N/A,650
121,Rakim Jarrett,700,N/A,700,N/A,N/A,700
122,DJ Turner,550,N/A,N/A,N/A,N/A,500
123,Dylan Laube,500,N/A,500,N/A,N/A,500
124,Michael Mayer,600,N/A,600,N/A,N/A,600
125,Terrace Marshall Jr.,600,N/A,600,N/A,N/A,600
126,Aidan O'Connell,800,N/A,800,N/A,N/A,850
127,Payne Durham,1000,N/A,1000,N/A,N/A,1000
128,Ryan Miller,1100,N/A,1100,N/A,N/A,1100
129,Ko Kieft,1400,N/A,1400,N/A,N/A,1400
130,Ramel Keyton,1000,N/A,1000,N/A,N/A,1100
131,Justin Shorter,1600,N/A,1400,N/A,N/A,1600
132,De'Von Achane,-170,-140,-200,N/A,-185,-170
133,Tyreek Hill,115,115,110,N/A,125,115
134,Breece Hall,110,115,110,N/A,115,110
135,Braelon Allen,145,115,140,N/A,150,145
136,Jonnu Smith,175,190,170,N/A,180,175
137,Davante Adams,160,175,160,N/A,170,160
138,Jaylen Waddle,195,195,190,N/A,210,195
139,Garrett Wilson,175,200,170,N/A,175,175
140,Raheem Mostert,330,320,325,N/A,333,330
141,Tyler Conklin,310,550,300,N/A,450,310
142,Tua Tagovailoa,500,800,500,N/A,900,500
143,Isaiah Davis,400,430,400,N/A,500,400
144,Miami Dolphins D/ST,425,N/A,N/A,N/A,500,425
145,Jaylen Wright,550,950,550,N/A,700,550
146,New York Jets D/ST,500,N/A,N/A,N/A,600,500
147,Malachi Corley,475,470,450,N/A,600,475
148,Malik Washington,650,550,650,N/A,700,650
149,Kene Nwangwu,700,1000,700,N/A,900,N/A
150,Alec Ingold,950,1100,900,N/A,1200,1000
151,Odell Beckham Jr.,850,850,800,N/A,850,850
152,Xavier Gipson,650,1200,650,N/A,900,650
153,Aaron Rodgers,850,1200,800,N/A,1200,850
154,Jeremy Ruckert,1000,1200,1000,N/A,1200,1000
155,River Cracraft,1400,1800,1400,N/A,1600,1400
156,Jeff Wilson Jr.,1900,2800,1900,N/A,2200,1900
157,Kenny Yeboah,1500,2500,1400,N/A,1800,1500
158,Irvin Charles,1600,2900,1400,N/A,2200,1600
159,Jack Stoll,2200,N/A,1900,N/A,2500,2200
160,Durham Smythe,2000,1900,1900,N/A,2500,2000
161,Dee Eskridge,2200,N/A,1900,N/A,2500,2200
162,Julian Hill,2200,1500,1900,N/A,2200,2200
