Player,DraftKings,BetMGM,FanDuel,BetOnline.ag,BetRivers,Bovada
Los Angeles Rams D/ST,500,750,N/A,N/A,N/A,N/A
Isaac Guerendo,-155,-150,-120,-167,-132,-152
Deebo Samuel,145,140,140,120,133,125
Brayden Willis,2200,N/A,2300,1900,2500,N/A
Chris Conley,2200,1200,2300,1900,1500,1100
Ronnie Rivers,2000,3300,3500,1900,2400,N/A
Jake Tonges,2200,2500,3300,1900,2800,N/A
Eric Saubert,1600,1500,2100,1400,1900,1100
Xavier Smith,2000,1200,3200,1900,1600,N/A
Jacob Cowing,2000,1800,2300,1900,2500,N/A
Ke'Shawn Vaughn,1100,N/A,2300,N/A,410,750
Matthew Stafford,1700,1400,2300,1700,1400,1200
Kyren Williams,-150,-175,-135,-200,-159,-176
Puka Nacua,125,110,105,110,108,120
Brock Purdy,400,350,410,400,390,350
Patrick Taylor,310,-115,500,300,138,N/A
Ricky Pearsall,400,400,550,400,440,350
Tyler Johnson,1500,650,1700,1400,750,1200
George Kittle,140,155,150,110,140,120
Davis Allen,1000,1000,1700,1000,1000,1200
Colby Parkinson,500,650,750,500,480,600
Kyle Juszczyk,800,750,850,700,650,750
Jordan Whittington,1500,1100,2700,1400,1150,1200
Hunter Long,2000,1500,2600,1900,1100,1200
Tutu Atwell,550,400,600,550,440,500
Blake Corum,400,550,650,400,425,400
San Francisco 49ers D/ST,500,600,N/A,N/A,N/A,N/A
Demarcus Robinson,390,350,600,350,400,400
Cooper Kupp,140,140,135,120,120,130
Jauan Jennings,185,145,155,150,155,150
Devin Singletary,600,650,N/A,600,N/A,N/A
Baltimore Ravens D/ST,360,500,N/A,N/A,N/A,N/A
Wan'Dale Robinson,380,400,N/A,350,N/A,N/A
Ihmir Smith-Marsette,1900,2500,N/A,1900,N/A,N/A
Lamar Jackson,180,190,N/A,180,N/A,N/A
Bryce Ford-Wheaton,1900,2200,N/A,1900,N/A,N/A
Isaiah Likely,265,260,N/A,260,N/A,N/A
Derrick Henry,-310,-300,N/A,-333,N/A,N/A
Darius Slayton,425,500,N/A,400,N/A,N/A
Tyrone Tracy Jr.,205,200,N/A,200,N/A,N/A
Nelson Agholor,450,500,N/A,450,N/A,N/A
Mark Andrews,180,185,N/A,180,N/A,N/A
Tommy DeVito,425,N/A,N/A,400,N/A,N/A
Devontez Walker,1000,1200,N/A,1000,N/A,N/A
Keaton Mitchell,700,800,N/A,700,N/A,N/A
Greg Dulcich,1100,1200,N/A,1100,N/A,N/A
Tylan Wallace,1000,1100,N/A,1000,N/A,N/A
Zay Flowers,145,140,N/A,140,N/A,N/A
New York Giants D/ST,550,N/A,N/A,N/A,N/A,N/A
Malik Nabers,215,210,N/A,210,N/A,N/A
Daniel Bellinger,950,1100,N/A,900,N/A,N/A
Rashod Bateman,230,250,N/A,230,N/A,N/A
Eric Gray,3000,2500,N/A,2900,N/A,N/A
Justice Hill,450,450,N/A,450,N/A,N/A
Jalin Hyatt,900,1200,N/A,900,N/A,N/A
Jalen Brooks,1000,N/A,N/A,1000,N/A,N/A
Brandin Cooks,350,N/A,450,350,N/A,N/A
Chuba Hubbard,-175,N/A,-180,-200,N/A,N/A
Ja'Tavion Sanders,475,N/A,600,450,N/A,N/A
Carolina Panthers D/ST,450,N/A,N/A,N/A,N/A,N/A
John Stephens Jr.,2800,N/A,N/A,N/A,N/A,N/A
Ezekiel Elliott,550,N/A,650,550,N/A,N/A
Ryan Flournoy,1900,N/A,3500,1900,N/A,N/A
David Moore,320,N/A,440,300,N/A,N/A
KaVontae Turpin,650,N/A,700,650,N/A,N/A
Luke Schoonmaker,800,N/A,1100,800,N/A,N/A
Xavier Legette,235,N/A,270,230,N/A,N/A
Dallas Cowboys D/ST,450,N/A,N/A,N/A,N/A,N/A
Cooper Rush,1000,N/A,1100,1000,N/A,N/A
Deuce Vaughn,1900,N/A,N/A,1900,N/A,N/A
Bryce Young,500,N/A,600,500,N/A,N/A
CeeDee Lamb,160,N/A,180,160,N/A,N/A
Adam Thielen,185,N/A,220,180,N/A,N/A
Tommy Tremble,500,N/A,500,500,N/A,N/A
Jonathan Mingo,1400,N/A,1400,1400,N/A,N/A
Deven Thompkins,1200,N/A,1600,1100,N/A,N/A
Trenton Irwin,1200,N/A,N/A,N/A,N/A,N/A
Hunter Luepke,1400,N/A,1700,1400,N/A,N/A
Raheem Blackshear,380,N/A,480,350,N/A,N/A
Jake Ferguson,265,N/A,230,260,N/A,N/A
Dan Chisena,1200,N/A,1600,N/A,N/A,N/A
Jalen Tolbert,600,N/A,650,600,N/A,N/A
Feleipe Franks,2000,N/A,3600,1900,N/A,N/A
Rico Dowdle,-125,N/A,-120,-125,N/A,N/A
Brevyn Spann-Ford,2500,N/A,2100,2400,N/A,N/A
Trayveon Williams,1900,2000,1800,1900,N/A,N/A
Bryce Oliver,950,1500,1300,900,N/A,N/A
Cincinnati Bengals D/ST,425,550,N/A,N/A,N/A,N/A
Mason Kinsey,2200,2500,1300,1900,N/A,N/A
Nick Westbrook-Ikhine,255,275,200,250,N/A,N/A
Chigoziem Okonkwo,330,400,500,325,N/A,N/A
Khalil Herbert,330,375,500,325,N/A,N/A
Chase Brown,-200,-190,-150,-200,N/A,N/A
Cam Grandy,1800,1800,1000,1700,N/A,N/A
Will Levis,550,500,460,550,N/A,N/A
Tennessee Titans D/ST,500,N/A,N/A,N/A,N/A,N/A
Charlie Jones,2000,2000,N/A,1900,N/A,N/A
Tyjae Spears,140,145,-110,140,N/A,N/A
Nick Vannett,850,1200,1100,800,N/A,N/A
Tanner McLachlan,2800,3000,N/A,2400,N/A,N/A
Tyler Boyd,370,400,490,350,N/A,N/A
Josh Whyle,750,1100,1200,750,N/A,N/A
Calvin Ridley,155,180,160,150,N/A,N/A
Ja'Marr Chase,-155,-150,-135,-167,N/A,N/A
Joshua Kelley,3000,3000,N/A,2900,N/A,N/A
Drew Sample,500,750,1000,500,N/A,N/A
Tony Pollard,105,100,-110,100,N/A,N/A
Jermaine Burton,1100,1200,1000,1100,N/A,N/A
Mike Gesicki,310,350,410,300,N/A,N/A
Tanner Hudson,1200,1300,700,1100,N/A,N/A
Jha'Quan Jackson,2500,3000,1300,2400,N/A,N/A
Isaiah Williams,2000,2000,1000,1900,N/A,N/A
Tee Higgins,160,170,125,160,N/A,N/A
Julius Chestnut,500,2000,410,500,N/A,N/A
Andrei Iosivas,390,400,400,350,N/A,N/A
Joe Burrow,425,500,600,400,N/A,N/A
Noah Gray,350,350,400,350,N/A,N/A
Jamari Thrash,900,1200,850,900,N/A,N/A
Kansas City Chiefs D/ST,400,N/A,N/A,N/A,N/A,N/A
JuJu Smith-Schuster,450,450,550,450,N/A,N/A
Jameis Winston,600,700,850,600,N/A,N/A
Michael Woods II,600,650,500,600,N/A,N/A
Justin Watson,650,700,700,650,N/A,N/A
Jerome Ford,290,300,250,290,N/A,N/A
Jerry Jeudy,195,190,150,190,N/A,N/A
Isiah Pacheco,100,100,125,100,N/A,N/A
Patrick Mahomes,550,600,600,550,N/A,N/A
Nick Chubb,155,145,155,150,N/A,N/A
Elijah Moore,270,275,200,270,N/A,N/A
David Njoku,245,210,240,N/A,N/A,N/A
Carson Steele,1200,1200,1800,1100,N/A,N/A
Kareem Hunt,240,250,250,240,N/A,N/A
DeAndre Hopkins,220,210,240,220,N/A,N/A
Nikko Remigio,1100,1200,2700,1100,N/A,N/A
D'Onta Foreman,1100,1400,N/A,1100,N/A,N/A
Cleveland Browns D/ST,450,N/A,N/A,N/A,N/A,N/A
Cedric Tillman,255,260,200,250,N/A,N/A
Samaje Perine,800,900,1000,800,N/A,N/A
Jordan Akins,550,550,240,550,N/A,N/A
Blake Whiteheart,1700,1400,850,N/A,N/A,N/A
Xavier Worthy,265,250,280,260,N/A,N/A
Pierre Strong Jr.,900,1100,2000,900,N/A,N/A
Travis Kelce,145,150,140,140,N/A,N/A
Alec Ingold,1200,1500,1800,1100,N/A,N/A
Jaylen Waddle,240,210,200,240,N/A,N/A
Dare Ogunbowale,950,1100,1000,900,N/A,N/A
Xavier Hutchinson,1700,1700,1000,1700,N/A,N/A
Jaylen Wright,850,1000,1000,800,N/A,N/A
Jonnu Smith,200,210,200,200,N/A,N/A
Julian Hill,1000,2500,1100,1000,N/A,N/A
Houston Texans D/ST,475,N/A,N/A,N/A,N/A,N/A
Joe Mixon,-185,-200,-250,-200,N/A,N/A
Malik Washington,600,700,600,600,N/A,N/A
Jack Stoll,2500,2500,1500,2400,N/A,N/A
Miami Dolphins D/ST,475,N/A,N/A,N/A,N/A,N/A
Robert Woods,650,750,1000,650,N/A,N/A
Tyreek Hill,135,130,135,130,N/A,N/A
John Metchie III,400,450,500,400,N/A,N/A
Jeff Wilson Jr.,2000,2500,1000,1900,N/A,N/A
Dameon Pierce,700,700,1100,700,N/A,N/A
Odell Beckham Jr.,1400,1300,950,1400,N/A,N/A
River Cracraft,1800,1800,1500,1700,N/A,N/A
Cade Stover,550,600,900,550,N/A,N/A
Tank Dell,180,190,195,180,N/A,N/A
Steven Sims,2200,2200,1000,1900,N/A,N/A
Dalton Schultz,195,210,380,190,N/A,N/A
Nico Collins,135,130,125,130,N/A,N/A
C.J. Stroud,285,600,650,280,N/A,N/A
De'Von Achane,-135,-135,-110,-143,N/A,N/A
Durham Smythe,2500,2500,1500,2400,N/A,N/A
Tua Tagovailoa,850,1200,1800,800,N/A,N/A
Raheem Mostert,380,450,500,350,N/A,N/A
Devin Duvernay,500,N/A,650,500,N/A,N/A
Davante Adams,145,N/A,125,140,N/A,N/A
Keilan Robinson,1300,N/A,2000,1300,N/A,N/A
Brenton Strange,450,N/A,N/A,450,N/A,N/A
Breece Hall,105,N/A,N/A,100,N/A,N/A
D'Ernest Johnson,1300,N/A,N/A,1300,N/A,N/A
Brian Thomas Jr,165,N/A,175,160,N/A,N/A
