Player,FanDuel,DraftKings,BetMGM,BetOnline.ag,BetRivers,Bovada
George Pickens,140,150,160,150,155,150
Isiah Pacheco,150,150,190,150,143,150
Najee Harris,155,140,160,140,145,125
Travis Kelce,175,170,170,170,165,162
Kareem Hunt,180,165,225,160,170,175
Xavier Worthy,260,240,250,240,215,250
DeAndre Hopkins,280,260,250,260,210,250
Marquise Brown,320,260,275,260,260,375
Jaylen Warren,320,250,300,250,235,240
Pat Freiermuth,360,295,270,290,240,240
Van Jefferson,480,550,300,550,390,400
Calvin Austin III,490,320,260,300,290,275
Noah Gray,600,380,525,350,360,375
Patrick Mahomes,600,500,675,500,525,500
Mike Williams,650,390,350,350,400,275
Russell Wilson,700,550,700,550,525,500
Kansas City Chiefs Defense,750,N/A,N/A,N/A,N/A,N/A
Pittsburgh Steelers Defense,850,N/A,N/A,N/A,N/A,N/A
JuJu Smith-Schuster,900,800,900,800,650,650
Cordarrelle Patterson,1000,850,900,800,550,750
Scott Miller,1200,1200,725,1100,900,1000
Darnell Washington,1200,800,900,800,550,750
Justin Watson,1200,1300,1100,1300,800,1400
MyCole Pruitt,1500,900,1400,900,1300,750
Connor Heyward,1600,1400,N/A,1400,1700,1000
Samaje Perine,1600,950,1000,900,900,900
Nikko Remigio,3100,2800,3000,2400,1150,900
Carson Steele,3300,1700,3000,1700,1700,1400
Anthony Firkser,3700,1300,600,N/A,1300,1400
Derrick Henry,-190,-180,-160,-200,-177,-164
Joe Mixon,-130,-120,-155,-125,-127,-139
Zay Flowers,120,130,115,130,130,150
Rashod Bateman,120,130,120,130,143,175
Nico Collins,130,130,120,130,106,137
Mark Andrews,155,165,150,160,165,185
Lamar Jackson,210,215,270,210,200,185
Isaiah Likely,270,270,260,270,240,300
Dalton Schultz,370,350,310,350,295,300
John Metchie III,400,N/A,N/A,450,330,500
Tylan Wallace,450,475,450,450,550,550
Baltimore Ravens Defense,600,N/A,N/A,N/A,N/A,N/A
Xavier Hutchinson,600,650,600,650,540,600
Robert Woods,600,550,500,550,575,500
C.J. Stroud,650,600,650,600,500,500
Devontez Walker,700,N/A,650,N/A,750,1100
Keaton Mitchell,750,380,450,350,550,550
Rasheen Ali,750,N/A,450,N/A,700,550
Houston Texans Defense,750,N/A,N/A,N/A,N/A,N/A
Irv Smith Jr.,800,600,575,N/A,900,600
Anthony Miller,850,N/A,825,N/A,1150,N/A
Dare Ogunbowale,850,1000,1000,800,750,1000
Dameon Pierce,1200,1400,1300,1400,900,1000
Patrick Ricard,1600,N/A,1500,N/A,1600,2200
Jared Wayne,2300,1000,1000,N/A,1900,1000
Marcedes Lewis,2700,3000,N/A,2900,2900,2800
Kenneth Walker III,-210,-175,N/A,-200,-137,-176
Pharaoh Brown,900,1000,N/A,1000,1300,1200
D'Andre Swift,140,140,N/A,140,107,140
Tyler Scott,2300,1700,N/A,1700,1300,1000
Tyler Lockett,460,400,N/A,400,475,350
Rome Odunze,270,300,N/A,300,230,275
Dareke Young,2400,2200,N/A,1900,2500,2200
Noah Fant,410,400,N/A,400,410,350
Geno Smith,500,600,N/A,600,600,600
Zach Charbonnet,-210,-160,N/A,-167,-141,-152
Jake Bobo,1200,850,N/A,800,1300,800
AJ Barner,900,950,N/A,900,1000,800
DJ Moore,180,215,N/A,210,155,210
DK Metcalf,185,190,N/A,190,175,175
Caleb Williams,410,450,N/A,450,330,375
Kenny McIntosh,550,370,N/A,350,600,500
Collin Johnson,2300,2200,N/A,1900,1700,N/A
Cole Kmet,420,320,N/A,300,350,375
Jaxon Smith-Njigba,155,170,N/A,170,175,162
Keenan Allen,175,210,N/A,210,175,210
Gerald Everett,2700,1100,N/A,1100,2200,1600
Roschon Johnson,380,320,N/A,300,320,300
