Player,DraftKings,BetOnline.ag,FanDuel,BetRivers,BetMGM,Bovada
Derrick Henry,-230,-250,N/A,N/A,N/A,N/A
Isaiah Likely,240,N/A,N/A,N/A,N/A,N/A
Cleveland Browns D/ST,500,N/A,N/A,N/A,N/A,N/A
Elijah Moore,475,450,N/A,N/A,N/A,N/A
Blake Whiteheart,1400,N/A,N/A,N/A,N/A,N/A
Charlie Kolar,600,N/A,N/A,N/A,N/A,N/A
Rashod Bateman,215,N/A,N/A,N/A,N/A,N/A
Justice Hill,245,N/A,N/A,N/A,N/A,N/A
Jordan Akins,750,N/A,N/A,N/A,N/A,N/A
Jamari Thrash,1400,N/A,N/A,N/A,N/A,N/A
D'Onta Foreman,310,N/A,N/A,N/A,N/A,N/A
Michael Woods II,750,N/A,N/A,N/A,N/A,N/A
Jerry Jeudy,275,270,N/A,N/A,N/A,N/A
Rasheen Ali,450,N/A,N/A,N/A,N/A,N/A
James Proche II,1500,N/A,N/A,N/A,N/A,N/A
John Kelly Jr.,1000,N/A,N/A,N/A,N/A,N/A
Nelson Agholor,370,N/A,N/A,N/A,N/A,N/A
Mark Andrews,145,140,N/A,N/A,N/A,N/A
Baltimore Ravens D/ST,350,N/A,N/A,N/A,N/A,N/A
David Njoku,475,N/A,N/A,N/A,N/A,N/A
Zay Flowers,155,150,N/A,N/A,N/A,N/A
Keaton Mitchell,250,N/A,N/A,N/A,N/A,N/A
Devontez Walker,475,N/A,N/A,N/A,N/A,N/A
Pierre Strong Jr.,400,N/A,N/A,N/A,N/A,N/A
Lamar Jackson,165,160,N/A,N/A,N/A,N/A
Dorian Thompson-Robinson,650,N/A,N/A,N/A,N/A,N/A
Tylan Wallace,475,N/A,N/A,N/A,N/A,N/A
Patrick Ricard,800,N/A,N/A,N/A,N/A,N/A
Russell Wilson,475,450,500,370,500,500
Joe Burrow,650,650,1200,950,650,450
Jermaine Burton,1200,1100,2000,2000,1100,1200
MyCole Pruitt,1700,1700,1600,1200,1400,850
Pat Freiermuth,290,290,310,205,250,300
Trayveon Williams,800,800,1500,1150,1000,600
Scott Miller,900,900,1100,1000,750,850
Darnell Washington,750,750,1300,800,750,850
Jaylen Warren,190,190,230,165,175,210
Van Jefferson,500,500,500,400,450,400
George Pickens,115,110,115,108,125,105
Charlie Jones,1500,1400,N/A,N/A,1400,N/A
Khalil Herbert,120,120,-105,165,120,100
Ja'Marr Chase,-135,-143,-150,-152,-135,-139
Connor Heyward,1300,1300,1600,1000,1400,1200
Calvin Austin III,320,300,330,285,300,350
Chase Brown,-110,-111,-105,-110,-125,100
Tee Higgins,110,110,-115,-107,110,110
Najee Harris,105,100,115,-103,105,110
Mike Gesicki,295,290,310,285,300,250
Andrei Iosivas,275,270,270,240,275,225
Ben Skowronek,1000,1000,1100,1500,1000,N/A
Cam Grandy,1500,1400,2100,2000,1400,N/A
Tanner McLachlan,2200,1900,2100,N/A,1800,N/A
Isaiah Williams,2200,1900,4900,2900,1800,N/A
Mike Williams,500,500,650,410,450,350
Drew Sample,1000,1000,1000,1400,900,800
Cordarrelle Patterson,950,900,1000,440,800,600
Cincinnati Bengals D/ST,475,N/A,N/A,N/A,500,N/A
Tanner Hudson,950,900,1000,1400,900,800
Pittsburgh Steelers D/ST,500,N/A,N/A,N/A,500,N/A
Courtland Sutton,115,N/A,N/A,N/A,N/A,N/A
Noah Gray,400,N/A,N/A,N/A,N/A,N/A
Bo Nix,200,N/A,N/A,N/A,N/A,N/A
Kansas City Chiefs D/ST,475,N/A,N/A,N/A,N/A,N/A
Javonte Williams,145,N/A,N/A,N/A,N/A,N/A
Samaje Perine,330,N/A,N/A,N/A,N/A,N/A
Kareem Hunt,380,N/A,N/A,N/A,N/A,N/A
Denver Broncos D/ST,370,N/A,N/A,N/A,N/A,N/A
DeAndre Hopkins,450,N/A,N/A,N/A,N/A,N/A
Xavier Worthy,475,N/A,N/A,N/A,N/A,N/A
JuJu Smith-Schuster,475,N/A,N/A,N/A,N/A,N/A
Adam Trautman,360,N/A,N/A,N/A,N/A,N/A
Carson Steele,550,N/A,N/A,N/A,N/A,N/A
Lucas Krull,600,N/A,N/A,N/A,N/A,N/A
Nate Adkins,500,N/A,N/A,N/A,N/A,N/A
Marvin Mims Jr.,230,N/A,N/A,N/A,N/A,N/A
Nikko Remigio,650,N/A,N/A,N/A,N/A,N/A
Michael Burton,600,N/A,N/A,N/A,N/A,N/A
Carson Wentz,600,N/A,N/A,N/A,N/A,N/A
Devaughn Vele,320,N/A,N/A,N/A,N/A,N/A
Peyton Hendershot,650,N/A,N/A,N/A,N/A,N/A
Jaleel McLaughlin,190,N/A,N/A,N/A,N/A,N/A
Justin Watson,475,N/A,N/A,N/A,N/A,N/A
Marquise Brown,400,N/A,N/A,N/A,N/A,N/A
Troy Franklin,500,N/A,N/A,N/A,N/A,N/A
Audric Estime,185,N/A,N/A,N/A,N/A,N/A
Lil'Jordan Humphrey,750,N/A,N/A,N/A,N/A,N/A
T.J. Hockenson,160,160,175,195,N/A,160
Ty Chandler,340,N/A,310,400,N/A,250
Justin Jefferson,-125,-125,-110,-115,N/A,-121
C.J. Ham,1900,N/A,2100,2200,N/A,2000
Brock Wright,1100,N/A,1000,650,N/A,900
Sam Darnold,285,280,370,380,N/A,330
Jahmyr Gibbs,-310,-333,-270,-375,N/A,-335
Shane Zylstra,1700,N/A,1000,950,N/A,N/A
Sam LaPorta,125,120,170,150,N/A,175
Brandon Powell,1600,N/A,2000,2200,N/A,N/A
Allen Robinson II,850,N/A,2100,1300,N/A,N/A
Jordan Addison,125,120,120,123,N/A,125
Craig Reynolds,310,N/A,500,285,N/A,220
Amon-Ra St. Brown,100,100,-120,-118,N/A,-120
Tom Kennedy,1800,N/A,2100,2400,N/A,N/A
Cam Akers,100,N/A,-155,104,N/A,-120
Johnny Mundt,400,N/A,750,1400,N/A,1000
Tim Patrick,255,250,280,240,N/A,250
Jared Goff,400,400,1200,800,N/A,600
Minnesota Vikings D/ST,550,N/A,N/A,N/A,N/A,N/A
Detroit Lions D/ST,550,N/A,N/A,N/A,N/A,N/A
Sione Vaki,1500,N/A,1700,750,N/A,900
Aaron Jones,-135,N/A,-155,-152,N/A,-139
Jermar Jefferson,700,N/A,500,370,N/A,600
Jameson Williams,110,110,125,125,N/A,137
Trent Sherfield,1000,N/A,2000,1800,N/A,N/A
Josh Oliver,650,N/A,750,800,N/A,700
Jalen Nailor,220,N/A,440,460,N/A,400
Cincinnati Bengals Defense,N/A,N/A,700,N/A,N/A,N/A
Pittsburgh Steelers Defense,N/A,N/A,750,N/A,N/A,N/A
Detroit Lions Defense,N/A,N/A,550,N/A,N/A,N/A
Minnesota Vikings Defense,N/A,N/A,600,N/A,N/A,N/A
