,id,abbrev,location,name,FullName
0,22,ARI,Arizona,Cardinals,Arizona Cardinals
1,1,ATL,Atlanta,Falcons,Atlanta Falcons
2,33,BAL,Baltimore,Ravens,Baltimore Ravens
3,2,BUF,Buffalo,Bills,Buffalo Bills
4,29,CAR,Carolina,Panthers,Carolina Panthers
5,3,CHI,Chicago,Bears,Chicago Bears
6,4,CIN,Cincinnati,Bengals,Cincinnati Bengals
7,5,CLE,Cleveland,Browns,Cleveland Browns
8,6,DAL,Dallas,Cowboys,Dallas Cowboys
9,7,DEN,Denver,Broncos,Denver Broncos
10,8,DET,Detroit,Lions,Detroit Lions
11,9,GB,Green Bay,Packers,Green Bay Packers
12,34,HOU,Houston,Texans,Houston Texans
13,11,IND,Indianapolis,Colts,Indianapolis Colts
14,30,JAX,Jacksonville,Jaguars,Jacksonville Jaguars
15,12,KC,Kansas City,Chiefs,Kansas City Chiefs
16,13,LV,Las Vegas,Raiders,Las Vegas Raiders
17,24,LAC,Los Angeles,Chargers,Los Angeles Chargers
18,14,LAR,Los Angeles,Rams,Los Angeles Rams
19,15,MIA,Miami,Dolphins,Miami Dolphins
20,16,MIN,Minnesota,Vikings,Minnesota Vikings
21,17,NE,New England,Patriots,New England Patriots
22,18,NO,New Orleans,Saints,New Orleans Saints
23,19,NYG,New York,Giants,New York Giants
24,20,NYJ,New York,Jets,New York Jets
25,21,PHI,Philadelphia,Eagles,Philadelphia Eagles
26,23,PIT,Pittsburgh,Steelers,Pittsburgh Steelers
27,25,SF,San Francisco,49ers,San Francisco 49ers
28,26,SEA,Seattle,Seahawks,Seattle Seahawks
29,27,TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers
30,10,TEN,Tennessee,Titans,Tennessee Titans
31,28,WSH,Washington,Commanders,Washington Commanders
