,id,abbrev,location,name,FullName
2,33,BAL,Baltimore,Ravens,Baltimore Ravens
3,2,BUF,Buffalo,Bills,Buffalo Bills
9,7,DEN,Denver,Broncos,Denver Broncos
11,9,GB,Green Bay,Packers,Green Bay Packers
12,34,HOU,Houston,Texans,Houston Texans
17,24,LAC,Los Angeles,Chargers,Los Angeles Chargers
18,14,LAR,Los Angeles,Rams,Los Angeles Rams
20,16,MIN,Minnesota,Vikings,Minnesota Vikings
25,21,PHI,Philadelphia,Eagles,Philadelphia Eagles
26,23,PIT,Pittsburgh,Steelers,Pittsburgh Steelers
29,27,TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers
31,28,WSH,Washington,Commanders,Washington Commanders
