,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,Unnamed: 0,teamId,location,name,firstName,lastName,height,weight,athleteAge,draftRd,position,exp,headshot,fullName,seasonYr,seasonType,fPts
42,7,9,63,9.0,0,24,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,21,44,L,401437653,2022 Regular Season,22,22,Arizona,Cardinals,Greg,Dortch,67,175,26,,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4037235.png,Greg Dortch,2022,Regular Season,6.3
69,6,9,65,10.8,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,L,401437646,2022 Regular Season,38,22,Arizona,Cardinals,Zay,Jones,74,200,29,2.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/3059722.png,Zay Jones,2022,Regular Season,6.5
107,3,3,31,10.3,0,11,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,43,22,Arizona,Cardinals,Chris,Moore,73,200,31,4.0,WR,9,https://a.espncdn.com/i/headshots/nfl/players/full/2576581.png,Chris Moore,2022,Regular Season,3.1
147,1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,53,22,Arizona,Cardinals,Zach,Pascal,74,215,29,,WR,7,https://a.espncdn.com/i/headshots/nfl/players/full/2978109.png,Zach Pascal,2022,Regular Season,0.7
207,3,3,38,12.7,0,18,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,111,1,Atlanta,Falcons,KhaDarel,Hodge,74,208,29,,WR,5,https://a.espncdn.com/i/headshots/nfl/players/full/3047876.png,KhaDarel Hodge,2022,Regular Season,3.8
246,5,7,74,14.8,0,31,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,L,401437650,2022 Regular Season,120,1,Atlanta,Falcons,Drake,London,76,213,23,1.0,WR,3,https://a.espncdn.com/i/headshots/nfl/players/full/4426502.png,Drake London,2022,Regular Season,7.4
287,1,2,20,20.0,0,20,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,L,401437647,2022 Regular Season,126,1,Atlanta,Falcons,Ray-Ray,McCloud III,69,190,28,6.0,WR,7,https://a.espncdn.com/i/headshots/nfl/players/full/3728262.png,Ray-Ray McCloud III,2022,Regular Season,2.0
320,1,3,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,W,401437647,2022 Regular Season,129,1,Atlanta,Falcons,Darnell,Mooney,71,177,26,5.0,WR,5,https://a.espncdn.com/i/headshots/nfl/players/full/4040655.png,Darnell Mooney,2022,Regular Season,0.8
386,3,5,28,9.3,0,17,0,0,0.0,0,0,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,L,401437630,2022 Regular Season,155,33,Baltimore,Ravens,Nelson,Agholor,72,200,31,1.0,WR,10,https://a.espncdn.com/i/headshots/nfl/players/full/2971618.png,Nelson Agholor,2022,Regular Season,2.8
417,2,5,59,29.5,1,55,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,160,33,Baltimore,Ravens,Rashod,Bateman,73,195,24,1.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4360939.png,Rashod Bateman,2022,Regular Season,11.9
470,1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,W,401437650,2022 Regular Season,174,33,Baltimore,Ravens,Deonte,Harty,66,170,26,,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4411193.png,Deonte Harty,2022,Regular Season,0.4
514,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,W,401437632,2022 Regular Season,227,33,Baltimore,Ravens,Tylan,Wallace,71,202,25,4.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4241424.png,Tylan Wallace,2022,Regular Season,0.0
553,3,6,17,5.7,0,9,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,W,401437651,2022 Regular Season,253,2,Buffalo,Bills,Amari,Cooper,73,211,30,1.0,WR,10,https://a.espncdn.com/i/headshots/nfl/players/full/2976499.png,Amari Cooper,2022,Regular Season,1.7
560,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,L,401437655,2022 Regular Season,272,2,Buffalo,Bills,KJ,Hamler,69,178,25,2.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4240380.png,KJ Hamler,2022,Regular Season,0.0
596,1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,L,401437643,2022 Regular Season,275,2,Buffalo,Bills,Mack,Hollins,76,221,31,4.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png,Mack Hollins,2022,Regular Season,1.6
635,8,11,55,6.9,1,13,4,17,4.3,11,0,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,296,2,Buffalo,Bills,Curtis,Samuel,71,195,28,2.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/3121427.png,Curtis Samuel,2022,Regular Season,11.5
731,7,12,55,7.9,0,25,0,0,0.0,0,0,1,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,W,401437634,2022 Regular Season,347,29,Carolina,Panthers,Diontae,Johnson,70,183,28,3.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/3932905.png,Diontae Johnson,2022,Regular Season,5.5
