,teamId,location,name,playerId,firstName,lastName,height,weight,athleteAge,draftRd,position,exp,headshot,fullName
1,22,Arizona,Cardinals,3886809,Andre,Baccellia,70,175,27,,WR,2,https://a.espncdn.com/i/headshots/nfl/players/full/3886809.png,Andre Baccellia
22,22,Arizona,Cardinals,4037235,Greg,Dortch,67,175,26,,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4037235.png,Greg Dortch
28,22,Arizona,Cardinals,4432708,Marvin,Harrison Jr.,76,205,22,1.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4432708.png,Marvin Harrison Jr.
38,22,Arizona,Cardinals,3059722,Zay,Jones,74,200,29,2.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/3059722.png,Zay Jones
43,22,Arizona,Cardinals,2576581,Chris,Moore,73,200,31,4.0,WR,9,https://a.espncdn.com/i/headshots/nfl/players/full/2576581.png,Chris Moore
51,22,Arizona,Cardinals,4875912,Tejhaun,Palmer,74,210,24,6.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4875912.png,Tejhaun Palmer
53,22,Arizona,Cardinals,2978109,Zach,Pascal,74,215,29,,WR,7,https://a.espncdn.com/i/headshots/nfl/players/full/2978109.png,Zach Pascal
71,22,Arizona,Cardinals,4428811,Xavier,Weaver,73,180,24,,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4428811.png,Xavier Weaver
76,22,Arizona,Cardinals,4360761,Michael,Wilson,74,213,24,3.0,WR,2,https://a.espncdn.com/i/headshots/nfl/players/full/4360761.png,Michael Wilson
86,1,Atlanta,Falcons,4369886,Chris,Blair,74,198,27,,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4369886.png,Chris Blair
95,1,Atlanta,Falcons,4363551,Dylan,Drummond,72,186,24,,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4363551.png,Dylan Drummond
111,1,Atlanta,Falcons,3047876,KhaDarel,Hodge,74,208,29,,WR,5,https://a.espncdn.com/i/headshots/nfl/players/full/3047876.png,KhaDarel Hodge
120,1,Atlanta,Falcons,4426502,Drake,London,76,213,23,1.0,WR,3,https://a.espncdn.com/i/headshots/nfl/players/full/4426502.png,Drake London
124,1,Atlanta,Falcons,4379569,Jesse,Matthews,72,190,25,,WR,2,https://a.espncdn.com/i/headshots/nfl/players/full/4379569.png,Jesse Matthews
126,1,Atlanta,Falcons,3728262,Ray-Ray,McCloud III,69,190,28,6.0,WR,7,https://a.espncdn.com/i/headshots/nfl/players/full/3728262.png,Ray-Ray McCloud III
129,1,Atlanta,Falcons,4040655,Darnell,Mooney,71,177,26,5.0,WR,5,https://a.espncdn.com/i/headshots/nfl/players/full/4040655.png,Darnell Mooney
130,1,Atlanta,Falcons,4372485,Rondale,Moore,67,181,24,2.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4372485.png,Rondale Moore
149,1,Atlanta,Falcons,4428796,Casey,Washington,72,200,23,6.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4428796.png,Casey Washington
155,33,Baltimore,Ravens,2971618,Nelson,Agholor,72,200,31,1.0,WR,10,https://a.espncdn.com/i/headshots/nfl/players/full/2971618.png,Nelson Agholor
160,33,Baltimore,Ravens,4360939,Rashod,Bateman,73,195,24,1.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4360939.png,Rashod Bateman
167,33,Baltimore,Ravens,4240069,Malik,Cunningham,73,186,26,,WR,2,https://a.espncdn.com/i/headshots/nfl/players/full/4240069.png,Malik Cunningham
170,33,Baltimore,Ravens,4429615,Zay,Flowers,69,175,24,1.0,WR,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429615.png,Zay Flowers
174,33,Baltimore,Ravens,4411193,Deonte,Harty,66,170,26,,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4411193.png,Deonte Harty
187,33,Baltimore,Ravens,3046401,Keith,Kirkwood,75,210,30,,WR,5,https://a.espncdn.com/i/headshots/nfl/players/full/3046401.png,Keith Kirkwood
197,33,Baltimore,Ravens,3050487,Anthony,Miller,71,190,30,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/3050487.png,Anthony Miller
225,33,Baltimore,Ravens,4428763,Dayton,Wade,69,184,24,,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4428763.png,Dayton Wade
226,33,Baltimore,Ravens,4696882,Devontez,Walker,73,198,23,4.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4696882.png,Devontez Walker
227,33,Baltimore,Ravens,4241424,Tylan,Wallace,71,202,25,4.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4241424.png,Tylan Wallace
242,2,Buffalo,Bills,4426800,Ahmarean,Brown,68,170,23,,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4426800.png,Ahmarean Brown
251,2,Buffalo,Bills,4635008,Keon,Coleman,76,215,21,2.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4635008.png,Keon Coleman
253,2,Buffalo,Bills,2976499,Amari,Cooper,73,211,30,1.0,WR,10,https://a.espncdn.com/i/headshots/nfl/players/full/2976499.png,Amari Cooper
272,2,Buffalo,Bills,4240380,KJ,Hamler,69,178,25,2.0,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/4240380.png,KJ Hamler
275,2,Buffalo,Bills,2991662,Mack,Hollins,76,221,31,4.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png,Mack Hollins
296,2,Buffalo,Bills,3121427,Curtis,Samuel,71,195,28,2.0,WR,8,https://a.espncdn.com/i/headshots/nfl/players/full/3121427.png,Curtis Samuel
297,2,Buffalo,Bills,4373678,Khalil,Shakir,72,190,24,5.0,WR,3,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png,Khalil Shakir
298,2,Buffalo,Bills,4241476,Tyrell,Shavers,76,211,25,,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4241476.png,Tyrell Shavers
308,2,Buffalo,Bills,4036448,Jalen,Virgil,73,210,26,,WR,3,https://a.espncdn.com/i/headshots/nfl/players/full/4036448.png,Jalen Virgil
319,29,Carolina,Panthers,3728254,Deon,Cain,74,202,28,6.0,WR,3,https://a.espncdn.com/i/headshots/nfl/players/full/3728254.png,Deon Cain
322,29,Carolina,Panthers,3929637,Dan,Chisena,75,203,27,,WR,4,https://a.espncdn.com/i/headshots/nfl/players/full/3929637.png,Dan Chisena
325,29,Carolina,Panthers,4695883,Jalen,Coker,75,213,22,,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4695883.png,Jalen Coker
347,29,Carolina,Panthers,3932905,Diontae,Johnson,70,183,28,3.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/3932905.png,Diontae Johnson
352,29,Carolina,Panthers,4430034,Xavier,Legette,75,227,23,1.0,WR,0,https://a.espncdn.com/i/headshots/nfl/players/full/4430034.png,Xavier Legette
