,Player,DraftKings,BetOnline.ag,FanDuel,BetRivers,BetMGM,Bovada
0,Derrick Henry,-265,-333,-270,-420,-300,-265
1,Chase Brown,-115,-125,100,-110,-120,-115
2,Ja'Marr Chase,-120,-143,-120,-141,-125,-121
3,Zay Flowers,115,120,135,117,140,115
4,Lamar Jackson,160,160,170,120,150,160
5,Mark Andrews,175,170,160,148,200,175
6,Mike Gesicki,195,210,220,155,225,195
7,Diontae Johnson,280,300,380,295,275,280
8,Rashod Bateman,275,300,390,255,275,275
9,Keaton Mitchell,320,N/A,370,360,400,320
10,Andrei Iosivas,295,260,270,220,250,295
11,Justice Hill,475,350,370,360,450,475
12,Charlie Kolar,425,400,440,370,450,425
13,Khalil Herbert,400,N/A,700,540,550,400
14,Nelson Agholor,550,500,650,440,500,550
15,Trayveon Williams,550,900,1300,650,500,550
16,Cincinnati Bengals D/ST,550,N/A,N/A,N/A,500,550
17,Jermaine Burton,500,450,550,525,450,500
18,Joe Burrow,600,600,750,600,550,600
19,Baltimore Ravens D/ST,450,N/A,N/A,N/A,450,450
20,Trenton Irwin,700,550,550,525,500,700
21,Tanner Hudson,850,800,950,475,N/A,850
22,Drew Sample,700,550,500,700,600,700
23,Tylan Wallace,1100,1100,1700,1900,1200,1100
24,Patrick Ricard,1100,1400,2200,1400,1400,1100
25,Devontez Walker,1300,1100,N/A,1600,1200,1300
26,Kendall Milton,1500,1400,N/A,1400,N/A,1500
27,Tanner McLachlan,1700,1400,N/A,2000,1200,1700
28,Tyrone Tracy Jr.,105,-111,-120,N/A,100,105
29,Chuba Hubbard,110,100,110,N/A,115,110
30,Malik Nabers,130,130,135,N/A,130,130
31,Wan'Dale Robinson,190,260,290,N/A,275,190
32,Theo Johnson,215,300,380,N/A,320,215
33,Devin Singletary,225,240,230,N/A,230,225
34,Jonathon Brooks,300,350,N/A,N/A,N/A,300
35,Xavier Legette,280,300,340,N/A,350,280
36,Daniel Jones,300,250,220,N/A,300,300
37,Ja'Tavion Sanders,320,550,600,N/A,500,N/A
38,David Moore,400,450,470,N/A,450,400
39,Carolina Panthers D/ST,450,N/A,N/A,N/A,650,N/A
40,Jalen Coker,450,500,490,N/A,450,450
41,New York Giants D/ST,380,N/A,N/A,N/A,550,380
42,Miles Sanders,550,500,500,N/A,600,550
43,Jalin Hyatt,600,550,550,N/A,600,600
44,Ihmir Smith-Marsette,700,1100,1300,N/A,1200,700
45,Eric Gray,750,1100,1500,N/A,1200,750
46,Chris Manhertz,750,1100,1600,N/A,1100,750
47,Daniel Bellinger,700,1300,1600,N/A,1500,700
48,Bryce Young,850,700,600,N/A,850,850
49,Jordan Matthews,1400,1400,1600,N/A,1500,1400
50,Bryce Ford-Wheaton,2200,1900,N/A,N/A,2200,2200
51,Feleipe Franks,2800,3400,4500,N/A,3000,2800
52,Raheem Blackshear,2200,1900,2300,N/A,2200,2200
53,Bijan Robinson,-150,-167,N/A,N/A,-155,-150
54,Alvin Kamara,-125,-167,N/A,N/A,-140,-125
55,Drake London,135,140,N/A,N/A,150,135
56,Darnell Mooney,150,150,N/A,N/A,160,150
57,Taysom Hill,135,170,N/A,N/A,175,135
58,Kyle Pitts,180,210,N/A,N/A,200,180
59,Tyler Allgeier,180,170,N/A,N/A,180,180
60,Ray-Ray McCloud III,250,220,N/A,N/A,250,250
61,KhaDarel Hodge,310,300,N/A,N/A,310,310
62,Cedrick Wilson Jr.,320,300,N/A,N/A,320,320
63,Mason Tipton,320,300,N/A,N/A,320,320
64,Jamaal Williams,500,500,N/A,N/A,550,N/A
65,Juwan Johnson,475,400,N/A,N/A,475,475
66,New Orleans Saints D/ST,475,N/A,N/A,N/A,600,475
67,Atlanta Falcons D/ST,425,N/A,N/A,N/A,500,425
68,Jordan Mims,600,600,N/A,N/A,600,600
69,Foster Moreau,500,700,N/A,N/A,700,500
70,Marquez Valdes-Scantling,550,550,N/A,N/A,550,550
71,Charlie Woerner,600,500,N/A,N/A,600,600
72,Kirk Cousins,650,650,N/A,N/A,750,650
73,Equanimeous St. Brown,750,N/A,N/A,N/A,N/A,750
74,Derek Carr,950,900,N/A,N/A,1000,1000
75,Casey Washington,900,900,N/A,N/A,900,900
76,Avery Williams,1300,2400,N/A,N/A,2000,1300
77,Adam Prentice,1200,1300,N/A,N/A,1400,1200
78,Ross Dwelley,1700,1900,N/A,N/A,2000,1700
79,Jase McClellan,1500,1400,N/A,N/A,1500,1500
80,Jermaine Jackson,1800,1700,N/A,N/A,1800,N/A
81,Dallin Holker,1700,1700,N/A,N/A,1800,1700
82,James Cook,-155,-143,-110,N/A,-135,-154
83,Jonathan Taylor,-155,-167,-150,N/A,-165,-154
84,Josh Allen,115,140,155,N/A,135,115
85,Amari Cooper,160,140,120,N/A,140,160
86,Khalil Shakir,160,150,N/A,N/A,160,160
87,Alec Pierce,220,300,330,N/A,275,220
88,Dalton Kincaid,230,180,120,N/A,150,230
89,Michael Pittman Jr.,220,230,260,N/A,225,220
90,Josh Downs,215,200,220,N/A,220,215
91,Ray Davis,275,325,390,N/A,350,275
92,Adonai Mitchell,275,550,850,N/A,450,N/A
93,Mack Hollins,370,350,230,N/A,300,370
94,Dawson Knox,400,450,340,N/A,400,400
95,Trey Sermon,450,550,500,N/A,500,450
96,Curtis Samuel,550,350,210,N/A,275,N/A
97,Buffalo Bills D/ST,425,N/A,N/A,N/A,500,425
98,Indianapolis Colts D/ST,500,N/A,N/A,N/A,650,500
99,Mo Alie-Cox,500,700,700,N/A,600,500
100,Drew Ogletree,750,900,1200,N/A,1000,750
101,Ty Johnson,700,1100,1500,N/A,1100,700
102,Kylen Granson,750,900,1000,N/A,900,750
103,Tyler Goodson,900,1300,1300,N/A,1000,900
104,Ashton Dulin,1000,1100,900,N/A,1000,1000
105,Joe Flacco,1300,1400,1000,N/A,1200,1300
106,Will Mallory,1400,1900,2200,N/A,1600,1400
107,Reggie Gilliam,1700,1900,N/A,N/A,1800,1700
108,Quintin Morris,2000,1400,750,N/A,1100,2000
109,Jalen Virgil,2000,N/A,600,N/A,N/A,2000
110,Evan Hull,1900,N/A,N/A,N/A,N/A,1900
111,D'Andre Swift,110,100,100,N/A,100,110
112,DJ Moore,180,200,200,N/A,200,180
113,Rhamondre Stevenson,160,150,180,N/A,160,160
114,Keenan Allen,235,250,250,N/A,225,235
115,Rome Odunze,220,230,280,N/A,250,220
116,Roschon Johnson,275,260,280,N/A,275,275
117,Cole Kmet,300,290,320,N/A,300,300
118,Caleb Williams,340,325,340,N/A,325,340
119,Hunter Henry,310,325,410,N/A,350,310
120,Drake Maye,380,350,420,N/A,375,380
121,DeMario Douglas,360,350,490,N/A,400,360
122,New England Patriots D/ST,425,N/A,N/A,N/A,750,N/A
123,Chicago Bears D/ST,370,N/A,N/A,N/A,650,N/A
124,Kayshon Boutte,400,400,500,N/A,450,400
125,Kendrick Bourne,425,450,600,N/A,500,425
126,Antonio Gibson,600,600,650,N/A,600,600
127,Gerald Everett,850,1100,1100,N/A,1000,850
128,Ja'Lynn Polk,800,800,850,N/A,750,800
129,Austin Hooper,900,900,1000,N/A,1000,900
130,JaMycal Hasty,1100,1100,N/A,N/A,1100,1100
131,Travis Homer,1700,1400,1800,N/A,1400,1700
132,Javon Baker,1400,1400,1700,N/A,1600,1400
133,Marcedes Lewis,1700,1900,2700,N/A,2000,1700
134,Tyler Scott,2800,3400,3100,N/A,2200,2800
135,DeAndre Carter,2200,1900,2800,N/A,2000,2200
136,Jaheim Bell,4000,2900,2900,N/A,2800,4000
137,Kareem Hunt,-145,-143,-140,N/A,-140,-145
138,Travis Kelce,125,140,130,N/A,230,125
139,DeAndre Hopkins,155,150,180,N/A,175,155
140,Xavier Worthy,200,190,220,N/A,210,200
141,Javonte Williams,185,180,200,N/A,200,185
142,Courtland Sutton,270,260,320,N/A,280,270
143,Patrick Mahomes,450,400,380,N/A,450,450
144,Bo Nix,390,325,410,N/A,400,390
145,Kansas City Chiefs D/ST,390,N/A,N/A,N/A,600,390
146,Noah Gray,500,500,500,N/A,550,500
147,Denver Broncos D/ST,450,N/A,N/A,N/A,750,450
148,Clyde Edwards-Helaire,550,1000,N/A,N/A,600,550
149,Carson Steele,550,600,600,N/A,600,550
150,Justin Watson,600,550,650,N/A,650,600
151,Samaje Perine,550,550,600,N/A,600,550
152,Mecole Hardman,700,700,750,N/A,750,700
153,Jaleel McLaughlin,500,450,650,N/A,550,500
154,Lil'Jordan Humphrey,500,500,550,N/A,550,500
155,Audric Estime,600,800,600,N/A,600,600
156,Troy Franklin,500,650,650,N/A,650,500
157,Devaughn Vele,550,500,700,N/A,650,550
158,Adam Trautman,700,800,900,N/A,900,700
159,Lucas Krull,800,1000,1300,N/A,1200,800
160,Greg Dulcich,850,1100,N/A,N/A,900,850
161,Nate Adkins,900,1400,1800,N/A,1500,900
162,Marvin Mims Jr.,950,1000,1200,N/A,1000,1000
163,Michael Burton,2500,N/A,3100,N/A,N/A,2500
164,Justin Jefferson,-105,-125,-105,N/A,-110,N/A
165,Aaron Jones,-115,-143,-135,N/A,-105,N/A
166,Jordan Addison,205,220,260,N/A,220,N/A
167,Tank Bigsby,205,190,170,N/A,160,N/A
168,Cam Akers,220,240,300,N/A,320,N/A
169,Travis Etienne Jr.,200,210,210,N/A,175,N/A
170,T.J. Hockenson,245,250,280,N/A,260,N/A
171,Evan Engram,215,240,230,N/A,220,N/A
172,Brian Thomas Jr,220,200,210,N/A,200,N/A
173,Sam Darnold,275,350,340,N/A,400,N/A
174,Jalen Nailor,350,450,500,N/A,400,N/A
175,Trevor Lawrence,360,350,N/A,N/A,400,N/A
176,Josh Oliver,360,600,650,N/A,500,N/A
177,Parker Washington,370,350,370,N/A,400,N/A
178,Gabe Davis,370,325,370,N/A,325,N/A
179,Jacksonville Jaguars D/ST,475,N/A,N/A,N/A,700,N/A
180,Minnesota Vikings D/ST,400,N/A,N/A,N/A,650,N/A
181,Brandon Powell,650,800,1000,N/A,800,N/A
182,Ty Chandler,600,900,1000,N/A,1000,N/A
183,Tim Jones,650,750,800,N/A,800,N/A
184,Brenton Strange,650,1000,900,N/A,750,N/A
185,Johnny Mundt,900,1100,1500,N/A,1000,N/A
186,D'Ernest Johnson,900,900,1000,N/A,800,N/A
187,Trent Sherfield,850,800,950,N/A,800,N/A
188,C.J. Ham,1000,1400,1600,N/A,1400,N/A
189,Luke Farrell,1100,1400,1500,N/A,1400,N/A
190,Josiah Deguara,2000,1900,2200,N/A,2000,N/A
191,Brian Robinson Jr.,-105,-111,-110,N/A,N/A,-106
192,Najee Harris,-110,-111,-105,N/A,N/A,-110
193,Jayden Daniels,120,130,160,N/A,N/A,120
194,Austin Ekeler,130,110,-110,N/A,N/A,130
195,Terry McLaurin,120,130,130,N/A,N/A,120
196,Jeremy McNichols,245,260,290,N/A,N/A,245
197,George Pickens,200,160,160,N/A,N/A,200
198,Jaylen Warren,240,280,320,N/A,N/A,240
199,Zach Ertz,270,300,320,N/A,N/A,270
200,Noah Brown,300,280,260,N/A,N/A,300
201,Dyami Brown,340,750,1100,N/A,N/A,340
202,Pat Freiermuth,270,325,330,N/A,N/A,270
203,Calvin Austin III,340,400,490,N/A,N/A,340
204,Van Jefferson,340,400,550,N/A,N/A,340
205,Russell Wilson,380,450,550,N/A,N/A,380
206,Mike Williams,380,N/A,370,N/A,N/A,N/A
207,Pittsburgh Steelers D/ST,475,N/A,N/A,N/A,N/A,475
208,Washington Commanders D/ST,425,N/A,N/A,N/A,N/A,425
209,Olamide Zaccheaus,650,600,650,N/A,N/A,650
210,Luke McCaffrey,700,800,900,N/A,N/A,700
211,Darnell Washington,550,800,1000,N/A,N/A,550
212,Ben Sinnott,750,1100,1400,N/A,N/A,750
213,Scott Miller,800,1000,1200,N/A,N/A,800
214,Connor Heyward,1500,1700,1600,N/A,N/A,1500
215,MyCole Pruitt,1400,1400,1600,N/A,N/A,1400
216,John Bates,2200,1400,2100,N/A,N/A,2200
217,Jonathan Ward,2200,1900,N/A,N/A,N/A,2200
218,Rodney Williams,2500,N/A,N/A,N/A,N/A,2500
219,Christian McCaffrey,-215,N/A,-270,N/A,N/A,-213
220,Jordan Mason,-115,-167,-270,N/A,N/A,-115
221,George Kittle,-110,120,145,N/A,N/A,-110
222,Deebo Samuel,105,120,140,N/A,N/A,105
223,Rachaad White,120,160,175,N/A,N/A,120
224,Bucky Irving,150,170,180,N/A,N/A,150
225,Jauan Jennings,165,210,220,N/A,N/A,165
226,Cade Otton,135,160,180,N/A,N/A,135
227,Ricky Pearsall,210,300,310,N/A,N/A,210
228,Sterling Shepard,190,240,300,N/A,N/A,190
229,Sean Tucker,300,500,600,N/A,N/A,N/A
230,Isaac Guerendo,320,290,270,N/A,N/A,320
231,Jacob Cowing,350,350,550,N/A,N/A,350
232,Rakim Jarrett,320,350,410,N/A,N/A,320
233,Trey Palmer,350,300,280,N/A,N/A,350
234,Baker Mayfield,475,500,500,N/A,N/A,475
235,Brock Purdy,400,450,440,N/A,N/A,400
236,San Francisco 49ers D/ST,425,N/A,N/A,N/A,N/A,425
237,Tampa Bay Buccaneers D/ST,500,N/A,N/A,N/A,N/A,500
238,Ryan Miller,475,400,410,N/A,N/A,475
239,Ronnie Bell,550,900,550,N/A,N/A,550
240,Kyle Juszczyk,700,650,550,N/A,N/A,700
241,Eric Saubert,850,1000,850,N/A,N/A,850
242,Payne Durham,750,1300,1600,N/A,N/A,750
243,Patrick Taylor,1000,750,550,N/A,N/A,1000
244,Ko Kieft,1300,1900,1600,N/A,N/A,1300
245,Jake Tonges,1600,1100,850,N/A,N/A,1600
246,Brayden Willis,1400,1400,N/A,N/A,N/A,1400
247,Devin Culp,2200,1900,N/A,N/A,N/A,2200
248,J.K. Dobbins,-150,-143,100,N/A,N/A,-150
249,Tony Pollard,110,120,160,N/A,N/A,110
250,Ladd McConkey,155,160,230,N/A,N/A,155
251,Gus Edwards,200,N/A,250,N/A,N/A,200
252,Quentin Johnston,240,240,280,N/A,N/A,240
253,Joshua Palmer,330,325,390,N/A,N/A,330
254,Will Dissly,360,350,430,N/A,N/A,360
255,Kimani Vidal,350,350,250,N/A,N/A,350
256,Calvin Ridley,265,270,330,N/A,N/A,265
257,Justin Herbert,425,450,440,N/A,N/A,425
258,Hayden Hurst,425,550,600,N/A,N/A,425
259,Los Angeles Chargers D/ST,350,N/A,N/A,N/A,N/A,N/A
260,Tennessee Titans D/ST,425,N/A,N/A,N/A,N/A,425
261,Nick Westbrook-Ikhine,390,400,500,N/A,N/A,390
262,Julius Chestnut,450,450,390,N/A,N/A,450
263,Mason Rudolph,500,500,N/A,N/A,N/A,500
264,DJ Chark Jr.,600,N/A,550,N/A,N/A,N/A
265,Jalen Reagor,600,600,550,N/A,N/A,N/A
266,Tyler Boyd,700,750,700,N/A,N/A,700
267,Hassan Haskins,950,900,1600,N/A,N/A,1000
268,Chigoziem Okonkwo,700,650,700,N/A,N/A,700
269,Stone Smartt,1200,1100,N/A,N/A,N/A,1200
270,Josh Whyle,1000,1100,1400,N/A,N/A,1000
271,Derius Davis,1400,1400,1100,N/A,N/A,1400
