,Player,DraftKings,Caesars,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
0,Bijan Robinson,-190,-184,-175,-200,-305,-175,-190
1,Drake London,-115,116,125,110,-103,100,-115
2,CeeDee Lamb,-125,-110,-105,-111,-129,-115,-125
3,Tyler Allgeier,140,170,135,150,115,150,140
4,Rico Dowdle,145,135,145,130,107,125,145
5,Kyle Pitts,160,175,200,170,130,175,160
6,Darnell Mooney,150,155,165,150,132,165,150
7,Ezekiel Elliott,190,190,240,190,170,140,190
8,Jake Ferguson,190,220,210,210,155,220,190
9,Ray-Ray McCloud III,240,255,240,240,220,240,240
10,Jalen Tolbert,275,225,270,240,200,275,275
11,Dalvin Cook,360,N/A,550,N/A,320,170,N/A
12,KaVontae Turpin,425,440,430,400,450,425,425
13,Dak Prescott,450,525,480,450,410,400,450
14,Atlanta Falcons D/ST,500,N/A,N/A,N/A,N/A,500,500
15,Dallas Cowboys D/ST,500,N/A,N/A,N/A,N/A,550,N/A
16,Charlie Woerner,600,1600,1600,1400,1300,1400,600
17,Kirk Cousins,700,1100,800,900,600,800,700
18,Jalen Brooks,650,575,550,550,600,500,N/A
19,KhaDarel Hodge,850,2300,2800,1900,800,1600,850
20,Hunter Luepke,800,1200,1600,1100,1200,900,800
21,Brevyn Spann-Ford,850,1500,1800,1400,1200,1400,850
22,Deuce Vaughn,1000,N/A,N/A,1000,1300,1100,N/A
23,Casey Washington,1000,2800,3200,2400,1600,2000,N/A
24,Avery Williams,1200,2300,1600,1900,1100,1600,1200
25,James Washington,1000,N/A,N/A,N/A,N/A,N/A,1000
26,Luke Schoonmaker,1300,1600,1800,1400,650,1300,1300
27,Jase McClellan,1500,N/A,N/A,1400,1600,1600,1500
28,Ryan Flournoy,1400,2000,2800,1900,2500,1600,1400
29,Ross Dwelley,1800,1900,3200,1900,1200,2200,1800
30,Derrick Henry,-255,-220,-250,-250,-385,-250,-260
31,Lamar Jackson,145,165,190,170,117,175,145
32,Zay Flowers,160,165,155,160,155,175,160
33,Javonte Williams,145,165,195,170,138,170,145
34,Mark Andrews,220,250,220,230,180,220,220
35,Diontae Johnson,215,390,185,N/A,220,220,N/A
36,Rashod Bateman,250,225,185,220,275,300,250
37,Isaiah Likely,280,375,360,350,265,300,280
38,Bo Nix,275,305,390,300,200,310,275
39,Courtland Sutton,235,240,240,240,155,250,235
40,Justice Hill,390,N/A,500,400,330,400,390
41,Nelson Agholor,475,800,370,550,400,350,475
42,Jaleel McLaughlin,450,450,480,450,330,450,450
43,Devaughn Vele,400,600,550,500,350,400,400
44,Troy Franklin,400,480,500,450,440,400,400
45,Denver Broncos D/ST,550,N/A,N/A,N/A,N/A,650,550
46,Charlie Kolar,750,1200,1100,1000,700,900,750
47,Baltimore Ravens D/ST,450,N/A,N/A,N/A,N/A,550,450
48,Audric Estime,650,650,950,750,750,1100,650
49,Adam Trautman,550,700,800,700,700,600,550
50,Devontez Walker,1000,N/A,N/A,1000,1900,N/A,1000
51,Lil'Jordan Humphrey,600,525,440,500,440,N/A,N/A
52,Marvin Mims Jr.,850,1000,1000,900,700,800,850
53,Greg Dulcich,900,N/A,N/A,900,1400,N/A,900
54,Lucas Krull,1000,850,1000,900,575,1000,1000
55,Tylan Wallace,1600,2600,N/A,1900,1500,1800,1600
56,Michael Burton,1300,2200,2200,1900,1400,1600,1300
57,Nate Adkins,1200,1750,2000,1400,1200,1300,1200
58,James Cook,-160,-149,-125,-167,-180,-160,-159
59,Josh Allen,115,105,-105,100,-139,110,115
60,Keon Coleman,115,N/A,200,160,180,160,115
61,Khalil Shakir,125,175,220,180,163,200,125
62,Amari Cooper,150,N/A,145,150,130,170,150
63,Dalton Kincaid,140,170,240,180,175,165,140
64,De'Von Achane,135,104,100,110,-167,125,135
65,Raheem Mostert,145,160,195,160,132,160,145
66,Tyreek Hill,155,135,135,130,112,150,155
67,Ray Davis,275,285,260,270,245,275,275
68,Jaylen Waddle,200,180,220,190,180,210,200
69,Mack Hollins,320,N/A,240,325,540,500,320
70,Jonnu Smith,240,290,350,300,290,310,240
71,Buffalo Bills D/ST,450,N/A,N/A,N/A,N/A,500,450
72,Miami Dolphins D/ST,475,N/A,N/A,N/A,N/A,550,475
73,Curtis Samuel,550,N/A,N/A,550,900,600,550
74,Dawson Knox,750,550,700,600,550,800,750
75,Jaylen Wright,600,1300,950,1000,800,600,N/A
76,Tua Tagovailoa,750,750,1000,800,700,900,750
77,Ty Johnson,1400,1000,1300,1100,460,1200,1400
78,Odell Beckham Jr.,950,1000,900,900,650,1000,1000
79,Alec Ingold,1000,1000,1400,1100,1200,1200,1000
80,Julian Hill,1300,N/A,1700,1400,N/A,1500,1300
81,Durham Smythe,1300,1300,1700,1400,1400,1800,1200
82,Malik Washington,1000,1000,1000,1000,650,1200,1000
83,Quintin Morris,1900,3500,1600,2400,2500,2000,1900
84,Tanner Conner,1600,3000,N/A,1900,2000,1800,1600
85,Jeff Wilson Jr.,2500,N/A,N/A,2400,N/A,2500,N/A
86,Dee Eskridge,2200,3000,1000,1900,1700,2200,N/A
87,Alvin Kamara,-175,-190,-200,N/A,-240,-175,N/A
88,Chris Olave,120,121,150,N/A,-104,135,N/A
89,Chuba Hubbard,125,111,100,110,-134,115,N/A
90,Mason Tipton,175,200,230,N/A,180,220,N/A
91,Taysom Hill,180,170,150,N/A,130,185,N/A
92,Juwan Johnson,220,235,330,N/A,235,310,N/A
93,Xavier Legette,240,310,350,300,235,310,N/A
94,Marquez Valdes-Scantling,330,N/A,600,N/A,335,N/A,N/A
95,Jalen Coker,295,390,460,350,300,310,N/A
96,David Moore,295,650,700,600,480,650,N/A
97,Cedrick Wilson Jr.,330,300,230,N/A,300,333,N/A
98,Tommy Tremble,390,1000,600,750,450,450,N/A
99,Foster Moreau,425,500,500,N/A,430,550,N/A
100,Miles Sanders,425,475,420,450,240,450,N/A
101,New Orleans Saints D/ST,390,N/A,N/A,N/A,N/A,500,N/A
102,Derek Carr,600,N/A,600,N/A,410,800,N/A
103,Carolina Panthers D/ST,475,N/A,N/A,N/A,N/A,550,N/A
104,Bryce Young,500,700,500,600,440,550,N/A
105,Adam Prentice,600,N/A,2300,N/A,700,1300,N/A
106,Jermaine Jackson,650,N/A,1000,N/A,1100,1000,N/A
107,Jonathan Mingo,500,460,700,500,510,650,N/A
108,Ja'Tavion Sanders,1200,675,1200,900,650,1200,N/A
109,Feleipe Franks,2800,N/A,4500,N/A,N/A,4000,N/A
110,Chase Brown,-155,-135,-140,N/A,-240,-125,-154
111,Ja'Marr Chase,-155,-130,-115,-143,-155,-140,-154
112,Alexander Mattison,140,123,125,120,-107,140,140
113,Andrei Iosivas,220,280,220,240,205,200,220
114,Trayveon Williams,245,N/A,230,270,145,380,245
115,Brock Bowers,190,200,230,200,138,180,190
116,Jakobi Meyers,195,200,270,210,175,210,195
117,Mike Gesicki,300,275,350,300,240,300,300
118,Jermaine Burton,350,N/A,400,350,225,400,350
119,Joe Burrow,400,340,400,350,295,450,400
120,Tre Tucker,280,305,320,300,280,350,280
121,Erick All,475,500,600,500,410,500,475
122,Cincinnati Bengals D/ST,425,N/A,N/A,N/A,N/A,600,425
123,Las Vegas Raiders D/ST,500,N/A,N/A,N/A,N/A,N/A,500
124,Trenton Irwin,600,N/A,800,700,440,650,600
125,Zamir White,550,500,330,450,N/A,550,550
126,Ameer Abdullah,550,N/A,330,450,280,650,550
127,Gardner Minshew,700,800,700,750,480,850,700
128,Harrison Bryant,600,950,1000,900,700,1000,600
129,Drew Sample,1200,1400,1100,1100,1050,1100,1200
130,Charlie Jones,1400,N/A,1000,1100,900,1200,1400
131,John Samuel Shenker,1200,N/A,1000,1100,1100,1400,1200
132,Tanner Hudson,2000,2000,2000,1900,1150,N/A,N/A
133,Alex Bachman,1600,1500,1500,1400,2200,1500,1600
134,Dylan Laube,1500,N/A,N/A,1400,1800,1800,1500
135,Tanner McLachlan,2000,N/A,N/A,1900,N/A,2200,N/A
136,J.K. Dobbins,-130,-127,-105,-125,-125,-125,-130
137,Nick Chubb,105,110,110,100,-113,100,105
138,David Njoku,185,230,260,220,175,210,185
139,Cedric Tillman,220,260,300,260,188,230,220
140,Ladd McConkey,250,205,250,220,160,250,250
141,Quentin Johnston,295,275,360,300,250,310,295
142,Elijah Moore,265,240,360,280,235,300,265
143,Jerry Jeudy,285,225,300,250,188,275,285
144,Joshua Palmer,340,350,450,350,265,333,340
145,Justin Herbert,360,340,430,350,320,425,360
146,Will Dissly,330,250,450,325,255,400,330
147,Hayden Hurst,340,N/A,500,450,370,500,340
148,Jerome Ford,400,295,400,325,330,400,400
149,Cleveland Browns D/ST,425,N/A,N/A,N/A,N/A,N/A,N/A
150,Los Angeles Chargers D/ST,425,N/A,N/A,N/A,N/A,500,N/A
151,Jameis Winston,550,700,700,650,700,650,550
152,D'Onta Foreman,500,N/A,750,600,475,475,500
153,Kimani Vidal,475,430,600,450,335,500,475
154,DJ Chark Jr.,475,500,600,N/A,N/A,550,475
155,Jordan Akins,550,N/A,900,700,800,575,550
156,Pierre Strong Jr.,700,700,750,700,650,700,700
157,Simi Fehoko,800,1000,1000,900,700,900,800
158,Derius Davis,800,N/A,600,700,1000,800,800
159,Scott Matlock,1000,N/A,3100,N/A,1600,3300,1000
160,Geoff Swaim,1300,N/A,2300,N/A,1100,N/A,1300
161,Eric Tomlinson,1400,N/A,1700,N/A,1300,1800,1400
162,Jamari Thrash,1400,N/A,1200,1300,1500,1500,1400
163,Brenden Rice,1800,N/A,N/A,1700,N/A,1800,1800
164,Jaelon Darden,2000,N/A,1900,1900,1800,2000,2000
165,Hassan Haskins,2000,N/A,2000,1900,950,2000,2000
166,Tony Pollard,-115,-125,N/A,N/A,-127,-105,-115
167,Julius Chestnut,150,N/A,N/A,N/A,155,185,150
168,Rhamondre Stevenson,135,150,N/A,140,107,135,135
169,Calvin Ridley,190,170,N/A,170,185,165,190
170,Nick Westbrook-Ikhine,320,350,N/A,325,310,375,320
171,Tyler Boyd,330,380,N/A,325,255,275,330
172,Hunter Henry,300,350,N/A,325,300,333,300
173,Kendrick Bourne,320,500,N/A,450,340,500,320
174,Kayshon Boutte,380,420,N/A,400,370,400,380
175,Will Levis,400,N/A,N/A,N/A,260,500,400
176,Antonio Gibson,360,430,N/A,350,350,375,360
177,Tennessee Titans D/ST,390,N/A,N/A,N/A,N/A,550,390
178,New England Patriots D/ST,450,N/A,N/A,N/A,N/A,600,450
179,DeMario Douglas,450,450,N/A,450,360,450,450
180,Chigoziem Okonkwo,600,575,N/A,550,480,550,600
181,Jacoby Brissett,500,N/A,N/A,N/A,N/A,N/A,500
182,Austin Hooper,650,800,N/A,750,700,750,650
183,Tyquan Thornton,650,N/A,N/A,800,1800,1100,650
184,Ja'Lynn Polk,650,850,N/A,750,650,750,650
185,Josh Whyle,700,800,N/A,750,750,700,700
186,JaMycal Hasty,600,N/A,N/A,600,650,600,600
187,Jha'Quan Jackson,800,N/A,N/A,800,425,800,800
188,Nick Vannett,1500,1400,N/A,1400,1000,1400,1500
189,Javon Baker,1600,N/A,N/A,1700,N/A,1800,1600
190,Jaheim Bell,2000,N/A,N/A,1900,2200,2200,2000
191,Brian Robinson Jr.,100,-114,N/A,-111,-159,110,N/A
192,Terry McLaurin,105,155,N/A,130,102,135,105
193,Tyrone Tracy Jr.,115,-101,N/A,110,108,125,115
194,Devin Singletary,115,320,N/A,220,130,130,115
195,Malik Nabers,115,120,N/A,110,114,115,115
196,Jayden Daniels,175,165,N/A,170,117,175,175
197,Zach Ertz,225,245,N/A,240,230,275,225
198,Austin Ekeler,225,235,N/A,230,180,230,225
199,Noah Brown,320,350,N/A,325,320,375,N/A
200,Daniel Jones,360,260,N/A,300,310,400,360
201,Darius Slayton,300,295,N/A,290,275,300,N/A
202,Wan'Dale Robinson,310,340,N/A,300,295,300,N/A
203,Theo Johnson,400,550,N/A,500,525,550,400
204,Olamide Zaccheaus,450,440,N/A,450,475,500,450
205,New York Giants D/ST,475,N/A,N/A,N/A,N/A,550,475
206,Washington Commanders D/ST,425,N/A,N/A,N/A,N/A,500,N/A
207,Luke McCaffrey,550,850,N/A,750,420,750,550
208,Dyami Brown,550,900,N/A,750,750,800,550
209,Eric Gray,650,N/A,N/A,650,800,700,650
210,Jeremy McNichols,700,1400,N/A,900,1050,400,700
211,Ben Sinnott,950,1500,N/A,1300,1050,1400,N/A
212,Jalin Hyatt,950,1600,N/A,1300,1300,1400,1000
213,Daniel Bellinger,1000,2200,N/A,1700,1900,1800,N/A
214,Ihmir Smith-Marsette,1400,N/A,N/A,1400,1150,1500,N/A
215,John Bates,1300,1200,N/A,1300,1600,1500,1300
216,Colson Yankoff,1700,N/A,N/A,1700,2000,1800,1700
217,James Conner,-135,-126,-130,-143,-175,-125,-136
218,D'Andre Swift,-105,102,100,100,-162,100,-106
219,Marvin Harrison Jr.,150,160,185,160,140,175,150
220,Kyler Murray,185,195,190,190,140,180,185
221,DJ Moore,180,185,200,180,128,185,N/A
222,Trey McBride,225,220,240,220,188,210,225
223,Keenan Allen,230,225,230,220,210,220,230
224,Caleb Williams,265,270,350,290,195,300,265
225,Michael Wilson,295,325,320,300,220,280,295
226,Cole Kmet,265,325,300,300,275,275,N/A
227,Rome Odunze,290,295,320,300,230,300,290
228,Roschon Johnson,310,330,330,300,290,250,310
229,Arizona Cardinals D/ST,450,N/A,N/A,N/A,N/A,500,450
230,Chicago Bears D/ST,425,N/A,N/A,N/A,N/A,500,N/A
231,Greg Dortch,550,600,800,600,510,550,550
232,Zay Jones,600,850,750,750,700,750,600
233,Trey Benson,750,950,750,800,650,900,750
234,Emari Demercado,900,800,1000,800,1050,900,900
235,Gerald Everett,900,1100,1000,1000,750,800,900
236,Elijah Higgins,1000,1200,1200,1100,850,1000,1000
237,Zach Pascal,1100,2800,1200,1900,1000,1200,1100
238,DeAndre Carter,1600,2200,2200,1900,1200,1400,1600
239,Marcedes Lewis,2000,1900,2600,1900,1800,1800,2000
240,Khalil Herbert,1400,1600,1600,1400,1100,1500,1400
241,Tip Reiman,1500,1200,1900,1400,1500,1100,1500
242,Travis Homer,1400,N/A,1600,1400,N/A,1500,1400
243,Tyler Scott,1800,N/A,2200,1900,950,2200,N/A
244,Chris Moore,2200,N/A,N/A,N/A,N/A,N/A,N/A
245,Saquon Barkley,-205,-200,-180,-200,-240,-200,N/A
246,Jalen Hurts,100,-110,-115,-111,-165,-105,N/A
247,A.J. Brown,-105,105,120,100,-121,-105,N/A
248,DeVonta Smith,135,160,180,160,130,150,135
249,Travis Etienne Jr.,150,150,145,140,155,150,150
250,Tank Bigsby,160,N/A,145,150,160,150,N/A
251,Grant Calcaterra,225,340,370,325,320,310,N/A
252,Brian Thomas Jr,175,N/A,N/A,170,175,N/A,175
253,Gabe Davis,240,320,240,280,295,250,240
254,Evan Engram,260,245,190,230,220,250,260
255,Parker Washington,360,340,165,300,290,360,360
256,Kenneth Gainwell,500,410,550,450,360,550,500
257,Tim Jones,425,N/A,240,325,430,450,425
258,Philadelphia Eagles D/ST,400,N/A,N/A,N/A,N/A,500,N/A
259,D'Ernest Johnson,500,N/A,500,500,475,525,N/A
260,Jacksonville Jaguars D/ST,500,N/A,N/A,N/A,N/A,600,500
261,Jack Stoll,700,1200,1100,1000,540,900,700
262,Jahan Dotson,700,650,700,650,575,700,700
263,Trevor Lawrence,600,550,650,550,650,650,600
264,Will Shipley,800,1100,1400,1100,850,1300,N/A
265,Parris Campbell,850,N/A,N/A,N/A,1300,N/A,N/A
266,Brenton Strange,700,750,750,700,1100,750,700
267,Johnny Wilson,1100,1900,1600,1400,1100,1400,N/A
268,Luke Farrell,1100,1750,1100,1400,1700,1600,1100
269,Josiah Deguara,1800,N/A,2000,1900,N/A,2200,1800
270,Josh Jacobs,-125,N/A,-125,-143,-177,-120,-125
271,David Montgomery,-130,N/A,-105,-125,-175,-140,-130
272,Jahmyr Gibbs,-115,N/A,-105,-125,-159,-120,-115
273,Amon-Ra St. Brown,110,N/A,115,110,-115,105,110
274,Jayden Reed,125,N/A,160,150,114,150,125
275,Sam LaPorta,200,N/A,220,180,150,140,200
276,Tucker Kraft,205,N/A,270,240,180,210,205
277,Romeo Doubs,235,N/A,220,220,195,220,235
278,Christian Watson,270,N/A,290,290,220,280,270
279,Emanuel Wilson,370,N/A,500,400,370,375,370
280,Tim Patrick,400,N/A,410,350,340,400,400
281,Dontayvion Wicks,380,N/A,460,350,240,300,380
282,Kalif Raymond,400,N/A,450,400,320,375,400
283,Green Bay Packers D/ST,500,N/A,N/A,N/A,N/A,500,500
284,Detroit Lions D/ST,425,N/A,N/A,N/A,N/A,500,425
285,Jordan Love,600,N/A,700,650,600,700,600
286,Brock Wright,750,N/A,850,900,600,750,750
287,Jared Goff,1000,N/A,1400,1100,950,1000,1000
288,Allen Robinson II,850,N/A,850,N/A,950,800,850
289,Shane Zylstra,1200,N/A,1200,N/A,N/A,N/A,1200
290,Bo Melton,1200,N/A,1000,1100,1000,1500,1200
291,Ben Sims,1200,N/A,1800,1400,1000,1400,1200
292,Chris Brooks,1200,N/A,500,N/A,1150,1000,1200
293,Parker Hesse,1500,N/A,N/A,1400,2200,1800,1500
