,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Aaron Jones,-145.0,-155.0,-167.0,-182.0,-140.0,-145.0
Justin Jefferson,-105.0,-105.0,-111.0,-162.0,-110.0,-106.0
Bijan Robinson,-110.0,-110.0,-111.0,-139.0,-110.0,-110.0
Jordan Addison,180.0,210.0,180.0,135.0,200.0,180.0
Drake London,155.0,155.0,150.0,130.0,170.0,155.0
T.J. Hockenson,215.0,210.0,210.0,195.0,250.0,215.0
Darnell Mooney,215.0,250.0,210.0,175.0,225.0,215.0
Cam Akers,340.0,360.0,325.0,300.0,350.0,340.0
Tyler Allgeier,290.0,450.0,290.0,290.0,310.0,290.0
Sam Darnold,350.0,500.0,350.0,300.0,550.0,350.0
Kyle Pitts,320.0,330.0,300.0,260.0,350.0,320.0
Ray-Ray McCloud III,300.0,380.0,300.0,260.0,350.0,300.0
Jalen Nailor,425.0,550.0,400.0,460.0,500.0,425.0
Johnny Mundt,475.0,500.0,450.0,540.0,600.0,475.0
Minnesota Vikings D/ST,450.0,N/A,N/A,N/A,650.0,450.0
Atlanta Falcons D/ST,500.0,N/A,N/A,N/A,600.0,500.0
Ty Chandler,850.0,2000.0,800.0,950.0,1000.0,850.0
C.J. Ham,1100.0,2300.0,1100.0,1300.0,2000.0,1100.0
Trent Sherfield,1200.0,1900.0,1100.0,1900.0,1800.0,1200.0
Brandon Powell,1200.0,1900.0,1100.0,1500.0,1600.0,1200.0
KhaDarel Hodge,1200.0,1300.0,1100.0,1300.0,1500.0,1200.0
Kirk Cousins,1500.0,2500.0,1400.0,2000.0,2000.0,1500.0
Charlie Woerner,1500.0,1200.0,1400.0,1050.0,1800.0,1500.0
Ross Dwelley,1400.0,2700.0,1400.0,2400.0,2500.0,1400.0
Casey Washington,1800.0,2700.0,1700.0,2000.0,2500.0,1800.0
Avery Williams,2200.0,3300.0,1900.0,2000.0,2500.0,2200.0
Saquon Barkley,-280.0,-290.0,-333.0,-500.0,-275.0,-290.0
Jalen Hurts,-180.0,-175.0,-200.0,-220.0,-175.0,-179.0
AJ Brown,105.0,125.0,100.0,-122.0,110.0,105.0
DeVonta Smith,160.0,185.0,160.0,148.0,175.0,160.0
Chuba Hubbard,120.0,100.0,120.0,-117.0,125.0,130.0
Grant Calcaterra,275.0,490.0,270.0,270.0,400.0,275.0
Adam Thielen,270.0,380.0,270.0,280.0,275.0,270.0
