,Unnamed: 0.1,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,Unnamed: 0,teamId,location,name,firstName,lastName,height,weight,athleteAge,draftRd,position,exp,headshot,fullName,seasonYr,seasonType,fPts,weeks_played,cumulative_receiving_yards,cumulative_yards_per_game,cumulative_receptions,cumulative_receptions_per_game,cumulative_receiving_touchdowns,cumulative_tds_per_game,cumulative_targets,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,season_TD,season_YDs,season_REC,total_TD,total_YDs,total_REC,setting,lag_win,lag_wins,lag_losses,setting_binary,td,lag_td,lag_rec,lag_yds,lag_tgts,lag_fumbles
0,4262,10,13,155,15.5,0,54,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,15.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,away,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1,4261,5,8,69,13.8,0,23,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,6.9,2,155.0,155.0,10.0,10.0,0.0,0.0,13.0,13.0,155.0,10.0,0.0,13.0,15.5,0.0,0,0.0,155.0,10.0,0.0,155.0,10.0,home,1,1,0,1.0,0,0.0,10.0,155.0,13.0,0.0
2,4260,5,10,85,17.0,1,38,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,14.5,3,224.0,112.0,15.0,7.5,0.0,0.0,21.0,10.5,112.0,7.5,0.0,10.5,13.8,0.0,0,0.0,224.0,15.0,0.0,224.0,15.0,away,1,2,0,0.0,1,0.0,5.0,69.0,8.0,0.0
3,4259,5,7,95,19.0,0,31,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,9.5,4,309.0,103.0,20.0,6.666666666666667,1.0,0.3333333333333333,31.0,10.333333333333334,103.0,6.666666666666667,0.3333333333333333,10.333333333333334,17.0,0.0,0,1.0,309.0,20.0,1.0,309.0,20.0,home,1,3,0,1.0,0,1.0,5.0,85.0,10.0,0.0
4,4258,3,7,32,10.7,0,15,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,3.2,5,404.0,101.0,25.0,6.25,1.0,0.25,38.0,9.5,83.0,5.0,0.3333333333333333,8.333333333333334,19.0,0.03225806451612903,0,1.0,404.0,25.0,1.0,404.0,25.0,away,1,4,0,0.0,0,0.0,5.0,95.0,7.0,0.0
5,4257,5,8,67,13.4,1,22,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,12.7,6,436.0,87.2,28.0,5.6,1.0,0.2,45.0,9.0,70.66666666666667,4.333333333333333,0.3333333333333333,8.0,10.666666666666666,0.02631578947368421,0,1.0,436.0,28.0,1.0,436.0,28.0,home,1,5,0,1.0,1,0.0,3.0,32.0,7.0,0.0
6,4256,6,10,156,26.0,3,43,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,33.6,7,503.0,83.83333333333333,33.0,5.5,2.0,0.3333333333333333,53.0,8.833333333333334,64.66666666666667,4.333333333333333,0.3333333333333333,7.333333333333333,13.4,0.022222222222222223,0,2.0,503.0,33.0,2.0,503.0,33.0,home,1,6,0,1.0,1,1.0,5.0,67.0,8.0,0.0
7,4255,4,6,59,14.8,1,31,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,11.9,8,659.0,94.14285714285714,39.0,5.571428571428571,5.0,0.7142857142857143,63.0,9.0,85.0,4.666666666666667,1.3333333333333333,8.333333333333334,26.0,0.03773584905660377,0,5.0,659.0,39.0,5.0,659.0,39.0,away,1,7,0,0.0,1,1.0,6.0,156.0,10.0,0.0
8,4254,1,4,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,0.7,9,718.0,89.75,43.0,5.375,6.0,0.75,69.0,8.625,94.0,5.0,1.6666666666666667,8.0,14.75,0.07936507936507936,0,6.0,718.0,43.0,6.0,718.0,43.0,away,1,8,0,0.0,0,1.0,4.0,59.0,6.0,0.0
9,4253,5,7,60,12.0,0,29,0,0,0.0,0,0,1,1,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,1983,21,Philadelphia,Eagles,A.J.,Brown,73,226,27,2.0,WR,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,A.J. Brown,2022,Regular Season,6.0,10,725.0,80.55555555555556,44.0,4.888888888888889,6.0,0.6666666666666666,73.0,8.11111111111111,74.0,3.6666666666666665,1.3333333333333333,6.666666666666667,7.0,0.08695652173913043,0,6.0,725.0,44.0,6.0,725.0,44.0,away,0,8,1,0.0,0,0.0,1.0,7.0,4.0,0.0
