receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,seasonYr,seasonType,fullName
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,L,401547402,2023 Regular Season,2023,Regular Season,Kayshon Boutte
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T14:30:00.000+00:00,6,10,L,401547231,2023 Regular Season,2023,Regular Season,Kayshon Boutte
1,2,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,7,L,401547560,2023 Regular Season,2023,Regular Season,Kayshon Boutte
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-25T01:15:00.000+00:00,23,26,W,401547621,2023 Regular Season,2023,Regular Season,Kayshon Boutte
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,3,17,L,401547648,2023 Regular Season,2023,Regular Season,Kayshon Boutte
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,3,2024-09-20T00:15:00.000+00:00,24,3,L,401671808,2024 Regular Season,2024,Regular Season,Kayshon Boutte
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,30,13,L,401671758,2024 Regular Season,2024,Regular Season,Kayshon Boutte
2,2,34,17.0,0,21,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,10,15,L,401671700,2024 Regular Season,2024,Regular Season,Kayshon Boutte
3,3,59,19.7,1,40,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,21,41,L,401671619,2024 Regular Season,2024,Regular Season,Kayshon Boutte
1,2,33,33.0,0,33,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T13:30:00.000+00:00,32,16,L,401671801,2024 Regular Season,2024,Regular Season,Kayshon Boutte
